intake_id,screeningdecision,county_name,complaint_date,allegationtypedesc,intakechildpartyid,intakeperppartyid,findingdesc,abuseneglect,child_role
300076,Investigate,Genesee,07/06/2022,Neglect - Failure to Protect,100060,200083,No Evidence,N,Victim
300077,Investigate,Ingham,09/02/2021,Medical Neglect,100061,200122,No Evidence,N,Victim
300078,Investigate,Genesee,04/11/2023,Neglect - Failure to Protect,100061,200010,No Preponderance,N,Victim
300079,Screen Out,Oakland,08/28/2022,Emotional Abuse,100062,200113,,A,Victim
300079,Screen Out,Oakland,08/28/2022,Neglect - Failure to Provide,100062,200026,,N,Victim
300080,Screen Out,Genesee,05/28/2021,Sexual Abuse,100063,200020,,A,Victim
300080,Screen Out,Genesee,05/28/2021,Sexual Abuse,100063,200121,,A,Victim
300081,Screen Out,Wayne,02/12/2022,Sexual Abuse,100064,200137,,A,Victim
300081,Screen Out,Wayne,02/12/2022,Medical Neglect,100064,200098,,N,Victim
300082,Screen Out,Genesee,02/17/2023,Neglect - Failure to Protect,100065,200018,,N,Victim
300083,Screen Out,Oakland,10/09/2022,Physical Abuse,100065,200112,,A,Victim
300084,Investigate,Wayne,12/22/2022,Sexual Abuse,100066,200015,No Preponderance,A,Victim
300085,Investigate,Oakland,01/03/2022,Neglect - Failure to Protect,100066,200047,Preponderance,N,Victim
300086,Investigate,Kent,09/27/2022,Neglect - Failure to Provide,100067,200066,No Preponderance,N,Victim
300087,Screen Out,Wayne,09/19/2021,Medical Neglect,100067,200074,,N,Victim
300088,Screen Out,Genesee,03/17/2021,Medical Neglect,100068,200077,,N,Victim
300088,Screen Out,Genesee,03/17/2021,Sexual Abuse,100068,200109,,A,Victim
300089,Screen Out,Kent,11/06/2021,Neglect - Failure to Provide,100069,200028,,N,Victim
300089,Screen Out,Kent,11/06/2021,Emotional Abuse,100069,200061,,A,Victim
300090,Investigate,Oakland,10/30/2021,Medical Neglect,100070,200145,No Evidence,N,Victim
300091,Investigate,Ingham,02/20/2021,Neglect - Failure to Protect,100071,200059,No Evidence,N,Victim
300091,Investigate,Ingham,02/20/2021,Medical Neglect,100071,200091,No Evidence,N,Victim
300092,Investigate,Ingham,07/14/2021,Sexual Abuse,100071,200011,No Preponderance,A,Victim
300093,Investigate,Ingham,02/04/2021,Neglect - Failure to Protect,100072,200084,Preponderance,N,Victim
300093,Investigate,Ingham,02/04/2021,Neglect - Failure to Protect,100072,200107,Preponderance,N,Victim
300094,Investigate,Oakland,06/17/2023,Sexual Abuse,100072,200124,No Preponderance,A,Victim
300095,Investigate,Wayne,12/13/2021,Emotional Abuse,100073,200058,Preponderance,A,Victim
300095,Investigate,Wayne,12/13/2021,Sexual Abuse,100073,200102,Preponderance,A,Victim
300096,Investigate,Oakland,01/15/2021,Physical Abuse,100073,200096,No Evidence,A,Victim
300097,Investigate,Wayne,04/28/2022,Medical Neglect,100074,200057,No Evidence,N,Victim
300097,Investigate,Wayne,04/28/2022,Neglect - Failure to Provide,100074,200017,No Evidence,N,Victim
300098,Investigate,Genesee,11/06/2021,Physical Abuse,100075,200127,Preponderance,A,Victim
300099,Investigate,Genesee,05/19/2021,Neglect - Failure to Provide,100075,200040,No Evidence,N,Victim
300100,Investigate,Genesee,05/04/2023,Neglect - Failure to Protect,100076,200095,No Evidence,N,Victim
300101,Investigate,Oakland,08/30/2021,Neglect - Failure to Protect,100077,200071,No Evidence,N,Victim
300102,Investigate,Genesee,05/19/2023,Physical Abuse,100078,200006,Preponderance,A,Victim
300103,Investigate,Kent,09/07/2021,Emotional Abuse,100078,200142,Preponderance,A,Victim
300103,Investigate,Kent,09/07/2021,Neglect - Failure to Protect,100078,200054,Preponderance,N,Victim
300104,Investigate,Kent,03/04/2023,Emotional Abuse,100079,200038,No Evidence,A,Victim
300104,Investigate,Kent,03/04/2023,Sexual Abuse,100079,200034,No Evidence,A,Victim
300105,Investigate,Wayne,04/23/2021,Neglect - Failure to Protect,100080,200005,No Preponderance,N,Victim
300106,Investigate,Wayne,09/29/2021,Neglect - Failure to Provide,100080,200122,No Preponderance,N,Victim
300107,Investigate,Ingham,06/10/2022,Sexual Abuse,100081,200134,No Preponderance,A,Victim
300108,Investigate,Wayne,04/15/2022,Neglect - Failure to Provide,100081,200028,No Evidence,N,Victim
300109,Screen Out,Wayne,03/31/2022,Physical Abuse,100082,200038,,A,Victim
300110,Investigate,Oakland,05/10/2021,Sexual Abuse,100082,200136,No Evidence,A,Victim
300111,Investigate,Genesee,09/12/2022,Neglect - Failure to Provide,100083,200059,No Preponderance,N,Victim
300112,Investigate,Genesee,04/10/2022,Sexual Abuse,100084,200066,Preponderance,A,Victim
300113,Investigate,Wayne,05/01/2022,Neglect - Failure to Protect,100085,200096,Preponderance,N,Victim
300114,Investigate,Ingham,07/30/2022,Medical Neglect,100086,200109,Preponderance,N,Victim
300115,Investigate,Wayne,12/27/2021,Physical Abuse,100087,200058,Preponderance,A,Victim
300116,Investigate,Oakland,04/28/2021,Physical Abuse,100088,200069,No Preponderance,A,Victim
300117,Screen Out,Oakland,12/21/2022,Neglect - Failure to Protect,100089,200047,,N,Victim
300118,Investigate,Wayne,02/15/2022,Neglect - Failure to Protect,100090,200136,No Preponderance,N,Victim
300119,Investigate,Oakland,04/10/2022,Physical Abuse,100091,200146,No Evidence,A,Victim
300119,Investigate,Oakland,04/10/2022,Neglect - Failure to Protect,100091,200022,No Evidence,N,Victim
300120,Investigate,Wayne,09/25/2022,Emotional Abuse,100092,200125,Preponderance,A,Victim
300121,Investigate,Wayne,06/09/2022,Emotional Abuse,100093,200125,Preponderance,A,Victim
300122,Investigate,Ingham,02/09/2022,Sexual Abuse,100094,200036,Preponderance,A,Victim
300122,Investigate,Ingham,02/09/2022,Sexual Abuse,100094,200066,Preponderance,A,Victim
300123,Investigate,Kent,06/29/2021,Neglect - Failure to Provide,100095,200011,No Evidence,N,Victim
300124,Screen Out,Genesee,01/20/2021,Emotional Abuse,100095,200148,,A,Victim
300124,Screen Out,Genesee,01/20/2021,Neglect - Failure to Provide,100095,200110,,N,Victim
300125,Investigate,Oakland,03/04/2022,Medical Neglect,100096,200118,Preponderance,N,Victim
300126,Screen Out,Genesee,04/01/2021,Emotional Abuse,100096,200103,,A,Victim
300127,Investigate,Oakland,06/11/2023,Emotional Abuse,100097,200030,No Preponderance,A,Victim
300128,Investigate,Oakland,03/06/2023,Sexual Abuse,100098,200038,No Preponderance,A,Victim
300129,Investigate,Kent,09/09/2022,Emotional Abuse,100099,200127,No Preponderance,A,Victim
300129,Investigate,Kent,09/09/2022,Emotional Abuse,100099,200119,No Preponderance,A,Victim
300130,Investigate,Ingham,08/02/2022,Neglect - Failure to Provide,100100,200018,No Evidence,N,Victim
300131,Investigate,Oakland,11/07/2021,Physical Abuse,100101,200116,No Preponderance,A,Victim
300132,Investigate,Oakland,05/02/2023,Neglect - Failure to Provide,100102,200130,No Preponderance,N,Victim
300133,Investigate,Wayne,07/22/2022,Emotional Abuse,100103,200122,No Preponderance,A,Victim
300134,Investigate,Genesee,03/05/2021,Medical Neglect,100104,200022,No Evidence,N,Victim
300134,Investigate,Genesee,03/05/2021,Neglect - Failure to Protect,100104,200130,No Evidence,N,Victim
300135,Screen Out,Genesee,12/26/2022,Sexual Abuse,100105,200041,,A,Victim
300136,Investigate,Genesee,10/17/2021,Physical Abuse,100106,200086,Preponderance,A,Victim
300137,Investigate,Oakland,10/18/2021,Medical Neglect,100107,200150,No Preponderance,N,Victim
300138,Screen Out,Oakland,12/25/2021,Neglect - Failure to Protect,100108,200101,,N,Victim
300139,Investigate,Oakland,03/28/2021,Medical Neglect,100109,200135,No Evidence,N,Victim
300139,Investigate,Oakland,03/28/2021,Medical Neglect,100109,200024,No Evidence,N,Victim
300140,Investigate,Wayne,01/06/2022,Neglect - Failure to Protect,100110,200125,Preponderance,N,Victim
300141,Investigate,Wayne,10/30/2021,Emotional Abuse,100111,200034,No Preponderance,A,Victim
300142,Screen Out,Kent,06/16/2021,Physical Abuse,100112,200043,,A,Victim
300142,Screen Out,Kent,06/16/2021,Neglect - Failure to Provide,100112,200113,,N,Victim
300143,Screen Out,Kent,01/07/2023,Neglect - Failure to Protect,100113,200115,,N,Victim
300144,Screen Out,Genesee,11/13/2021,Neglect - Failure to Provide,100114,200147,,N,Victim
300145,Investigate,Genesee,10/16/2021,Physical Abuse,100115,200036,No Preponderance,A,Victim
300145,Investigate,Genesee,10/16/2021,Medical Neglect,100115,200065,No Preponderance,N,Victim
300146,Screen Out,Ingham,01/16/2022,Physical Abuse,100116,200133,,A,Victim
300147,Investigate,Kent,02/21/2023,Neglect - Failure to Provide,100117,200024,No Preponderance,N,Victim
300147,Investigate,Kent,02/21/2023,Sexual Abuse,100117,200057,No Preponderance,A,Victim
300148,Investigate,Wayne,03/01/2022,Physical Abuse,100118,200096,No Evidence,A,Victim
300148,Investigate,Wayne,03/01/2022,Sexual Abuse,100118,200058,No Evidence,A,Victim
300149,Investigate,Oakland,04/12/2021,Medical Neglect,100118,200121,Preponderance,N,Victim
300150,Investigate,Genesee,04/26/2022,Emotional Abuse,100119,200039,No Preponderance,A,Victim
300151,Investigate,Ingham,01/15/2023,Physical Abuse,100119,200078,Preponderance,A,Victim
300152,Investigate,Genesee,09/30/2022,Medical Neglect,100120,200005,No Evidence,N,Victim
300153,Investigate,Kent,09/05/2021,Neglect - Failure to Provide,100121,200147,Preponderance,N,Victim
300154,Screen Out,Wayne,01/05/2022,Emotional Abuse,100122,200130,,A,Victim
300155,Investigate,Genesee,06/14/2023,Sexual Abuse,100123,200005,No Evidence,A,Victim
300156,Investigate,Kent,12/20/2021,Emotional Abuse,100124,200091,No Evidence,A,Victim
300157,Screen Out,Kent,12/13/2021,Medical Neglect,100124,200123,,N,Victim
300158,Investigate,Wayne,05/19/2021,Neglect - Failure to Protect,100125,200012,No Preponderance,N,Victim
300159,Investigate,Oakland,11/20/2021,Sexual Abuse,100126,200049,No Evidence,A,Victim
300160,Screen Out,Wayne,01/01/2022,Sexual Abuse,100126,200032,,A,Victim
300161,Screen Out,Genesee,02/14/2022,Neglect - Failure to Provide,100127,200048,,N,Victim
300162,Investigate,Ingham,01/12/2022,Emotional Abuse,100128,200111,Preponderance,A,Victim
300163,Investigate,Oakland,10/28/2021,Neglect - Failure to Protect,100129,200110,No Evidence,N,Victim
300164,Investigate,Genesee,12/26/2021,Sexual Abuse,100130,200112,No Evidence,A,Victim
300165,Investigate,Wayne,03/22/2023,Physical Abuse,100131,200041,No Evidence,A,Victim
300166,Investigate,Genesee,09/15/2022,Neglect - Failure to Provide,100132,200094,Preponderance,N,Victim
300166,Investigate,Genesee,09/15/2022,Emotional Abuse,100132,200093,Preponderance,A,Victim
300167,Investigate,Oakland,01/15/2022,Neglect - Failure to Provide,100133,200094,Preponderance,N,Victim
300168,Investigate,Wayne,04/27/2021,Sexual Abuse,100134,200031,No Evidence,A,Victim
300168,Investigate,Wayne,04/27/2021,Medical Neglect,100134,200068,No Evidence,N,Victim
300169,Investigate,Oakland,09/19/2022,Neglect - Failure to Provide,100135,200019,No Preponderance,N,Victim
300170,Screen Out,Genesee,01/01/2023,Medical Neglect,100136,200082,,N,Victim
300170,Screen Out,Genesee,01/01/2023,Physical Abuse,100136,200089,,A,Victim
300171,Screen Out,Oakland,10/25/2021,Sexual Abuse,100137,200045,,A,Victim
300172,Investigate,Kent,05/05/2021,Emotional Abuse,100138,200093,Preponderance,A,Victim
300173,Investigate,Kent,07/19/2022,Emotional Abuse,100139,200123,Preponderance,A,Victim
300174,Investigate,Wayne,08/12/2022,Sexual Abuse,100140,200133,No Preponderance,A,Victim
300175,Investigate,Ingham,04/29/2023,Physical Abuse,100141,200111,Preponderance,A,Victim
300175,Investigate,Ingham,04/29/2023,Physical Abuse,100141,200129,Preponderance,A,Victim
300176,Screen Out,Oakland,06/15/2021,Sexual Abuse,100142,200133,,A,Victim
300177,Investigate,Kent,09/14/2021,Physical Abuse,100143,200137,No Preponderance,A,Victim
300178,Investigate,Kent,05/30/2022,Emotional Abuse,100143,200087,No Preponderance,A,Victim
300179,Investigate,Wayne,06/04/2023,Neglect - Failure to Provide,100144,200147,No Evidence,N,Victim
300180,Screen Out,Genesee,02/01/2021,Neglect - Failure to Provide,100145,200078,,N,Victim
300181,Investigate,Genesee,04/07/2023,Neglect - Failure to Provide,100146,200113,Preponderance,N,Victim
300182,Investigate,Kent,09/14/2022,Emotional Abuse,100147,200034,No Evidence,A,Victim
300182,Investigate,Kent,09/14/2022,Emotional Abuse,100147,200095,No Evidence,A,Victim
300183,Investigate,Genesee,09/05/2021,Neglect - Failure to Provide,100148,200075,No Preponderance,N,Victim
300184,Screen Out,Kent,03/05/2022,Medical Neglect,100149,200084,,N,Victim
300184,Screen Out,Kent,03/05/2022,Sexual Abuse,100149,200148,,A,Victim
300185,Investigate,Kent,07/14/2021,Physical Abuse,100149,200128,No Evidence,A,Victim
300185,Investigate,Kent,07/14/2021,Neglect - Failure to Provide,100149,200006,No Evidence,N,Victim
300186,Investigate,Kent,09/04/2021,Sexual Abuse,100150,200121,Preponderance,A,Victim
300187,Screen Out,Kent,03/18/2022,Sexual Abuse,100151,200104,,A,Victim
300188,Investigate,Genesee,02/16/2021,Neglect - Failure to Provide,100151,200019,No Evidence,N,Victim
300189,Investigate,Ingham,02/22/2023,Neglect - Failure to Provide,100152,200025,No Preponderance,N,Victim
300190,Screen Out,Ingham,12/14/2021,Neglect - Failure to Provide,100153,200051,,N,Victim
300190,Screen Out,Ingham,12/14/2021,Emotional Abuse,100153,200131,,A,Victim
300191,Investigate,Kent,02/09/2021,Neglect - Failure to Protect,100154,200132,No Evidence,N,Victim
300192,Investigate,Oakland,09/20/2022,Emotional Abuse,100155,200130,No Evidence,A,Victim
300193,Investigate,Ingham,12/27/2022,Neglect - Failure to Provide,100156,200029,No Evidence,N,Victim
300194,Investigate,Wayne,03/27/2023,Neglect - Failure to Provide,100157,200150,No Preponderance,N,Victim
300195,Investigate,Ingham,10/07/2022,Neglect - Failure to Protect,100158,200029,No Preponderance,N,Victim
300196,Investigate,Genesee,11/18/2021,Medical Neglect,100159,200121,No Evidence,N,Victim
300197,Investigate,Kent,12/24/2022,Neglect - Failure to Protect,100160,200081,No Evidence,N,Victim
300198,Investigate,Ingham,04/16/2022,Neglect - Failure to Protect,100160,200050,No Evidence,N,Victim
300199,Screen Out,Kent,11/02/2021,Medical Neglect,100161,200074,,N,Victim
300199,Screen Out,Kent,11/02/2021,Medical Neglect,100161,200054,,N,Victim
300200,Investigate,Oakland,05/07/2022,Medical Neglect,100162,200147,No Evidence,N,Victim
300201,Screen Out,Oakland,02/09/2022,Sexual Abuse,100163,200075,,A,Victim
300201,Screen Out,Oakland,02/09/2022,Medical Neglect,100163,200011,,N,Victim
300202,Investigate,Oakland,03/29/2022,Medical Neglect,100164,200070,Preponderance,N,Victim
300202,Investigate,Oakland,03/29/2022,Sexual Abuse,100164,200144,Preponderance,A,Victim
300203,Investigate,Kent,09/03/2021,Physical Abuse,100165,200014,No Preponderance,A,Victim
300204,Investigate,Oakland,02/28/2022,Neglect - Failure to Protect,100165,200002,Preponderance,N,Victim
300204,Investigate,Oakland,02/28/2022,Neglect - Failure to Provide,100165,200141,Preponderance,N,Victim
300205,Investigate,Genesee,05/03/2022,Physical Abuse,100166,200016,No Evidence,A,Victim
300206,Investigate,Ingham,10/30/2022,Neglect - Failure to Protect,100166,200045,No Preponderance,N,Victim
300206,Investigate,Ingham,10/30/2022,Physical Abuse,100166,200107,No Preponderance,A,Victim
300207,Investigate,Genesee,02/11/2022,Emotional Abuse,100167,200003,No Evidence,A,Victim
300207,Investigate,Genesee,02/11/2022,Emotional Abuse,100167,200077,No Evidence,A,Victim
300208,Investigate,Oakland,04/20/2021,Neglect - Failure to Provide,100167,200035,No Evidence,N,Victim
300208,Investigate,Oakland,04/20/2021,Sexual Abuse,100167,200130,No Evidence,A,Victim
300209,Investigate,Oakland,04/26/2021,Medical Neglect,100168,200004,No Evidence,N,Victim
300210,Investigate,Ingham,10/30/2021,Neglect - Failure to Provide,100169,200104,Preponderance,N,Victim
300211,Investigate,Wayne,11/17/2022,Physical Abuse,100170,200064,Preponderance,A,Victim
300212,Investigate,Oakland,10/01/2021,Medical Neglect,100171,200093,No Preponderance,N,Victim
300213,Investigate,Wayne,11/15/2022,Medical Neglect,100172,200080,Preponderance,N,Victim
300214,Screen Out,Kent,08/15/2021,Medical Neglect,100173,200117,,N,Victim
300215,Investigate,Genesee,01/18/2022,Neglect - Failure to Provide,100174,200021,No Preponderance,N,Victim
300215,Investigate,Genesee,01/18/2022,Emotional Abuse,100174,200135,No Preponderance,A,Victim
300216,Investigate,Oakland,12/22/2022,Emotional Abuse,100174,200130,No Preponderance,A,Victim
300216,Investigate,Oakland,12/22/2022,Emotional Abuse,100174,200052,No Preponderance,A,Victim
300217,Investigate,Ingham,12/02/2021,Neglect - Failure to Provide,100175,200131,No Evidence,N,Victim
300218,Investigate,Kent,04/10/2022,Medical Neglect,100176,200079,No Preponderance,N,Victim
300219,Investigate,Genesee,01/23/2021,Physical Abuse,100176,200019,Preponderance,A,Victim
300220,Screen Out,Wayne,07/09/2022,Physical Abuse,100177,200121,,A,Victim
300221,Investigate,Genesee,10/21/2021,Sexual Abuse,100177,200108,Preponderance,A,Victim
300222,Investigate,Genesee,06/10/2023,Physical Abuse,100178,200090,No Preponderance,A,Victim
300223,Investigate,Genesee,07/05/2022,Neglect - Failure to Provide,100179,200006,No Preponderance,N,Victim
300223,Investigate,Genesee,07/05/2022,Medical Neglect,100179,200077,No Preponderance,N,Victim
300224,Investigate,Ingham,03/11/2022,Sexual Abuse,100180,200040,Preponderance,A,Victim
300225,Investigate,Genesee,02/02/2021,Physical Abuse,100180,200018,No Preponderance,A,Victim
300226,Investigate,Ingham,04/03/2022,Neglect - Failure to Provide,100181,200103,No Preponderance,N,Victim
300227,Investigate,Wayne,08/11/2021,Emotional Abuse,100182,200148,No Preponderance,A,Victim
300227,Investigate,Wayne,08/11/2021,Emotional Abuse,100182,200082,No Preponderance,A,Victim
300228,Investigate,Oakland,04/19/2023,Physical Abuse,100183,200071,No Preponderance,A,Victim
300229,Screen Out,Ingham,07/25/2022,Neglect - Failure to Provide,100183,200110,,N,Victim
300229,Screen Out,Ingham,07/25/2022,Physical Abuse,100183,200143,,A,Victim
300230,Investigate,Genesee,10/21/2022,Neglect - Failure to Provide,100184,200077,No Evidence,N,Victim
300231,Investigate,Ingham,07/08/2021,Physical Abuse,100184,200037,No Evidence,A,Victim
300231,Investigate,Ingham,07/08/2021,Emotional Abuse,100184,200119,No Evidence,A,Victim
300232,Investigate,Ingham,03/03/2022,Neglect - Failure to Provide,100185,200021,No Evidence,N,Victim
300233,Investigate,Ingham,04/05/2021,Physical Abuse,100186,200011,Preponderance,A,Victim
300234,Investigate,Ingham,01/12/2023,Neglect - Failure to Protect,100186,200078,Preponderance,N,Victim
300234,Investigate,Ingham,01/12/2023,Neglect - Failure to Protect,100186,200004,Preponderance,N,Victim
300235,Screen Out,Genesee,02/12/2023,Neglect - Failure to Provide,100187,200053,,N,Victim
