childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100153,Black,0,0,1,0,0,0
100154,Black,0,0,1,0,0,0
100155,White,0,0,0,0,1,0
100156,White,0,0,0,0,1,0
100157,White,0,0,0,0,1,0
100158,Black,0,0,1,0,0,0
100159,White,0,0,0,0,1,0
100160,White,0,0,0,0,1,0
100161,White,0,0,0,0,1,0
100162,Black,0,0,1,0,0,0
100163,White,0,0,0,0,1,0
100164,Other,0,0,0,0,0,1
100165,Hispanic,0,0,0,0,1,0
100166,White,0,0,0,0,1,0
100167,White,0,0,0,0,1,0
100168,Black,0,0,1,0,0,0
100169,White,0,0,0,0,1,0
100170,White,0,0,0,0,1,0
100171,Other,0,0,0,0,0,1
100172,Black,0,0,1,0,0,0
100173,Black,0,0,1,0,0,0
100174,Hispanic,0,0,0,0,1,0
100175,Hispanic,0,0,0,0,1,0
100176,White,0,0,0,0,1,0
100177,White,0,0,0,0,1,0
100178,Black,0,0,1,0,0,0
100179,Black,0,0,1,0,0,0
100180,Black,0,0,1,0,0,0
100181,Black,0,0,1,0,0,0
100182,Black,0,0,1,0,0,0
100183,Other,0,0,0,0,0,1
100184,White,0,0,0,0,1,0
100185,Black,0,0,1,0,0,0
100186,White,0,0,0,0,1,0
100187,Hispanic,0,0,0,0,1,0
100188,White,0,0,0,0,1,0
100189,White,0,0,0,0,1,0
100190,Black,0,0,1,0,0,0
100191,Black,0,0,1,0,0,0
100192,White,0,0,0,0,1,0
100193,White,0,0,0,0,1,0
100194,Other,0,0,0,0,0,1
100195,Black,0,0,1,0,0,0
100196,Hispanic,0,0,0,0,1,0
100197,Black,0,0,1,0,0,0
100198,White,0,0,0,0,1,0
100199,Other,0,0,0,0,0,1
100200,Hispanic,0,0,0,0,1,0
100201,Other,0,0,0,0,0,1
100202,Other,0,0,0,0,0,1
100203,Hispanic,0,0,0,0,1,0
100204,White,0,0,0,0,1,0
100205,Black,0,0,1,0,0,0
100206,White,0,0,0,0,1,0
100207,Black,0,0,1,0,0,0
100208,White,0,0,0,0,1,0
100209,White,0,0,0,0,1,0
100210,Other,0,0,0,0,0,1
100211,White,0,0,0,0,1,0
100212,Hispanic,0,0,0,0,1,0
100213,Black,0,0,1,0,0,0
100214,Black,0,0,1,0,0,0
100215,Other,0,0,0,0,0,1
100216,Other,0,0,0,0,0,1
100217,Black,0,0,1,0,0,0
100218,Black,0,0,1,0,0,0
100219,White,0,0,0,0,1,0
100220,White,0,0,0,0,1,0
100221,Other,0,0,0,0,0,1
100222,Black,0,0,1,0,0,0
100223,Black,0,0,1,0,0,0
100224,Black,0,0,1,0,0,0
100225,White,0,0,0,0,1,0
100226,Black,0,0,1,0,0,0
100227,Black,0,0,1,0,0,0
100228,Hispanic,0,0,0,0,1,0
100229,White,0,0,0,0,1,0
100230,Other,0,0,0,0,0,1
100231,White,0,0,0,0,1,0
100232,White,0,0,0,0,1,0
100233,Black,0,0,1,0,0,0
100234,Black,0,0,1,0,0,0
100235,White,0,0,0,0,1,0
100236,White,0,0,0,0,1,0
100237,Hispanic,0,0,0,0,1,0
100238,White,0,0,0,0,1,0
100239,Black,0,0,1,0,0,0
100240,Black,0,0,1,0,0,0
100241,Black,0,0,1,0,0,0
100242,Black,0,0,1,0,0,0
100243,Black,0,0,1,0,0,0
100244,Other,0,0,0,0,0,1
100245,White,0,0,0,0,1,0
100246,Black,0,0,1,0,0,0
100247,White,0,0,0,0,1,0
100248,White,0,0,0,0,1,0
100249,Black,0,0,1,0,0,0
100250,White,0,0,0,0,1,0
