childpartyid,placementepisodeid,provbegindt,provenddate,livingarrangedesc,fc_placement_sequence
100124,600124,02/18/2023,06/11/2023,Group Home,4
100125,600125,01/10/2022,,Institutional Care,1
100126,600126,12/04/2022,,Family Foster Care,1
100127,600127,09/29/2022,05/19/2023,Pre-Adoptive Home,1
100128,600128,09/20/2021,01/02/2022,Pre-Adoptive Home,1
100129,600129,06/19/2022,08/28/2022,Institutional Care,1
100130,600130,11/17/2022,07/19/2023,Institutional Care,1
100131,600131,09/16/2021,10/16/2021,Relative Foster Care,1
100132,600132,08/18/2022,04/03/2023,Family Foster Care,1
100133,600133,07/23/2021,,Relative Foster Care,1
100134,600134,10/09/2021,06/22/2022,Group Home,1
100134,600134,06/22/2022,03/01/2023,Family Foster Care,2
100134,600134,03/01/2023,,Family Foster Care,3
100135,600135,04/12/2022,02/24/2023,Family Foster Care,1
100135,600135,02/24/2023,,Family Foster Care,2
100136,600136,12/16/2022,07/21/2023,Group Home,1
100136,600136,07/21/2023,,Pre-Adoptive Home,2
100137,600137,09/10/2022,11/21/2022,Group Home,1
100138,600138,10/21/2022,07/06/2023,Relative Foster Care,1
100139,600139,12/31/2021,03/11/2023,Group Home,1
100140,600140,08/21/2023,11/14/2023,Family Foster Care,1
100140,600140,11/14/2023,,Family Foster Care,2
100141,600141,01/10/2022,07/11/2022,Relative Foster Care,1
100141,600141,07/11/2022,01/18/2023,Relative Foster Care,2
100141,600141,01/18/2023,07/25/2023,Relative Foster Care,3
100141,600141,07/25/2023,,Group Home,4
100142,600142,04/28/2022,03/11/2023,Family Foster Care,1
100143,600143,03/01/2023,05/07/2023,Group Home,1
100144,600144,11/07/2021,12/16/2022,Institutional Care,1
100144,600144,12/16/2022,,Family Foster Care,2
100145,600145,02/28/2023,12/07/2023,Relative Foster Care,1
100146,600146,07/16/2023,02/05/2024,Group Home,1
100146,600146,02/05/2024,08/16/2024,Relative Foster Care,2
100147,600147,06/01/2022,07/03/2022,Family Foster Care,1
100147,600147,07/03/2022,07/27/2022,Pre-Adoptive Home,2
100147,600147,07/27/2022,09/04/2022,Institutional Care,3
100148,600148,09/25/2021,01/04/2022,Family Foster Care,1
100148,600148,01/04/2022,04/08/2022,Pre-Adoptive Home,2
100148,600148,04/08/2022,07/17/2022,Family Foster Care,3
100149,600149,01/23/2022,05/31/2022,Relative Foster Care,1
100149,600149,05/31/2022,09/21/2022,Institutional Care,2
100149,600149,09/21/2022,01/25/2023,Family Foster Care,3
100150,600150,12/28/2021,08/23/2022,Family Foster Care,1
100150,600150,08/23/2022,04/27/2023,Institutional Care,2
100151,600151,04/13/2023,01/05/2024,Family Foster Care,1
100152,600152,05/11/2023,08/03/2023,Family Foster Care,1
100153,600153,08/24/2022,02/01/2023,Pre-Adoptive Home,1
100153,600153,02/01/2023,07/12/2023,Family Foster Care,2
100153,600153,07/12/2023,12/10/2023,Family Foster Care,3
100154,600154,08/29/2023,10/28/2023,Family Foster Care,1
100154,600154,10/28/2023,,Family Foster Care,2
100155,600155,12/03/2022,02/26/2023,Family Foster Care,1
100156,600156,07/31/2023,03/02/2024,Relative Foster Care,1
100157,600157,05/13/2023,12/12/2023,Relative Foster Care,1
100157,600157,12/12/2023,07/22/2024,Family Foster Care,2
100158,600158,05/04/2023,08/22/2023,Group Home,1
100158,600158,08/22/2023,,Family Foster Care,2
100159,600159,01/22/2022,05/04/2022,Family Foster Care,1
100159,600159,05/04/2022,08/04/2022,Family Foster Care,2
100159,600159,08/04/2022,11/08/2022,Group Home,3
100160,600160,01/18/2022,05/14/2022,Relative Foster Care,1
100160,600160,05/14/2022,09/19/2022,Relative Foster Care,2
100160,600160,09/19/2022,01/18/2023,Group Home,3
100161,600161,02/12/2022,03/23/2022,Family Foster Care,1
100162,600162,08/29/2021,12/13/2022,Family Foster Care,1
100162,600162,12/13/2022,,Relative Foster Care,2
100163,600163,03/11/2022,11/17/2022,Institutional Care,1
100163,600163,11/17/2022,07/27/2023,Group Home,2
100163,600163,07/27/2023,,Pre-Adoptive Home,3
100164,600164,07/24/2021,11/11/2022,Family Foster Care,1
100164,600164,11/11/2022,,Relative Foster Care,2
100165,600165,08/13/2022,02/05/2023,Family Foster Care,1
100165,600165,02/05/2023,08/02/2023,Family Foster Care,2
100165,600165,08/02/2023,,Relative Foster Care,3
100166,600166,02/23/2022,05/19/2022,Group Home,1
100167,600167,07/25/2022,,Family Foster Care,1
100168,600168,05/21/2022,11/14/2022,Family Foster Care,1
100169,600169,03/26/2023,,Pre-Adoptive Home,1
100170,600170,08/14/2023,11/06/2023,Family Foster Care,1
100170,600170,11/06/2023,01/30/2024,Pre-Adoptive Home,2
100170,600170,01/30/2024,04/30/2024,Relative Foster Care,3
100170,600170,04/30/2024,07/17/2024,Pre-Adoptive Home,4
100171,600171,10/18/2022,05/16/2023,Family Foster Care,1
100171,600171,05/16/2023,,Institutional Care,2
100172,600172,07/11/2022,03/03/2023,Family Foster Care,1
100173,600173,01/23/2023,04/24/2023,Relative Foster Care,1
100173,600173,04/24/2023,07/25/2023,Family Foster Care,2
100173,600173,07/25/2023,10/16/2023,Relative Foster Care,3
100173,600173,10/16/2023,,Family Foster Care,4
100174,600174,10/15/2021,05/09/2022,Group Home,1
100174,600174,05/09/2022,12/06/2022,Pre-Adoptive Home,2
100174,600174,12/06/2022,07/09/2023,Family Foster Care,3
100174,600174,07/09/2023,,Pre-Adoptive Home,4
100175,600175,08/07/2021,05/28/2022,Group Home,1
100175,600175,05/28/2022,03/10/2023,Institutional Care,2
100175,600175,03/10/2023,,Relative Foster Care,3
100176,600176,07/20/2023,,Family Foster Care,1
100177,600177,09/17/2021,02/28/2022,Relative Foster Care,1
100177,600177,02/28/2022,08/12/2022,Relative Foster Care,2
100177,600177,08/12/2022,01/20/2023,Family Foster Care,3
100178,600178,08/12/2022,02/24/2023,Family Foster Care,1
100178,600178,02/24/2023,09/04/2023,Family Foster Care,2
100178,600178,09/04/2023,,Relative Foster Care,3
100179,600179,08/20/2023,01/11/2024,Pre-Adoptive Home,1
100179,600179,01/11/2024,05/27/2024,Pre-Adoptive Home,2
100179,600179,05/27/2024,10/16/2024,Pre-Adoptive Home,3
100180,600180,09/02/2022,06/16/2023,Family Foster Care,1
100180,600180,06/16/2023,,Family Foster Care,2
100181,600181,09/06/2021,06/24/2022,Relative Foster Care,1
100181,600181,06/24/2022,04/06/2023,Relative Foster Care,2
100181,600181,04/06/2023,,Relative Foster Care,3
100182,600182,03/12/2023,09/19/2023,Pre-Adoptive Home,1
100182,600182,09/19/2023,03/14/2024,Family Foster Care,2
100183,600183,01/17/2022,,Relative Foster Care,1
100184,600184,05/01/2023,,Family Foster Care,1
100185,600185,07/25/2022,12/29/2022,Relative Foster Care,1
100185,600185,12/29/2022,06/05/2023,Family Foster Care,2
100186,600186,10/08/2021,04/09/2022,Relative Foster Care,1
100187,600187,06/04/2022,02/02/2023,Family Foster Care,1
100188,600188,06/19/2023,,Relative Foster Care,1
100189,600189,05/19/2022,,Family Foster Care,1
100190,600190,01/16/2023,,Relative Foster Care,1
100191,600191,11/10/2022,07/12/2023,Institutional Care,1
100191,600191,07/12/2023,03/05/2024,Relative Foster Care,2
100192,600192,08/06/2023,09/12/2023,Family Foster Care,1
100192,600192,09/12/2023,10/12/2023,Relative Foster Care,2
100192,600192,10/12/2023,,Relative Foster Care,3
100193,600193,04/28/2022,03/02/2023,Group Home,1
100193,600193,03/02/2023,,Pre-Adoptive Home,2
100194,600194,04/01/2023,09/16/2023,Pre-Adoptive Home,1
100194,600194,09/16/2023,,Relative Foster Care,2
100195,600195,07/26/2022,,Family Foster Care,1
100196,600196,11/15/2021,09/13/2022,Relative Foster Care,1
100197,600197,03/22/2023,08/12/2023,Family Foster Care,1
100197,600197,08/12/2023,,Family Foster Care,2
100198,600198,08/02/2022,08/23/2023,Institutional Care,1
100199,600199,06/18/2023,04/25/2024,Family Foster Care,1
100200,600200,02/19/2022,08/13/2022,Family Foster Care,1
100200,600200,08/13/2022,01/29/2023,Group Home,2
100200,600200,01/29/2023,07/07/2023,Relative Foster Care,3
100200,600200,07/07/2023,,Pre-Adoptive Home,4
