childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100072,White,0,0,0,0,1,0
100073,Black,0,0,1,0,0,0
100074,Black,0,0,1,0,0,0
100075,Black,0,0,1,0,0,0
100076,Black,0,0,1,0,0,0
100077,Black,0,0,1,0,0,0
100078,Hispanic,0,0,0,0,0,0
100079,Black,0,0,1,0,0,0
100080,Hispanic,0,0,0,0,0,0
100081,White,0,0,0,0,1,0
100082,White,0,0,0,0,1,0
100083,Black,0,0,1,0,0,0
100084,Black,0,0,1,0,0,0
100085,Other,0,0,0,0,0,1
100086,White,0,0,0,0,1,0
100087,Black,0,0,1,0,0,0
100088,White,0,0,0,0,1,0
100089,Other,0,0,0,0,0,1
100090,Other,0,0,0,0,0,1
100091,Black,0,0,1,0,0,0
100092,Hispanic,0,0,0,0,0,0
100093,Hispanic,0,0,0,0,0,0
100094,White,0,0,0,0,1,0
100095,Other,0,0,0,0,0,1
100096,White,0,0,0,0,1,0
100097,White,0,0,0,0,1,0
100098,Black,0,0,1,0,0,0
100099,Black,0,0,1,0,0,0
100100,Hispanic,0,0,0,0,0,0
100101,White,0,0,0,0,1,0
100102,Black,0,0,1,0,0,0
100103,Black,0,0,1,0,0,0
100104,Other,0,0,0,0,0,1
100105,White,0,0,0,0,1,0
100106,White,0,0,0,0,1,0
100107,White,0,0,0,0,1,0
100108,White,0,0,0,0,1,0
100109,Black,0,0,1,0,0,0
100110,Black,0,0,1,0,0,0
100111,Other,0,0,0,0,0,1
100112,White,0,0,0,0,1,0
100113,White,0,0,0,0,1,0
100114,Black,0,0,1,0,0,0
100115,White,0,0,0,0,1,0
100116,Black,0,0,1,0,0,0
100117,Hispanic,0,0,0,0,0,0
100118,Black,0,0,1,0,0,0
100119,Black,0,0,1,0,0,0
100120,White,0,0,0,0,1,0
100121,Black,0,0,1,0,0,0
100122,Hispanic,0,0,0,0,0,0
100123,Hispanic,0,0,0,0,0,0
100124,Hispanic,0,0,0,0,0,0
100125,Other,0,0,0,0,0,1
100126,Black,0,0,1,0,0,0
100127,Other,0,0,0,0,0,1
100128,White,0,0,0,0,1,0
100129,White,0,0,0,0,1,0
100130,Hispanic,0,0,0,0,0,0
100131,White,0,0,0,0,1,0
100132,White,0,0,0,0,1,0
100133,Black,0,0,1,0,0,0
100134,White,0,0,0,0,1,0
100135,White,0,0,0,0,1,0
100136,White,0,0,0,0,1,0
100137,Black,0,0,1,0,0,0
100138,White,0,0,0,0,1,0
100139,Hispanic,0,0,0,0,0,0
100140,Black,0,0,1,0,0,0
100141,Other,0,0,0,0,0,1
100142,White,0,0,0,0,1,0
100143,Black,0,0,1,0,0,0
100144,Other,0,0,0,0,0,1
100145,Black,0,0,1,0,0,0
100146,Black,0,0,1,0,0,0
100147,Black,0,0,1,0,0,0
100148,White,0,0,0,0,1,0
100149,White,0,0,0,0,1,0
100150,Hispanic,0,0,0,0,0,0
100151,White,0,0,0,0,1,0
100152,Hispanic,0,0,0,0,0,0
100153,White,0,0,0,0,1,0
100154,Hispanic,0,0,0,0,0,0
100155,Hispanic,0,0,0,0,0,0
100156,White,0,0,0,0,1,0
100157,Black,0,0,1,0,0,0
100158,White,0,0,0,0,1,0
100159,Other,0,0,0,0,0,1
100160,Hispanic,0,0,0,0,0,0
100161,Black,0,0,1,0,0,0
100162,Hispanic,0,0,0,0,0,0
100163,White,0,0,0,0,1,0
100164,White,0,0,0,0,1,0
100165,Black,0,0,1,0,0,0
100166,White,0,0,0,0,1,0
100167,White,0,0,0,0,1,0
100168,Other,0,0,0,0,0,1
100169,White,0,0,0,0,1,0
100170,White,0,0,0,0,1,0
100171,White,0,0,0,0,1,0
100172,Hispanic,0,0,0,0,0,0
100173,White,0,0,0,0,1,0
100174,White,0,0,0,0,1,0
100175,Black,0,0,1,0,0,0
100176,White,0,0,0,0,1,0
100177,Black,0,0,1,0,0,0
100178,White,0,0,0,0,1,0
100179,White,0,0,0,0,1,0
100180,Other,0,0,0,0,0,1
100181,Black,0,0,1,0,0,0
100182,White,0,0,0,0,1,0
100183,Black,0,0,1,0,0,0
100184,Hispanic,0,0,0,0,0,0
100185,Hispanic,0,0,0,0,0,0
100186,Black,0,0,1,0,0,0
100187,White,0,0,0,0,1,0
100188,Other,0,0,0,0,0,1
100189,White,0,0,0,0,1,0
100190,White,0,0,0,0,1,0
100191,Black,0,0,1,0,0,0
100192,White,0,0,0,0,1,0
100193,White,0,0,0,0,1,0
100194,Black,0,0,1,0,0,0
100195,Black,0,0,1,0,0,0
100196,White,0,0,0,0,1,0
100197,White,0,0,0,0,1,0
100198,Black,0,0,1,0,0,0
100199,Hispanic,0,0,0,0,0,0
100200,Hispanic,0,0,0,0,0,0
