childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,responsible_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100039,07/13/2022,08/03/2023,Emancipation,Genesee,Genesee,600039,07/13/2022,08/03/2023
100040,08/09/2021,,,Kent,Kent,600040,08/09/2021,
100041,07/29/2021,12/28/2021,Guardianship,Kent,Kent,600041,07/29/2021,12/28/2021
100042,01/28/2023,,,Genesee,Genesee,600042,01/28/2023,
100043,07/30/2021,09/01/2021,Guardianship,Kent,Kent,600043,07/30/2021,09/01/2021
100044,05/10/2022,02/12/2023,Reunification,Kent,Kent,600044,05/10/2022,02/12/2023
100045,12/23/2021,08/11/2022,Reunification,Oakland,Oakland,600045,12/23/2021,08/11/2022
100046,02/17/2023,04/11/2024,Emancipation,Wayne,Wayne,600046,02/17/2023,04/11/2024
100047,08/15/2021,03/12/2022,Adoption,Wayne,Wayne,600047,08/15/2021,03/12/2022
100048,12/24/2021,09/22/2022,Reunification,Ingham,Ingham,600048,12/24/2021,09/22/2022
100049,04/07/2023,05/20/2023,Guardianship,Wayne,Wayne,600049,04/07/2023,05/20/2023
100050,06/09/2023,,,Wayne,Wayne,600050,06/09/2023,
100051,09/09/2023,,,Oakland,Oakland,600051,09/09/2023,
100052,12/30/2021,,,Oakland,Oakland,600052,12/30/2021,
100053,02/15/2022,,,Wayne,Wayne,600053,02/15/2022,
100054,10/08/2022,,,Kent,Kent,600054,10/08/2022,
100055,11/29/2021,02/07/2023,Reunification,Kent,Kent,600055,11/29/2021,02/07/2023
100056,03/04/2022,04/19/2023,Guardianship,Kent,Kent,600056,03/04/2022,04/19/2023
100057,11/02/2022,,,Wayne,Wayne,600057,11/02/2022,
100058,02/01/2023,03/10/2023,Adoption,Ingham,Ingham,600058,02/01/2023,03/10/2023
100059,06/08/2023,03/04/2024,Emancipation,Oakland,Oakland,600059,06/08/2023,03/04/2024
100060,07/08/2023,,,Wayne,Wayne,600060,07/08/2023,
100061,01/09/2022,,,Wayne,Wayne,600061,01/09/2022,
100062,11/13/2022,,,Wayne,Wayne,600062,11/13/2022,
100063,03/05/2022,10/30/2022,Emancipation,Oakland,Oakland,600063,03/05/2022,10/30/2022
100064,12/25/2022,03/10/2024,Adoption,Oakland,Oakland,600064,12/25/2022,03/10/2024
100065,11/11/2022,,,Genesee,Genesee,600065,11/11/2022,
100066,06/30/2022,10/28/2023,Emancipation,Ingham,Ingham,600066,06/30/2022,10/28/2023
100067,02/08/2022,,,Ingham,Ingham,600067,02/08/2022,
100068,06/20/2023,01/06/2024,Guardianship,Wayne,Wayne,600068,06/20/2023,01/06/2024
100069,06/13/2022,12/25/2022,Reunification,Wayne,Wayne,600069,06/13/2022,12/25/2022
100070,12/20/2021,,,Wayne,Wayne,600070,12/20/2021,
100071,08/23/2023,,,Kent,Kent,600071,08/23/2023,
100072,06/06/2022,,,Oakland,Oakland,600072,06/06/2022,
100073,01/15/2023,08/29/2023,Adoption,Kent,Kent,600073,01/15/2023,08/29/2023
100074,12/06/2022,,,Ingham,Ingham,600074,12/06/2022,
100075,06/12/2022,,,Kent,Kent,600075,06/12/2022,
100076,05/02/2022,03/30/2023,Guardianship,Kent,Kent,600076,05/02/2022,03/30/2023
100077,07/07/2023,,,Kent,Kent,600077,07/07/2023,
100078,11/01/2022,,,Genesee,Genesee,600078,11/01/2022,
100079,08/04/2021,,,Oakland,Oakland,600079,08/04/2021,
100080,09/19/2022,02/21/2023,Emancipation,Wayne,Wayne,600080,09/19/2022,02/21/2023
100081,01/27/2023,,,Oakland,Oakland,600081,01/27/2023,
100082,10/03/2022,06/07/2023,Guardianship,Oakland,Oakland,600082,10/03/2022,06/07/2023
100083,10/05/2021,01/02/2023,Emancipation,Wayne,Wayne,600083,10/05/2021,01/02/2023
100084,01/29/2023,,,Ingham,Ingham,600084,01/29/2023,
100085,11/09/2022,06/13/2023,Adoption,Oakland,Oakland,600085,11/09/2022,06/13/2023
100086,03/27/2022,,,Wayne,Wayne,600086,03/27/2022,
100087,04/30/2023,,,Genesee,Genesee,600087,04/30/2023,
100088,11/02/2021,06/15/2022,Guardianship,Wayne,Wayne,600088,11/02/2021,06/15/2022
100089,01/05/2022,,,Oakland,Oakland,600089,01/05/2022,
100090,05/05/2022,09/01/2023,Adoption,Wayne,Wayne,600090,05/05/2022,09/01/2023
100091,11/20/2021,,,Oakland,Oakland,600091,11/20/2021,
100092,10/19/2021,10/14/2022,Guardianship,Ingham,Ingham,600092,10/19/2021,10/14/2022
100093,11/12/2021,,,Ingham,Ingham,600093,11/12/2021,
100094,01/29/2022,,,Genesee,Genesee,600094,01/29/2022,
100095,03/17/2022,,,Wayne,Wayne,600095,03/17/2022,
100096,09/05/2023,12/08/2023,Emancipation,Genesee,Genesee,600096,09/05/2023,12/08/2023
100097,12/31/2021,,,Kent,Kent,600097,12/31/2021,
100098,07/08/2023,10/21/2023,Reunification,Oakland,Oakland,600098,07/08/2023,10/21/2023
100099,06/14/2022,,,Kent,Kent,600099,06/14/2022,
100100,10/09/2022,11/16/2023,Reunification,Kent,Kent,600100,10/09/2022,11/16/2023
100101,07/15/2023,,,Kent,Kent,600101,07/15/2023,
100102,11/04/2021,02/24/2023,Emancipation,Genesee,Genesee,600102,11/04/2021,02/24/2023
100103,06/03/2023,,,Wayne,Wayne,600103,06/03/2023,
100104,01/06/2022,,,Genesee,Genesee,600104,01/06/2022,
100105,04/28/2023,,,Ingham,Ingham,600105,04/28/2023,
100106,06/14/2022,12/20/2022,Guardianship,Oakland,Oakland,600106,06/14/2022,12/20/2022
100107,05/12/2022,10/28/2022,Adoption,Oakland,Oakland,600107,05/12/2022,10/28/2022
100108,08/13/2022,12/25/2022,Guardianship,Kent,Kent,600108,08/13/2022,12/25/2022
100109,04/27/2022,,,Wayne,Wayne,600109,04/27/2022,
100110,09/25/2021,12/22/2021,Emancipation,Genesee,Genesee,600110,09/25/2021,12/22/2021
100111,07/01/2022,05/28/2023,Emancipation,Genesee,Genesee,600111,07/01/2022,05/28/2023
100112,03/27/2022,05/28/2023,Guardianship,Kent,Kent,600112,03/27/2022,05/28/2023
100113,03/28/2023,05/19/2024,Reunification,Wayne,Wayne,600113,03/28/2023,05/19/2024
100114,10/24/2021,,,Kent,Kent,600114,10/24/2021,
100115,11/08/2022,01/06/2023,Guardianship,Oakland,Oakland,600115,11/08/2022,01/06/2023
100116,06/18/2022,,,Kent,Kent,600116,06/18/2022,
100117,09/20/2021,01/16/2022,Reunification,Kent,Kent,600117,09/20/2021,01/16/2022
100118,09/05/2022,11/05/2023,Guardianship,Kent,Kent,600118,09/05/2022,11/05/2023
100119,12/05/2022,,,Kent,Kent,600119,12/05/2022,
100120,05/12/2023,,,Ingham,Ingham,600120,05/12/2023,
100121,11/29/2021,07/02/2022,Reunification,Genesee,Genesee,600121,11/29/2021,07/02/2022
100122,02/02/2023,08/02/2023,Reunification,Kent,Kent,600122,02/02/2023,08/02/2023
100123,01/18/2022,05/20/2022,Adoption,Oakland,Oakland,600123,01/18/2022,05/20/2022
100124,03/24/2022,06/11/2023,Emancipation,Genesee,Genesee,600124,03/24/2022,06/11/2023
100125,01/10/2022,,,Kent,Kent,600125,01/10/2022,
100126,12/04/2022,,,Oakland,Oakland,600126,12/04/2022,
100127,09/29/2022,05/19/2023,Guardianship,Wayne,Wayne,600127,09/29/2022,05/19/2023
100128,09/20/2021,01/02/2022,Adoption,Wayne,Wayne,600128,09/20/2021,01/02/2022
100129,06/19/2022,08/28/2022,Reunification,Oakland,Oakland,600129,06/19/2022,08/28/2022
100130,11/17/2022,07/19/2023,Emancipation,Kent,Kent,600130,11/17/2022,07/19/2023
100131,09/16/2021,10/16/2021,Guardianship,Oakland,Oakland,600131,09/16/2021,10/16/2021
100132,08/18/2022,04/03/2023,Guardianship,Kent,Kent,600132,08/18/2022,04/03/2023
100133,07/23/2021,,,Kent,Kent,600133,07/23/2021,
100134,10/09/2021,,,Genesee,Genesee,600134,10/09/2021,
100135,04/12/2022,,,Genesee,Genesee,600135,04/12/2022,
100136,12/16/2022,,,Genesee,Genesee,600136,12/16/2022,
100137,09/10/2022,11/21/2022,Emancipation,Ingham,Ingham,600137,09/10/2022,11/21/2022
100138,10/21/2022,07/06/2023,Emancipation,Kent,Kent,600138,10/21/2022,07/06/2023
100139,12/31/2021,03/11/2023,Reunification,Wayne,Wayne,600139,12/31/2021,03/11/2023
100140,08/21/2023,,,Kent,Kent,600140,08/21/2023,
100141,01/10/2022,,,Kent,Kent,600141,01/10/2022,
100142,04/28/2022,03/11/2023,Reunification,Ingham,Ingham,600142,04/28/2022,03/11/2023
100143,03/01/2023,05/07/2023,Emancipation,Wayne,Wayne,600143,03/01/2023,05/07/2023
100144,11/07/2021,,,Genesee,Genesee,600144,11/07/2021,
100145,02/28/2023,12/07/2023,Reunification,Genesee,Genesee,600145,02/28/2023,12/07/2023
100146,07/16/2023,08/16/2024,Emancipation,Genesee,Genesee,600146,07/16/2023,08/16/2024
100147,06/01/2022,09/04/2022,Adoption,Ingham,Ingham,600147,06/01/2022,09/04/2022
100148,09/25/2021,07/17/2022,Guardianship,Wayne,Wayne,600148,09/25/2021,07/17/2022
100149,01/23/2022,01/25/2023,Guardianship,Oakland,Oakland,600149,01/23/2022,01/25/2023
100150,12/28/2021,04/27/2023,Guardianship,Oakland,Oakland,600150,12/28/2021,04/27/2023
100151,04/13/2023,01/05/2024,Adoption,Wayne,Wayne,600151,04/13/2023,01/05/2024
100152,05/11/2023,08/03/2023,Guardianship,Oakland,Oakland,600152,05/11/2023,08/03/2023
100153,08/24/2022,12/10/2023,Adoption,Wayne,Wayne,600153,08/24/2022,12/10/2023
100154,08/29/2023,,,Kent,Kent,600154,08/29/2023,
100155,12/03/2022,02/26/2023,Emancipation,Kent,Kent,600155,12/03/2022,02/26/2023
100156,07/31/2023,03/02/2024,Guardianship,Genesee,Genesee,600156,07/31/2023,03/02/2024
100157,05/13/2023,07/22/2024,Guardianship,Genesee,Genesee,600157,05/13/2023,07/22/2024
100158,05/04/2023,,,Kent,Kent,600158,05/04/2023,
100159,01/22/2022,11/08/2022,Emancipation,Wayne,Wayne,600159,01/22/2022,11/08/2022
100160,01/18/2022,01/18/2023,Adoption,Oakland,Oakland,600160,01/18/2022,01/18/2023
100161,02/12/2022,03/23/2022,Emancipation,Wayne,Wayne,600161,02/12/2022,03/23/2022
100162,08/29/2021,,,Kent,Kent,600162,08/29/2021,
100163,03/11/2022,,,Kent,Kent,600163,03/11/2022,
100164,07/24/2021,,,Oakland,Oakland,600164,07/24/2021,
100165,08/13/2022,,,Wayne,Wayne,600165,08/13/2022,
100166,02/23/2022,05/19/2022,Adoption,Oakland,Oakland,600166,02/23/2022,05/19/2022
100167,07/25/2022,,,Wayne,Wayne,600167,07/25/2022,
100168,05/21/2022,11/14/2022,Guardianship,Kent,Kent,600168,05/21/2022,11/14/2022
100169,03/26/2023,,,Oakland,Oakland,600169,03/26/2023,
100170,08/14/2023,07/17/2024,Reunification,Genesee,Genesee,600170,08/14/2023,07/17/2024
100171,10/18/2022,,,Kent,Kent,600171,10/18/2022,
100172,07/11/2022,03/03/2023,Reunification,Wayne,Wayne,600172,07/11/2022,03/03/2023
100173,01/23/2023,,,Ingham,Ingham,600173,01/23/2023,
100174,10/15/2021,,,Kent,Kent,600174,10/15/2021,
100175,08/07/2021,,,Kent,Kent,600175,08/07/2021,
100176,07/20/2023,,,Oakland,Oakland,600176,07/20/2023,
100177,09/17/2021,01/20/2023,Emancipation,Genesee,Genesee,600177,09/17/2021,01/20/2023
100178,08/12/2022,,,Oakland,Oakland,600178,08/12/2022,
100179,08/20/2023,10/16/2024,Adoption,Ingham,Ingham,600179,08/20/2023,10/16/2024
100180,09/02/2022,,,Kent,Kent,600180,09/02/2022,
100181,09/06/2021,,,Ingham,Ingham,600181,09/06/2021,
100182,03/12/2023,03/14/2024,Emancipation,Wayne,Wayne,600182,03/12/2023,03/14/2024
100183,01/17/2022,,,Wayne,Wayne,600183,01/17/2022,
100184,05/01/2023,,,Kent,Kent,600184,05/01/2023,
100185,07/25/2022,06/05/2023,Adoption,Wayne,Wayne,600185,07/25/2022,06/05/2023
100186,10/08/2021,04/09/2022,Emancipation,Ingham,Ingham,600186,10/08/2021,04/09/2022
100187,06/04/2022,02/02/2023,Adoption,Genesee,Genesee,600187,06/04/2022,02/02/2023
100188,06/19/2023,,,Oakland,Oakland,600188,06/19/2023,
100189,05/19/2022,,,Genesee,Genesee,600189,05/19/2022,
100190,01/16/2023,,,Ingham,Ingham,600190,01/16/2023,
100191,11/10/2022,03/05/2024,Emancipation,Kent,Kent,600191,11/10/2022,03/05/2024
100192,08/06/2023,,,Ingham,Ingham,600192,08/06/2023,
100193,04/28/2022,,,Wayne,Wayne,600193,04/28/2022,
100194,04/01/2023,,,Kent,Kent,600194,04/01/2023,
100195,07/26/2022,,,Ingham,Ingham,600195,07/26/2022,
100196,11/15/2021,09/13/2022,Emancipation,Kent,Kent,600196,11/15/2021,09/13/2022
100197,03/22/2023,,,Kent,Kent,600197,03/22/2023,
100198,08/02/2022,08/23/2023,Adoption,Wayne,Wayne,600198,08/02/2022,08/23/2023
100199,06/18/2023,04/25/2024,Emancipation,Oakland,Oakland,600199,06/18/2023,04/25/2024
100200,02/19/2022,,,Wayne,Wayne,600200,02/19/2022,
