intake_id,src_intake_id,screeningdecision,county_name,complaint_date,investigation_caseid,srcongoingcase,allegationtypedesc,intakechildpartyid,intakeperppartyid,findingdesc,abuseneglect,relationtypeperptovictim,child_role
300013,1300013,Transfer,Kent,01/16/2022,,463654,Neglect - Failure to Provide,100105,200094,,A,Step-Parent,Victim
300014,1300014,Investigate,Wayne,03/01/2022,507493,441105,Neglect - Failure to Protect,100192,200118,Preponderance,N,Mother's Paramour,Victim
300014,1300014,Investigate,Wayne,03/01/2022,507493,441105,Physical Abuse,100192,200118,Preponderance,N,Parent,Victim
300015,1300015,Screen Out,Wayne,03/11/2022,,474669,Physical Abuse,100031,200077,,A,Other Caregiver,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Sexual Abuse,100053,200083,Preponderance,A,Parent,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Sexual Abuse,100172,200113,No Preponderance,A,Step-Parent,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Medical Neglect,100172,200113,No Preponderance,A,Other Caregiver,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Medical Neglect,100172,200009,No Preponderance,N,Mother's Paramour,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Sexual Abuse,100172,200009,No Preponderance,N,Father's Paramour,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Physical Abuse,100184,200014,No Evidence,A,Parent,Victim
300016,1300016,Investigate,Oakland,08/02/2023,531286,441181,Neglect - Failure to Protect,100184,200113,No Evidence,N,Relative,Victim
300017,1300017,Screen Out,Wayne,08/04/2022,,434601,Physical Abuse,100163,200033,,A,Father's Paramour,Victim
300017,1300017,Screen Out,Wayne,08/04/2022,,434601,Medical Neglect,100163,200033,,A,Other Caregiver,Victim
300018,1300018,Investigate,Genesee,02/15/2022,597155,421179,Medical Neglect,100164,200015,No Evidence,N,Step-Parent,Victim
300018,1300018,Investigate,Genesee,02/15/2022,597155,421179,Physical Abuse,100068,200019,No Evidence,A,Relative,Victim
300019,1300019,Screen Out,Kent,02/10/2022,,487417,Neglect - Failure to Provide,100064,200100,,N,Mother's Paramour,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Medical Neglect,100046,200043,,N,Relative,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Neglect - Failure to Protect,100046,200043,,N,Step-Parent,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Physical Abuse,100046,200101,,A,Parent,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Neglect - Failure to Provide,100046,200101,,A,Other Caregiver,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Sexual Abuse,100106,200105,,A,Step-Parent,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Medical Neglect,100106,200105,,A,Step-Parent,Victim
300020,1300020,Screen Out,Oakland,08/31/2022,,423510,Sexual Abuse,100007,200025,,A,Parent,Victim
300021,1300021,Investigate,Ingham,10/13/2022,543405,470283,Sexual Abuse,100174,200034,No Preponderance,A,Parent,Victim
300021,1300021,Investigate,Ingham,10/13/2022,543405,470283,Neglect - Failure to Provide,100174,200023,No Preponderance,N,Relative,Victim
300022,1300022,Investigate,Oakland,11/18/2022,533387,424915,Emotional Abuse,100030,200067,Preponderance,A,Relative,Victim
300022,1300022,Investigate,Oakland,11/18/2022,533387,424915,Neglect - Failure to Protect,100030,200067,Preponderance,A,Other Caregiver,Victim
300022,1300022,Investigate,Oakland,11/18/2022,533387,424915,Sexual Abuse,100099,200065,Preponderance,A,Other Caregiver,Victim
300022,1300022,Investigate,Oakland,11/18/2022,533387,424915,Emotional Abuse,100099,200040,Preponderance,A,Step-Parent,Victim
300022,1300022,Investigate,Oakland,11/18/2022,533387,424915,Emotional Abuse,100148,200027,No Preponderance,A,Mother's Paramour,Victim
300023,1300023,Investigate,Oakland,04/22/2023,522242,496464,Physical Abuse,100131,200082,No Evidence,A,Step-Parent,Victim
300023,1300023,Investigate,Oakland,04/22/2023,522242,496464,Neglect - Failure to Provide,100122,200019,No Preponderance,N,Mother's Paramour,Victim
300023,1300023,Investigate,Oakland,04/22/2023,522242,496464,Physical Abuse,100122,200004,No Preponderance,A,Other Caregiver,Victim
300023,1300023,Investigate,Oakland,04/22/2023,522242,496464,Neglect - Failure to Provide,100122,200004,No Preponderance,A,Father's Paramour,Victim
300024,1300024,Investigate,Oakland,01/29/2023,500727,490129,Medical Neglect,100168,200029,No Preponderance,N,Other Caregiver,Victim
300024,1300024,Investigate,Oakland,01/29/2023,500727,490129,Emotional Abuse,100168,200029,No Preponderance,N,Parent,Victim
300024,1300024,Investigate,Oakland,01/29/2023,500727,490129,Physical Abuse,100168,200023,No Preponderance,A,Other Caregiver,Victim
300025,1300025,Screen Out,Wayne,04/21/2023,,458009,Neglect - Failure to Provide,100153,200093,,N,Other Caregiver,Victim
300025,1300025,Screen Out,Wayne,04/21/2023,,458009,Emotional Abuse,100153,200093,,N,Step-Parent,Victim
300025,1300025,Screen Out,Wayne,04/21/2023,,458009,Neglect - Failure to Protect,100082,200061,,N,Father's Paramour,Victim
300025,1300025,Screen Out,Wayne,04/21/2023,,458009,Emotional Abuse,100082,200058,,A,Other Caregiver,Victim
300025,1300025,Screen Out,Wayne,04/21/2023,,458009,Medical Neglect,100194,200036,,N,Relative,Victim
300026,1300026,Investigate,Wayne,12/10/2022,530312,419770,Emotional Abuse,100036,200009,No Preponderance,A,Other Caregiver,Victim
300026,1300026,Investigate,Wayne,12/10/2022,530312,419770,Neglect - Failure to Protect,100036,200054,No Preponderance,N,Other Caregiver,Victim
300027,1300027,Screen Out,Kent,08/22/2023,,475457,Sexual Abuse,100196,200001,,A,Other Caregiver,Victim
300027,1300027,Screen Out,Kent,08/22/2023,,475457,Neglect - Failure to Provide,100196,200001,,A,Mother's Paramour,Victim
300028,1300028,Screen Out,Oakland,07/14/2023,,435775,Medical Neglect,100125,200004,,N,Father's Paramour,Victim
300028,1300028,Screen Out,Oakland,07/14/2023,,435775,Neglect - Failure to Protect,100057,200093,,N,Mother's Paramour,Victim
300028,1300028,Screen Out,Oakland,07/14/2023,,435775,Emotional Abuse,100057,200093,,N,Parent,Victim
300028,1300028,Screen Out,Oakland,07/14/2023,,435775,Emotional Abuse,100057,200022,,A,Father's Paramour,Victim
300028,1300028,Screen Out,Oakland,07/14/2023,,435775,Medical Neglect,100057,200022,,A,Parent,Victim
300029,1300029,Investigate,Wayne,03/15/2023,549690,434100,Sexual Abuse,100013,200098,No Evidence,A,Relative,Victim
300029,1300029,Investigate,Wayne,03/15/2023,549690,434100,Neglect - Failure to Provide,100013,200098,No Evidence,A,Parent,Victim
300030,1300030,Investigate,Kent,07/07/2023,505277,485427,Neglect - Failure to Protect,100058,200003,No Preponderance,N,Step-Parent,Victim
300030,1300030,Investigate,Kent,07/07/2023,505277,485427,Sexual Abuse,100167,200028,No Preponderance,A,Relative,Victim
300030,1300030,Investigate,Kent,07/07/2023,505277,485427,Neglect - Failure to Protect,100018,200096,Preponderance,N,Relative,Victim
300031,1300031,Screen Out,Oakland,03/19/2022,,491383,Physical Abuse,100063,200109,,A,Mother's Paramour,Victim
300031,1300031,Screen Out,Oakland,03/19/2022,,491383,Sexual Abuse,100063,200088,,A,Other Caregiver,Victim
300031,1300031,Screen Out,Oakland,03/19/2022,,491383,Emotional Abuse,100063,200088,,A,Father's Paramour,Victim
300031,1300031,Screen Out,Oakland,03/19/2022,,491383,Physical Abuse,100027,200065,,A,Other Caregiver,Victim
300032,1300032,Investigate,Genesee,04/19/2022,520053,492709,Neglect - Failure to Provide,100118,200118,No Evidence,N,Other Caregiver,Victim
300033,1300033,Investigate,Kent,08/30/2023,531964,459088,Neglect - Failure to Protect,100023,200064,No Evidence,N,Step-Parent,Victim
300033,1300033,Investigate,Kent,08/30/2023,531964,459088,Neglect - Failure to Provide,100023,200064,No Evidence,N,Relative,Victim
300033,1300033,Investigate,Kent,08/30/2023,531964,459088,Sexual Abuse,100072,200077,No Evidence,A,Mother's Paramour,Victim
300034,1300034,Investigate,Wayne,07/15/2022,531500,499375,Neglect - Failure to Protect,100126,200003,No Evidence,N,Other Caregiver,Victim
300034,1300034,Investigate,Wayne,07/15/2022,531500,499375,Emotional Abuse,100143,200048,No Evidence,A,Relative,Victim
300035,1300035,Investigate,Kent,07/18/2023,530218,432952,Medical Neglect,100070,200016,Preponderance,N,Step-Parent,Victim
300035,1300035,Investigate,Kent,07/18/2023,530218,432952,Medical Neglect,100079,200023,No Evidence,N,Mother's Paramour,Victim
300036,1300036,Transfer,Wayne,02/16/2022,,416552,Physical Abuse,100179,200097,,A,Mother's Paramour,Victim
300037,1300037,Investigate,Wayne,05/06/2023,562617,433093,Medical Neglect,100014,200063,Preponderance,N,Father's Paramour,Victim
300038,1300038,Investigate,Wayne,03/03/2023,549857,468495,Sexual Abuse,100058,200076,No Evidence,A,Mother's Paramour,Victim
300038,1300038,Investigate,Wayne,03/03/2023,549857,468495,Emotional Abuse,100058,200076,No Evidence,A,Parent,Victim
300038,1300038,Investigate,Wayne,03/03/2023,549857,468495,Medical Neglect,100199,200027,No Preponderance,N,Parent,Victim
300038,1300038,Investigate,Wayne,03/03/2023,549857,468495,Neglect - Failure to Protect,100199,200081,No Preponderance,N,Mother's Paramour,Victim
300039,1300039,Investigate,Wayne,01/03/2022,530341,404279,Sexual Abuse,100121,200059,No Evidence,A,Father's Paramour,Victim
300039,1300039,Investigate,Wayne,01/03/2022,530341,404279,Neglect - Failure to Protect,100121,200010,No Evidence,N,Other Caregiver,Victim
300039,1300039,Investigate,Wayne,01/03/2022,530341,404279,Neglect - Failure to Protect,100075,200020,Preponderance,N,Parent,Victim
300039,1300039,Investigate,Wayne,01/03/2022,530341,404279,Physical Abuse,100075,200020,Preponderance,N,Step-Parent,Victim
300040,1300040,Screen Out,Oakland,08/06/2023,,490267,Emotional Abuse,100120,200052,,A,Other Caregiver,Victim
300040,1300040,Screen Out,Oakland,08/06/2023,,490267,Medical Neglect,100120,200052,,A,Other Caregiver,Victim
300041,1300041,Screen Out,Wayne,02/10/2022,,403391,Emotional Abuse,100155,200087,,A,Parent,Victim
300041,1300041,Screen Out,Wayne,02/10/2022,,403391,Medical Neglect,100155,200087,,A,Father's Paramour,Victim
300041,1300041,Screen Out,Wayne,02/10/2022,,403391,Neglect - Failure to Protect,100065,200074,,N,Mother's Paramour,Victim
300041,1300041,Screen Out,Wayne,02/10/2022,,403391,Neglect - Failure to Provide,100065,200074,,N,Father's Paramour,Victim
300041,1300041,Screen Out,Wayne,02/10/2022,,403391,Sexual Abuse,100065,200006,,A,Step-Parent,Victim
300042,1300042,Screen Out,Ingham,03/23/2023,,461606,Physical Abuse,100024,200043,,A,Step-Parent,Victim
300043,1300043,Investigate,Wayne,05/23/2023,511543,459615,Emotional Abuse,100195,200099,No Evidence,A,Parent,Victim
300043,1300043,Investigate,Wayne,05/23/2023,511543,459615,Emotional Abuse,100141,200025,No Evidence,A,Other Caregiver,Victim
300043,1300043,Investigate,Wayne,05/23/2023,511543,459615,Sexual Abuse,100010,200071,No Preponderance,A,Other Caregiver,Victim
300044,1300044,Investigate,Genesee,05/12/2023,540731,420759,Neglect - Failure to Provide,100156,200108,No Evidence,N,Father's Paramour,Victim
300044,1300044,Investigate,Genesee,05/12/2023,540731,420759,Physical Abuse,100156,200108,No Evidence,N,Step-Parent,Victim
300044,1300044,Investigate,Genesee,05/12/2023,540731,420759,Neglect - Failure to Provide,100062,200035,No Evidence,N,Other Caregiver,Victim
300044,1300044,Investigate,Genesee,05/12/2023,540731,420759,Emotional Abuse,100182,200050,Preponderance,A,Mother's Paramour,Victim
300045,1300045,Investigate,Wayne,03/13/2022,535019,466551,Medical Neglect,100107,200108,No Evidence,N,Other Caregiver,Victim
300045,1300045,Investigate,Wayne,03/13/2022,535019,466551,Neglect - Failure to Provide,100107,200076,No Evidence,N,Other Caregiver,Victim
300045,1300045,Investigate,Wayne,03/13/2022,535019,466551,Emotional Abuse,100107,200076,No Evidence,N,Relative,Victim
300045,1300045,Investigate,Wayne,03/13/2022,535019,466551,Medical Neglect,100088,200042,No Evidence,N,Mother's Paramour,Victim
300045,1300045,Investigate,Wayne,03/13/2022,535019,466551,Neglect - Failure to Protect,100088,200042,No Evidence,N,Other Caregiver,Victim
300046,1300046,Investigate,Wayne,02/25/2023,586992,450605,Emotional Abuse,100181,200005,No Preponderance,A,Relative,Victim
300046,1300046,Investigate,Wayne,02/25/2023,586992,450605,Medical Neglect,100098,200117,No Evidence,N,Step-Parent,Victim
300047,1300047,Transfer,Kent,11/02/2023,,444376,Sexual Abuse,100068,200051,,A,Father's Paramour,Victim
300048,1300048,Transfer,Genesee,01/25/2023,,470913,Medical Neglect,100195,200009,,N,Relative,Victim
300048,1300048,Transfer,Genesee,01/25/2023,,470913,Physical Abuse,100125,200096,,A,Father's Paramour,Victim
300048,1300048,Transfer,Genesee,01/25/2023,,470913,Physical Abuse,100125,200012,,A,Other Caregiver,Victim
300049,1300049,Screen Out,Wayne,11/03/2022,,438453,Emotional Abuse,100015,200056,,A,Other Caregiver,Victim
300050,1300050,Investigate,Oakland,07/04/2022,589540,481227,Sexual Abuse,100098,200019,Preponderance,A,Other Caregiver,Victim
300050,1300050,Investigate,Oakland,07/04/2022,589540,481227,Physical Abuse,100098,200030,Preponderance,A,Other Caregiver,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Physical Abuse,100151,200026,Preponderance,A,Other Caregiver,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Neglect - Failure to Protect,100151,200026,Preponderance,A,Mother's Paramour,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Sexual Abuse,100151,200050,Preponderance,A,Father's Paramour,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Neglect - Failure to Protect,100077,200030,No Evidence,N,Mother's Paramour,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Medical Neglect,100077,200030,No Evidence,N,Relative,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Medical Neglect,100077,200078,No Evidence,N,Father's Paramour,Victim
300051,1300051,Investigate,Oakland,06/11/2022,590481,455616,Physical Abuse,100164,200116,No Preponderance,A,Relative,Victim
300052,1300052,Investigate,Genesee,02/04/2022,597974,442824,Sexual Abuse,100024,200070,No Preponderance,A,Mother's Paramour,Victim
300052,1300052,Investigate,Genesee,02/04/2022,597974,442824,Emotional Abuse,100024,200070,No Preponderance,A,Relative,Victim
300052,1300052,Investigate,Genesee,02/04/2022,597974,442824,Sexual Abuse,100076,200062,No Evidence,A,Parent,Victim
300052,1300052,Investigate,Genesee,02/04/2022,597974,442824,Physical Abuse,100076,200104,No Evidence,A,Step-Parent,Victim
300053,1300053,Screen Out,Genesee,08/20/2022,,447943,Emotional Abuse,100102,200051,,A,Parent,Victim
300053,1300053,Screen Out,Genesee,08/20/2022,,447943,Sexual Abuse,100143,200087,,A,Mother's Paramour,Victim
300054,1300054,Screen Out,Kent,10/16/2023,,461798,Sexual Abuse,100060,200114,,A,Step-Parent,Victim
300054,1300054,Screen Out,Kent,10/16/2023,,461798,Emotional Abuse,100060,200114,,A,Father's Paramour,Victim
300055,1300055,Screen Out,Wayne,04/21/2023,,415293,Neglect - Failure to Provide,100105,200005,,N,Parent,Victim
300056,1300056,Investigate,Wayne,07/05/2023,591290,497405,Neglect - Failure to Provide,100172,200094,No Evidence,N,Father's Paramour,Victim
300057,1300057,Investigate,Wayne,05/17/2023,528478,448567,Medical Neglect,100072,200013,No Preponderance,N,Relative,Victim
300057,1300057,Investigate,Wayne,05/17/2023,528478,448567,Sexual Abuse,100072,200088,No Preponderance,A,Step-Parent,Victim
300057,1300057,Investigate,Wayne,05/17/2023,528478,448567,Emotional Abuse,100009,200028,No Evidence,A,Parent,Victim
300057,1300057,Investigate,Wayne,05/17/2023,528478,448567,Neglect - Failure to Protect,100177,200017,Preponderance,N,Mother's Paramour,Victim
300057,1300057,Investigate,Wayne,05/17/2023,528478,448567,Physical Abuse,100177,200017,Preponderance,N,Step-Parent,Victim
300058,1300058,Investigate,Genesee,08/27/2022,536343,400372,Physical Abuse,100153,200070,No Preponderance,A,Step-Parent,Victim
300058,1300058,Investigate,Genesee,08/27/2022,536343,400372,Medical Neglect,100153,200070,No Preponderance,A,Parent,Victim
300058,1300058,Investigate,Genesee,08/27/2022,536343,400372,Neglect - Failure to Protect,100153,200033,No Preponderance,N,Mother's Paramour,Victim
300059,1300059,Investigate,Wayne,06/28/2022,514897,468956,Physical Abuse,100108,200047,No Evidence,A,Other Caregiver,Victim
300060,1300060,Investigate,Kent,09/22/2023,560037,439536,Neglect - Failure to Provide,100169,200062,No Preponderance,N,Other Caregiver,Victim
300060,1300060,Investigate,Kent,09/22/2023,560037,439536,Physical Abuse,100169,200062,No Preponderance,N,Father's Paramour,Victim
300060,1300060,Investigate,Kent,09/22/2023,560037,439536,Neglect - Failure to Protect,100134,200042,No Preponderance,N,Relative,Victim
300060,1300060,Investigate,Kent,09/22/2023,560037,439536,Emotional Abuse,100134,200078,No Preponderance,A,Mother's Paramour,Victim
300061,1300061,Transfer,Oakland,01/26/2023,,466264,Physical Abuse,100117,200013,,A,Father's Paramour,Victim
300061,1300061,Transfer,Oakland,01/26/2023,,466264,Emotional Abuse,100117,200013,,A,Step-Parent,Victim
300062,1300062,Investigate,Kent,08/22/2022,512464,495632,Neglect - Failure to Protect,100103,200033,Preponderance,N,Father's Paramour,Victim
300062,1300062,Investigate,Kent,08/22/2022,512464,495632,Medical Neglect,100107,200012,Preponderance,N,Relative,Victim
300062,1300062,Investigate,Kent,08/22/2022,512464,495632,Emotional Abuse,100107,200056,Preponderance,A,Mother's Paramour,Victim
300062,1300062,Investigate,Kent,08/22/2022,512464,495632,Physical Abuse,100107,200056,Preponderance,A,Mother's Paramour,Victim
300063,1300063,Investigate,Oakland,02/25/2023,506744,494511,Neglect - Failure to Protect,100193,200074,No Evidence,N,Father's Paramour,Victim
300063,1300063,Investigate,Oakland,02/25/2023,506744,494511,Sexual Abuse,100109,200072,No Preponderance,A,Mother's Paramour,Victim
300064,1300064,Screen Out,Wayne,03/16/2023,,484240,Medical Neglect,100160,200078,,N,Parent,Victim
300064,1300064,Screen Out,Wayne,03/16/2023,,484240,Sexual Abuse,100160,200078,,N,Step-Parent,Victim
300064,1300064,Screen Out,Wayne,03/16/2023,,484240,Sexual Abuse,100158,200098,,A,Relative,Victim
300064,1300064,Screen Out,Wayne,03/16/2023,,484240,Medical Neglect,100173,200112,,N,Other Caregiver,Victim
300065,1300065,Transfer,Wayne,10/11/2023,,428198,Sexual Abuse,100136,200059,,A,Relative,Victim
300066,1300066,Screen Out,Oakland,08/05/2023,,498886,Neglect - Failure to Provide,100040,200087,,N,Father's Paramour,Victim
300066,1300066,Screen Out,Oakland,08/05/2023,,498886,Sexual Abuse,100041,200078,,A,Step-Parent,Victim
300067,1300067,Investigate,Genesee,04/27/2022,577744,488931,Physical Abuse,100174,200051,No Evidence,A,Step-Parent,Victim
300067,1300067,Investigate,Genesee,04/27/2022,577744,488931,Medical Neglect,100174,200051,No Evidence,A,Relative,Victim
300068,1300068,Screen Out,Ingham,05/21/2022,,401014,Neglect - Failure to Provide,100031,200056,,N,Mother's Paramour,Victim
300069,1300069,Screen Out,Oakland,05/28/2023,,452045,Physical Abuse,100091,200006,,A,Relative,Victim
300069,1300069,Screen Out,Oakland,05/28/2023,,452045,Emotional Abuse,100091,200056,,A,Other Caregiver,Victim
300069,1300069,Screen Out,Oakland,05/28/2023,,452045,Physical Abuse,100019,200054,,A,Relative,Victim
300069,1300069,Screen Out,Oakland,05/28/2023,,452045,Emotional Abuse,100019,200038,,A,Other Caregiver,Victim
300070,1300070,Investigate,Genesee,01/06/2023,552488,477185,Neglect - Failure to Protect,100063,200096,No Evidence,N,Parent,Victim
300070,1300070,Investigate,Genesee,01/06/2023,552488,477185,Physical Abuse,100063,200044,No Evidence,A,Mother's Paramour,Victim
300070,1300070,Investigate,Genesee,01/06/2023,552488,477185,Neglect - Failure to Protect,100112,200105,No Evidence,N,Step-Parent,Victim
300071,1300071,Investigate,Wayne,09/20/2022,523219,409877,Neglect - Failure to Provide,100195,200073,No Evidence,N,Father's Paramour,Victim
300071,1300071,Investigate,Wayne,09/20/2022,523219,409877,Emotional Abuse,100195,200073,No Evidence,N,Father's Paramour,Victim
300071,1300071,Investigate,Wayne,09/20/2022,523219,409877,Physical Abuse,100168,200081,No Evidence,A,Other Caregiver,Victim
300071,1300071,Investigate,Wayne,09/20/2022,523219,409877,Sexual Abuse,100168,200041,No Evidence,A,Relative,Victim
300072,1300072,Investigate,Oakland,12/27/2022,507457,404930,Physical Abuse,100116,200111,No Evidence,A,Mother's Paramour,Victim
300072,1300072,Investigate,Oakland,12/27/2022,507457,404930,Emotional Abuse,100116,200111,No Evidence,A,Mother's Paramour,Victim
300073,1300073,Investigate,Kent,08/18/2023,585438,474929,Physical Abuse,100011,200065,Preponderance,A,Other Caregiver,Victim
300073,1300073,Investigate,Kent,08/18/2023,585438,474929,Sexual Abuse,100116,200079,No Evidence,A,Relative,Victim
300074,1300074,Screen Out,Kent,12/13/2022,,484844,Medical Neglect,100162,200043,,N,Other Caregiver,Victim
300075,1300075,Transfer,Wayne,11/04/2023,,410683,Sexual Abuse,100039,200019,,A,Step-Parent,Victim
300075,1300075,Transfer,Wayne,11/04/2023,,410683,Neglect - Failure to Provide,100039,200019,,A,Mother's Paramour,Victim
300075,1300075,Transfer,Wayne,11/04/2023,,410683,Medical Neglect,100086,200011,,N,Relative,Victim
300075,1300075,Transfer,Wayne,11/04/2023,,410683,Medical Neglect,100086,200040,,N,Parent,Victim
300075,1300075,Transfer,Wayne,11/04/2023,,410683,Emotional Abuse,100086,200040,,N,Father's Paramour,Victim
300076,1300076,Investigate,Oakland,06/05/2023,544792,428075,Sexual Abuse,100047,200018,No Evidence,A,Parent,Victim
300077,1300077,Screen Out,Kent,07/07/2023,,444141,Neglect - Failure to Protect,100010,200080,,N,Step-Parent,Victim
300077,1300077,Screen Out,Kent,07/07/2023,,444141,Medical Neglect,100010,200017,,N,Mother's Paramour,Victim
300077,1300077,Screen Out,Kent,07/07/2023,,444141,Neglect - Failure to Provide,100170,200022,,N,Relative,Victim
300077,1300077,Screen Out,Kent,07/07/2023,,444141,Neglect - Failure to Protect,100170,200093,,N,Other Caregiver,Victim
300078,1300078,Investigate,Oakland,04/05/2023,548214,425431,Emotional Abuse,100121,200037,No Evidence,A,Other Caregiver,Victim
300078,1300078,Investigate,Oakland,04/05/2023,548214,425431,Medical Neglect,100121,200037,No Evidence,A,Step-Parent,Victim
300079,1300079,Investigate,Genesee,09/12/2023,548656,462992,Physical Abuse,100165,200067,No Preponderance,A,Step-Parent,Victim
300079,1300079,Investigate,Genesee,09/12/2023,548656,462992,Emotional Abuse,100165,200109,No Preponderance,A,Step-Parent,Victim
300080,1300080,Screen Out,Genesee,04/04/2022,,445821,Sexual Abuse,100116,200054,,A,Step-Parent,Victim
300080,1300080,Screen Out,Genesee,04/04/2022,,445821,Physical Abuse,100116,200007,,A,Relative,Victim
300081,1300081,Screen Out,Wayne,11/23/2022,,419143,Neglect - Failure to Provide,100167,200037,,N,Father's Paramour,Victim
