childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100048,01/30/2021,08/14/2022,Guardianship,Wayne,600111,01/30/2021,08/14/2022
100133,04/01/2021,08/01/2022,Reunification,Oakland,600112,04/01/2021,08/01/2022
100047,03/17/2020,,,Kent,600113,03/17/2020,
100107,09/11/2021,12/28/2021,Adoption,Ingham,600114,09/11/2021,12/28/2021
100082,01/23/2022,11/17/2022,Guardianship,Genesee,600115,01/23/2022,11/17/2022
100059,05/17/2021,09/14/2022,Reunification,Oakland,600116,05/17/2021,09/14/2022
100174,12/18/2021,08/10/2022,Adoption,Kent,600117,12/18/2021,08/10/2022
100049,09/18/2021,02/20/2023,Emancipation,Genesee,600118,09/18/2021,02/20/2023
100013,12/18/2020,07/22/2021,Adoption,Genesee,600119,12/18/2020,07/22/2021
100111,06/14/2020,,,Ingham,600120,06/14/2020,
100126,04/05/2020,10/27/2020,Guardianship,Ingham,600121,04/05/2020,10/27/2020
100110,02/28/2022,04/30/2022,Emancipation,Ingham,600122,02/28/2022,04/30/2022
100011,10/31/2020,04/09/2022,Emancipation,Kent,600123,10/31/2020,04/09/2022
100038,05/31/2022,10/16/2022,Guardianship,Kent,600124,05/31/2022,10/16/2022
100099,01/28/2021,,,Oakland,600125,01/28/2021,
100030,05/24/2021,02/24/2022,Adoption,Ingham,600126,05/24/2021,02/24/2022
100085,11/19/2021,05/05/2022,Guardianship,Oakland,600127,11/19/2021,05/05/2022
100137,03/16/2020,08/14/2020,Adoption,Wayne,600128,03/16/2020,08/14/2020
100018,09/08/2021,09/14/2022,Emancipation,Ingham,600129,09/08/2021,09/14/2022
100050,12/01/2020,11/02/2021,Guardianship,Ingham,600130,12/01/2020,11/02/2021
100093,11/20/2021,,,Wayne,600131,11/20/2021,
100076,09/26/2021,02/15/2022,Adoption,Wayne,600132,09/26/2021,02/15/2022
100021,04/27/2021,09/28/2022,Emancipation,Oakland,600133,04/27/2021,09/28/2022
100097,07/25/2021,06/15/2022,Adoption,Genesee,600134,07/25/2021,06/15/2022
100032,03/25/2022,06/02/2023,Guardianship,Kent,600135,03/25/2022,06/02/2023
100118,04/27/2022,09/15/2022,Adoption,Kent,600136,04/27/2022,09/15/2022
100012,04/12/2020,09/29/2020,Reunification,Ingham,600137,04/12/2020,09/29/2020
100068,03/01/2020,05/08/2020,Adoption,Genesee,600138,03/01/2020,05/08/2020
100089,02/05/2022,06/24/2022,Guardianship,Oakland,600139,02/05/2022,06/24/2022
100092,05/21/2022,12/03/2022,Emancipation,Oakland,600140,05/21/2022,12/03/2022
100025,05/26/2022,09/21/2022,Emancipation,Wayne,600141,05/26/2022,09/21/2022
100098,09/11/2020,,,Oakland,600142,09/11/2020,
100166,12/10/2021,02/28/2023,Guardianship,Wayne,600143,12/10/2021,02/28/2023
100173,02/04/2022,,,Ingham,600144,02/04/2022,
100087,12/21/2021,08/03/2023,Adoption,Ingham,600145,12/21/2021,08/03/2023
100165,04/01/2021,06/29/2021,Emancipation,Oakland,600146,04/01/2021,06/29/2021
100040,07/08/2021,,,Wayne,600147,07/08/2021,
100153,03/06/2021,,,Genesee,600148,03/06/2021,
100088,07/04/2021,08/06/2021,Reunification,Oakland,600149,07/04/2021,08/06/2021
100169,08/23/2020,01/15/2021,Reunification,Genesee,600150,08/23/2020,01/15/2021
100041,04/02/2021,06/16/2021,Emancipation,Genesee,600151,04/02/2021,06/16/2021
100002,02/27/2020,,,Ingham,600152,02/27/2020,
100072,08/14/2020,,,Kent,600153,08/14/2020,
100151,11/22/2020,06/25/2022,Emancipation,Kent,600154,11/22/2020,06/25/2022
100115,05/17/2020,09/19/2021,Guardianship,Wayne,600155,05/17/2020,09/19/2021
100057,02/10/2020,10/19/2020,Emancipation,Kent,600156,02/10/2020,10/19/2020
100108,02/03/2022,04/15/2023,Adoption,Ingham,600157,02/03/2022,04/15/2023
100172,04/22/2021,,,Oakland,600158,04/22/2021,
100051,03/03/2021,12/09/2021,Emancipation,Ingham,600159,03/03/2021,12/09/2021
100144,10/19/2021,04/10/2022,Emancipation,Kent,600160,10/19/2021,04/10/2022
100178,02/26/2021,04/06/2021,Adoption,Ingham,600161,02/26/2021,04/06/2021
100155,05/09/2021,06/20/2021,Reunification,Ingham,600162,05/09/2021,06/20/2021
100130,07/02/2020,01/22/2022,Guardianship,Oakland,600163,07/02/2020,01/22/2022
100060,08/01/2021,11/21/2021,Reunification,Wayne,600164,08/01/2021,11/21/2021
100056,06/24/2020,,,Ingham,600165,06/24/2020,
100024,10/14/2020,,,Oakland,600166,10/14/2020,
100008,12/30/2021,03/03/2023,Guardianship,Genesee,600167,12/30/2021,03/03/2023
100009,03/23/2021,,,Ingham,600168,03/23/2021,
100109,04/06/2021,11/12/2021,Emancipation,Wayne,600169,04/06/2021,11/12/2021
100152,06/06/2020,05/17/2021,Emancipation,Oakland,600170,06/06/2020,05/17/2021
100023,04/15/2020,04/12/2021,Emancipation,Wayne,600171,04/15/2020,04/12/2021
100140,09/05/2020,07/07/2021,Guardianship,Oakland,600172,09/05/2020,07/07/2021
100027,09/09/2020,02/24/2021,Guardianship,Wayne,600173,09/09/2020,02/24/2021
100036,10/28/2021,,,Kent,600174,10/28/2021,
100058,05/17/2021,07/23/2022,Guardianship,Wayne,600175,05/17/2021,07/23/2022
100063,05/01/2022,,,Genesee,600176,05/01/2022,
100071,01/02/2022,,,Genesee,600177,01/02/2022,
100007,04/11/2022,01/20/2023,Guardianship,Kent,600178,04/11/2022,01/20/2023
100029,02/09/2022,11/30/2022,Adoption,Ingham,600179,02/09/2022,11/30/2022
100164,05/27/2021,08/25/2022,Reunification,Wayne,600180,05/27/2021,08/25/2022
