childpartyid,racedesc,ame,asi,bla,haw,whi,mis
100079,White,0,0,0,0,1,0
100104,Black,0,0,1,0,0,0
100073,Black,0,0,1,0,0,0
100028,Other,0,0,0,0,0,1
100168,Other,0,0,0,0,0,1
100131,Black,0,0,1,0,0,0
100052,Black,0,0,1,0,0,0
100154,Black,0,0,1,0,0,0
100005,Black,0,0,1,0,0,0
100121,Black,0,0,1,0,0,0
100167,White,0,0,0,0,1,0
100042,White,0,0,0,0,1,0
100105,Black,0,0,1,0,0,0
100179,Black,0,0,1,0,0,0
100148,Black,0,0,1,0,0,0
100139,White,0,0,0,0,1,0
100101,Hispanic,0,0,0,0,1,0
100114,White,0,0,0,0,1,0
100136,White,0,0,0,0,1,0
100180,White,0,0,0,0,1,0
100112,Black,0,0,1,0,0,0
100135,Black,0,0,1,0,0,0
100094,White,0,0,0,0,1,0
100069,White,0,0,0,0,1,0
100022,White,0,0,0,0,1,0
100162,Hispanic,0,0,0,0,1,0
100078,White,0,0,0,0,1,0
100010,White,0,0,0,0,1,0
100083,Black,0,0,1,0,0,0
100149,Black,0,0,1,0,0,0
100090,White,0,0,0,0,1,0
100035,Black,0,0,1,0,0,0
100086,White,0,0,0,0,1,0
100160,Black,0,0,1,0,0,0
100046,White,0,0,0,0,1,0
100048,Black,0,0,1,0,0,0
100133,White,0,0,0,0,1,0
100047,White,0,0,0,0,1,0
100107,Other,0,0,0,0,0,1
100082,White,0,0,0,0,1,0
100059,Hispanic,0,0,0,0,1,0
100174,White,0,0,0,0,1,0
100049,White,0,0,0,0,1,0
100013,Hispanic,0,0,0,0,1,0
100111,White,0,0,0,0,1,0
100126,Black,0,0,1,0,0,0
100110,White,0,0,0,0,1,0
100011,White,0,0,0,0,1,0
100038,White,0,0,0,0,1,0
100099,Other,0,0,0,0,0,1
100030,White,0,0,0,0,1,0
100085,White,0,0,0,0,1,0
100137,Hispanic,0,0,0,0,1,0
100018,White,0,0,0,0,1,0
100050,White,0,0,0,0,1,0
100093,Black,0,0,1,0,0,0
100076,Black,0,0,1,0,0,0
100021,Black,0,0,1,0,0,0
100097,Other,0,0,0,0,0,1
100032,Black,0,0,1,0,0,0
100118,Black,0,0,1,0,0,0
100012,Black,0,0,1,0,0,0
100068,White,0,0,0,0,1,0
100089,White,0,0,0,0,1,0
100092,White,0,0,0,0,1,0
100025,Hispanic,0,0,0,0,1,0
100098,White,0,0,0,0,1,0
100166,White,0,0,0,0,1,0
100173,Black,0,0,1,0,0,0
100087,Black,0,0,1,0,0,0
100165,Black,0,0,1,0,0,0
100040,White,0,0,0,0,1,0
100153,White,0,0,0,0,1,0
100088,Black,0,0,1,0,0,0
100169,White,0,0,0,0,1,0
100041,Hispanic,0,0,0,0,1,0
100002,White,0,0,0,0,1,0
100072,White,0,0,0,0,1,0
100151,White,0,0,0,0,1,0
100115,White,0,0,0,0,1,0
100057,Hispanic,0,0,0,0,1,0
100108,Black,0,0,1,0,0,0
100172,Black,0,0,1,0,0,0
100051,White,0,0,0,0,1,0
100144,Black,0,0,1,0,0,0
100178,White,0,0,0,0,1,0
100155,White,0,0,0,0,1,0
100130,Black,0,0,1,0,0,0
100060,White,0,0,0,0,1,0
100056,Black,0,0,1,0,0,0
100024,White,0,0,0,0,1,0
100008,White,0,0,0,0,1,0
100009,White,0,0,0,0,1,0
100109,Black,0,0,1,0,0,0
100152,White,0,0,0,0,1,0
100023,Black,0,0,1,0,0,0
100140,Black,0,0,1,0,0,0
100027,Black,0,0,1,0,0,0
100036,White,0,0,0,0,1,0
100058,White,0,0,0,0,1,0
100063,Hispanic,0,0,0,0,1,0
100071,White,0,0,0,0,1,0
100007,Other,0,0,0,0,0,1
100029,Black,0,0,1,0,0,0
100164,White,0,0,0,0,1,0
