childpartyid,rmvl_dt,dschrg_dt,dischargereasondesc,removal_county_name,responsible_county_name,plcmnt_episode_id,cust_start_date,cust_end_date
100027,02/08/2023,08/19/2024,Emancipation,Genesee,Genesee,600039,02/08/2023,08/19/2024
100028,02/22/2018,10/10/2018,Guardianship,Kent,Kent,600040,02/22/2018,10/10/2018
100028,02/22/2020,,,Ingham,Ingham,600041,02/22/2020,
100029,07/29/2019,12/12/2019,Adoption,Ingham,Ingham,600042,07/29/2019,12/12/2019
100029,10/06/2021,02/18/2022,Reunification,Wayne,Wayne,600043,10/06/2021,02/18/2022
100029,09/22/2022,,,Kent,Kent,600044,09/22/2022,
100030,11/14/2019,,,Kent,Kent,600045,11/14/2019,
100031,06/16/2018,10/29/2018,Transfer to Another Agency,Kent,Kent,600046,06/16/2018,10/29/2018
100032,06/13/2018,,,Genesee,Genesee,600047,06/13/2018,
100033,07/24/2018,,,Kent,Kent,600048,07/24/2018,
100034,01/25/2018,03/30/2020,Emancipation,Oakland,Oakland,600049,01/25/2018,03/30/2020
100035,10/19/2019,,,Wayne,Wayne,600050,10/19/2019,
100036,07/02/2018,04/10/2019,Reunification,Ingham,Ingham,600051,07/02/2018,04/10/2019
100036,11/19/2020,,,Wayne,Wayne,600052,11/19/2020,
100037,08/14/2019,,,Wayne,Wayne,600053,08/14/2019,
100038,01/08/2019,07/10/2019,Guardianship,Oakland,Oakland,600054,01/08/2019,07/10/2019
100039,11/14/2019,09/07/2020,Adoption,Genesee,Genesee,600055,11/14/2019,09/07/2020
100040,11/25/2019,04/06/2020,Reunification,Kent,Kent,600056,11/25/2019,04/06/2020
100041,08/17/2019,09/01/2020,Guardianship,Genesee,Genesee,600057,08/17/2019,09/01/2020
100042,11/06/2019,02/04/2020,Transfer to Another Agency,Oakland,Oakland,600058,11/06/2019,02/04/2020
100043,07/23/2018,04/18/2020,Adoption,Wayne,Wayne,600059,07/23/2018,04/18/2020
100044,03/01/2019,09/01/2019,Reunification,Genesee,Genesee,600060,03/01/2019,09/01/2019
100044,10/25/2020,08/12/2022,Emancipation,Ingham,Ingham,600061,10/25/2020,08/12/2022
100045,02/21/2018,11/24/2019,Emancipation,Ingham,Ingham,600062,02/21/2018,11/24/2019
100046,02/13/2020,,,Genesee,Genesee,600063,02/13/2020,
100047,09/23/2018,12/11/2018,Reunification,Oakland,Oakland,600064,09/23/2018,12/11/2018
100048,10/06/2018,05/31/2019,Reunification,Kent,Kent,600065,10/06/2018,05/31/2019
100049,03/07/2018,06/27/2018,Reunification,Genesee,Genesee,600066,03/07/2018,06/27/2018
100050,02/28/2020,06/13/2020,Transfer to Another Agency,Genesee,Genesee,600067,02/28/2020,06/13/2020
100051,07/06/2019,04/14/2020,Adoption,Kent,Kent,600068,07/06/2019,04/14/2020
100051,12/07/2020,,,Kent,Kent,600069,12/07/2020,
100052,02/08/2019,08/05/2019,Reunification,Kent,Kent,600070,02/08/2019,08/05/2019
100053,09/24/2018,07/06/2019,Reunification,Genesee,Genesee,600071,09/24/2018,07/06/2019
100054,02/10/2020,07/05/2020,Guardianship,Oakland,Oakland,600072,02/10/2020,07/05/2020
100055,10/28/2019,04/07/2020,Emancipation,Kent,Kent,600073,10/28/2019,04/07/2020
100055,08/08/2021,06/06/2022,Guardianship,Genesee,Genesee,600074,08/08/2021,06/06/2022
100055,10/25/2022,05/18/2023,Guardianship,Ingham,Ingham,600075,10/25/2022,05/18/2023
100056,03/07/2020,10/12/2020,Adoption,Genesee,Genesee,600076,03/07/2020,10/12/2020
100056,04/23/2022,,,Kent,Kent,600077,04/23/2022,
100057,08/30/2019,03/31/2020,Emancipation,Ingham,Ingham,600078,08/30/2019,03/31/2020
100057,06/01/2021,,,Oakland,Oakland,600079,06/01/2021,
100058,11/09/2019,08/10/2020,Emancipation,Genesee,Genesee,600080,11/09/2019,08/10/2020
100058,03/13/2021,,,Genesee,Genesee,600081,03/13/2021,
100059,01/22/2020,09/16/2021,Emancipation,Oakland,Oakland,600082,01/22/2020,09/16/2021
100060,09/09/2018,07/03/2019,Adoption,Wayne,Wayne,600083,09/09/2018,07/03/2019
100060,12/22/2020,06/24/2021,Reunification,Kent,Kent,600084,12/22/2020,06/24/2021
100061,09/22/2018,07/16/2019,Adoption,Wayne,Wayne,600085,09/22/2018,07/16/2019
100062,01/08/2020,04/03/2021,Adoption,Genesee,Genesee,600086,01/08/2020,04/03/2021
100063,04/06/2018,11/08/2018,Guardianship,Ingham,Ingham,600087,04/06/2018,11/08/2018
100063,09/17/2019,03/05/2020,Transfer to Another Agency,Oakland,Oakland,600088,09/17/2019,03/05/2020
100064,12/21/2019,04/08/2020,Reunification,Oakland,Oakland,600089,12/21/2019,04/08/2020
100065,01/31/2020,08/23/2021,Adoption,Ingham,Ingham,600090,01/31/2020,08/23/2021
100066,04/13/2018,12/10/2018,Reunification,Ingham,Ingham,600091,04/13/2018,12/10/2018
100067,10/08/2018,07/17/2019,Reunification,Genesee,Genesee,600092,10/08/2018,07/17/2019
100068,01/13/2018,03/27/2018,Reunification,Oakland,Oakland,600093,01/13/2018,03/27/2018
100069,04/27/2018,12/10/2018,Adoption,Kent,Kent,600094,04/27/2018,12/10/2018
100070,07/31/2019,10/03/2020,Guardianship,Ingham,Ingham,600095,07/31/2019,10/03/2020
100071,03/05/2020,10/03/2020,Emancipation,Ingham,Ingham,600096,03/05/2020,10/03/2020
100071,03/09/2022,03/21/2023,Reunification,Kent,Kent,600097,03/09/2022,03/21/2023
100071,05/10/2024,07/29/2024,Reunification,Kent,Kent,600098,05/10/2024,07/29/2024
100072,06/27/2018,04/13/2019,Guardianship,Kent,Kent,600099,06/27/2018,04/13/2019
100072,05/29/2019,03/04/2020,Reunification,Genesee,Genesee,600100,05/29/2019,03/04/2020
100073,12/05/2019,05/19/2021,Adoption,Kent,Kent,600101,12/05/2019,05/19/2021
100074,05/26/2018,,,Ingham,Ingham,600102,05/26/2018,
100075,03/26/2019,08/31/2019,Transfer to Another Agency,Ingham,Ingham,600103,03/26/2019,08/31/2019
100076,03/25/2019,,,Ingham,Ingham,600104,03/25/2019,
100077,01/27/2018,,,Oakland,Oakland,600105,01/27/2018,
100078,02/21/2020,,,Kent,Kent,600106,02/21/2020,
100079,10/13/2019,05/31/2020,Reunification,Wayne,Wayne,600107,10/13/2019,05/31/2020
100080,12/04/2018,08/15/2019,Reunification,Ingham,Ingham,600108,12/04/2018,08/15/2019
100081,04/11/2019,08/22/2019,Transfer to Another Agency,Ingham,Ingham,600109,04/11/2019,08/22/2019
100082,11/05/2019,04/06/2021,Adoption,Genesee,Genesee,600110,11/05/2019,04/06/2021
100083,02/18/2020,07/09/2020,Transfer to Another Agency,Genesee,Genesee,600111,02/18/2020,07/09/2020
100084,01/30/2018,07/13/2018,Reunification,Wayne,Wayne,600112,01/30/2018,07/13/2018
100085,04/27/2018,05/12/2019,Guardianship,Oakland,Oakland,600113,04/27/2018,05/12/2019
100086,05/10/2019,02/29/2020,Reunification,Ingham,Ingham,600114,05/10/2019,02/29/2020
100087,03/13/2018,,,Ingham,Ingham,600115,03/13/2018,
100088,01/03/2018,,,Genesee,Genesee,600116,01/03/2018,
100089,12/20/2018,,,Kent,Kent,600117,12/20/2018,
100090,08/09/2019,06/06/2020,Guardianship,Kent,Kent,600118,08/09/2019,06/06/2020
100090,12/21/2021,06/27/2022,Reunification,Ingham,Ingham,600119,12/21/2021,06/27/2022
100091,04/13/2018,01/20/2019,Reunification,Kent,Kent,600120,04/13/2018,01/20/2019
100092,04/26/2019,05/01/2021,Emancipation,Ingham,Ingham,600121,04/26/2019,05/01/2021
100093,11/21/2018,07/14/2019,Reunification,Oakland,Oakland,600122,11/21/2018,07/14/2019
100094,02/04/2020,,,Wayne,Wayne,600123,02/04/2020,
100095,06/20/2018,03/17/2019,Guardianship,Oakland,Oakland,600124,06/20/2018,03/17/2019
100096,03/18/2019,10/11/2019,Guardianship,Kent,Kent,600125,03/18/2019,10/11/2019
100097,09/17/2019,,,Kent,Kent,600126,09/17/2019,
100098,04/18/2019,06/21/2019,Emancipation,Ingham,Ingham,600127,04/18/2019,06/21/2019
100098,12/15/2019,05/11/2020,Reunification,Ingham,Ingham,600128,12/15/2019,05/11/2020
100099,10/17/2019,,,Kent,Kent,600129,10/17/2019,
100100,05/10/2019,11/18/2020,Adoption,Oakland,Oakland,600130,05/10/2019,11/18/2020
100101,11/06/2019,03/30/2020,Guardianship,Ingham,Ingham,600131,11/06/2019,03/30/2020
100102,10/21/2018,04/20/2020,Adoption,Kent,Kent,600132,10/21/2018,04/20/2020
100103,10/05/2019,,,Wayne,Wayne,600133,10/05/2019,
100104,01/20/2020,10/18/2020,Reunification,Oakland,Oakland,600134,01/20/2020,10/18/2020
100104,08/20/2021,10/31/2021,Transfer to Another Agency,Oakland,Oakland,600135,08/20/2021,10/31/2021
100105,10/30/2018,,,Kent,Kent,600136,10/30/2018,
100106,11/24/2019,03/30/2020,Reunification,Ingham,Ingham,600137,11/24/2019,03/30/2020
100107,04/11/2019,,,Oakland,Oakland,600138,04/11/2019,
100108,11/23/2019,11/04/2020,Reunification,Wayne,Wayne,600139,11/23/2019,11/04/2020
100108,10/02/2022,04/12/2024,Adoption,Oakland,Oakland,600140,10/02/2022,04/12/2024
100109,04/30/2018,03/08/2019,Reunification,Kent,Kent,600141,04/30/2018,03/08/2019
100109,01/07/2020,09/13/2020,Reunification,Ingham,Ingham,600142,01/07/2020,09/13/2020
100110,08/25/2019,,,Ingham,Ingham,600143,08/25/2019,
100111,10/14/2018,02/13/2019,Transfer to Another Agency,Wayne,Wayne,600144,10/14/2018,02/13/2019
100112,07/12/2019,10/11/2019,Reunification,Genesee,Genesee,600145,07/12/2019,10/11/2019
100113,11/10/2019,,,Kent,Kent,600146,11/10/2019,
100114,08/02/2019,09/24/2020,Emancipation,Oakland,Oakland,600147,08/02/2019,09/24/2020
100115,09/03/2019,08/04/2020,Reunification,Kent,Kent,600148,09/03/2019,08/04/2020
100115,09/16/2020,11/22/2020,Reunification,Oakland,Oakland,600149,09/16/2020,11/22/2020
100115,09/20/2022,12/21/2022,Reunification,Genesee,Genesee,600150,09/20/2022,12/21/2022
100116,02/03/2020,,,Ingham,Ingham,600151,02/03/2020,
100117,04/08/2019,,,Ingham,Ingham,600152,04/08/2019,
100118,04/15/2019,,,Genesee,Genesee,600153,04/15/2019,
100119,12/04/2019,07/06/2020,Reunification,Kent,Kent,600154,12/04/2019,07/06/2020
100120,05/10/2018,,,Ingham,Ingham,600155,05/10/2018,
100121,04/10/2019,,,Wayne,Wayne,600156,04/10/2019,
100122,03/17/2019,01/03/2020,Reunification,Genesee,Genesee,600157,03/17/2019,01/03/2020
100122,06/12/2021,09/19/2021,Reunification,Genesee,Genesee,600158,06/12/2021,09/19/2021
100123,04/04/2018,10/07/2018,Guardianship,Ingham,Ingham,600159,04/04/2018,10/07/2018
100124,08/24/2019,10/13/2021,Emancipation,Genesee,Genesee,600160,08/24/2019,10/13/2021
100125,10/22/2018,07/28/2019,Adoption,Genesee,Genesee,600161,10/22/2018,07/28/2019
100126,04/21/2018,,,Ingham,Ingham,600162,04/21/2018,
100127,03/16/2019,10/01/2019,Guardianship,Oakland,Oakland,600163,03/16/2019,10/01/2019
100127,04/21/2020,12/01/2021,Emancipation,Genesee,Genesee,600164,04/21/2020,12/01/2021
100128,05/26/2018,,,Kent,Kent,600165,05/26/2018,
100129,03/06/2019,04/19/2020,Guardianship,Ingham,Ingham,600166,03/06/2019,04/19/2020
100130,02/23/2018,09/10/2018,Reunification,Genesee,Genesee,600167,02/23/2018,09/10/2018
100130,05/24/2019,11/18/2019,Guardianship,Oakland,Oakland,600168,05/24/2019,11/18/2019
100131,04/24/2018,11/23/2018,Reunification,Wayne,Wayne,600169,04/24/2018,11/23/2018
100132,07/29/2018,,,Oakland,Oakland,600170,07/29/2018,
100133,05/03/2018,12/29/2018,Reunification,Kent,Kent,600171,05/03/2018,12/29/2018
100134,03/15/2018,07/03/2018,Transfer to Another Agency,Ingham,Ingham,600172,03/15/2018,07/03/2018
100135,08/11/2019,01/01/2020,Reunification,Kent,Kent,600173,08/11/2019,01/01/2020
100136,12/08/2019,,,Kent,Kent,600174,12/08/2019,
100137,08/27/2019,,,Oakland,Oakland,600175,08/27/2019,
100138,12/08/2018,08/23/2019,Reunification,Oakland,Oakland,600176,12/08/2018,08/23/2019
100139,01/15/2020,04/28/2020,Reunification,Ingham,Ingham,600177,01/15/2020,04/28/2020
100140,02/18/2020,03/05/2021,Adoption,Genesee,Genesee,600178,02/18/2020,03/05/2021
100140,12/27/2022,12/11/2023,Adoption,Oakland,Oakland,600179,12/27/2022,12/11/2023
100140,05/25/2025,11/14/2025,Reunification,Oakland,Oakland,600180,05/25/2025,11/14/2025
100141,08/29/2019,04/14/2020,Adoption,Oakland,Oakland,600181,08/29/2019,04/14/2020
100142,03/20/2018,11/15/2019,Adoption,Wayne,Wayne,600182,03/20/2018,11/15/2019
100143,08/09/2019,06/29/2021,Adoption,Wayne,Wayne,600183,08/09/2019,06/29/2021
100144,04/16/2018,03/26/2019,Guardianship,Ingham,Ingham,600184,04/16/2018,03/26/2019
100145,01/08/2019,08/29/2019,Guardianship,Wayne,Wayne,600185,01/08/2019,08/29/2019
100145,03/17/2020,04/18/2021,Adoption,Oakland,Oakland,600186,03/17/2020,04/18/2021
100146,01/12/2020,11/06/2020,Guardianship,Oakland,Oakland,600187,01/12/2020,11/06/2020
100147,05/13/2018,05/16/2019,Adoption,Kent,Kent,600188,05/13/2018,05/16/2019
100148,10/24/2019,02/15/2020,Reunification,Oakland,Oakland,600189,10/24/2019,02/15/2020
100149,07/16/2018,11/04/2018,Adoption,Wayne,Wayne,600190,07/16/2018,11/04/2018
100149,08/30/2019,05/07/2021,Emancipation,Kent,Kent,600191,08/30/2019,05/07/2021
100150,06/07/2018,,,Wayne,Wayne,600192,06/07/2018,
