date,total_calls,answered_calls,abandoned_calls,avg_wait_seconds,avg_duration_minutes,crisis_calls,referrals_made,staff_on_duty
2024-08-27,125,106,19,62.6,19.7,13,34,9
2024-08-28,83,66,17,105.5,13.4,19,20,9
2024-08-29,83,72,11,26.1,12.1,8,24,7
2024-08-30,73,68,5,105.7,15.1,19,32,12
2024-08-31,58,52,6,34.9,10.7,15,17,5
2024-09-01,71,55,16,114.2,16.6,16,14,5
2024-09-02,42,36,6,107.6,19.1,6,12,12
2024-09-03,86,73,13,107.7,20.4,18,22,9
2024-09-04,83,72,11,35.4,17.4,8,25,12
2024-09-05,115,95,20,118.9,19.6,11,46,9
2024-09-06,103,94,9,50.6,24.0,23,24,10
2024-09-07,65,56,9,19.8,10.3,9,19,6
2024-09-08,49,43,6,69.1,13.6,9,10,7
2024-09-09,127,117,10,77.3,16.6,23,40,10
2024-09-10,99,85,14,16.7,13.6,10,27,8
2024-09-11,130,121,9,106.6,18.7,26,33,11
2024-09-12,130,122,8,75.7,11.9,13,41,10
2024-09-13,120,108,12,96.3,14.5,28,29,10
2024-09-14,84,67,17,17.0,13.3,8,27,6
2024-09-15,72,65,7,111.7,22.8,16,14,4
2024-09-16,113,92,21,49.1,19.3,18,27,7
2024-09-17,109,101,8,50.9,14.0,25,42,11
2024-09-18,131,117,14,79.1,11.3,17,42,7
2024-09-19,140,132,8,46.2,12.9,18,54,8
2024-09-20,110,92,18,113.0,21.5,14,21,11
2024-09-21,74,62,12,117.9,21.9,18,27,5
2024-09-22,42,34,8,90.0,13.9,6,9,6
2024-09-23,93,75,18,71.6,23.9,17,18,10
2024-09-24,127,111,16,40.5,19.4,22,43,6
2024-09-25,86,73,13,90.3,9.7,18,14,10
2024-09-26,139,112,27,83.6,23.0,21,44,12
2024-09-27,98,81,17,82.8,23.4,9,30,10
2024-09-28,87,78,9,113.4,23.5,10,36,4
2024-09-29,42,39,3,56.7,16.4,11,19,5
2024-09-30,136,106,30,46.3,18.2,30,31,9
2024-10-01,121,105,16,66.9,24.0,28,35,7
2024-10-02,131,104,27,32.1,15.8,15,26,11
2024-10-03,101,92,9,74.6,20.9,12,42,9
2024-10-04,132,112,20,49.4,14.8,13,55,9
2024-10-05,60,56,4,15.7,14.5,10,15,5
2024-10-06,59,51,8,75.2,12.4,8,13,8
2024-10-07,87,74,13,31.8,19.7,21,34,12
2024-10-08,99,88,11,82.1,24.0,15,23,7
2024-10-09,110,88,22,93.5,18.3,16,32,9
2024-10-10,128,111,17,84.7,11.7,16,47,12
2024-10-11,130,103,27,61.9,20.0,11,38,6
2024-10-12,75,70,5,36.2,17.1,9,31,6
2024-10-13,47,42,5,90.3,16.3,11,14,3
2024-10-14,109,87,22,58.6,17.6,18,34,8
2024-10-15,126,98,28,41.7,8.1,14,21,9
2024-10-16,102,91,11,71.8,9.0,25,45,9
2024-10-17,82,67,15,33.9,10.3,15,28,9
2024-10-18,103,97,6,55.2,22.8,27,30,11
2024-10-19,82,76,6,29.0,22.6,9,37,6
2024-10-20,73,58,15,117.8,22.2,14,28,6
2024-10-21,123,110,13,59.5,14.4,16,37,7
2024-10-22,97,78,19,106.9,21.0,8,31,10
2024-10-23,129,121,8,108.3,12.1,13,45,9
2024-10-24,118,105,13,106.6,12.2,11,34,10
2024-10-25,93,84,9,96.5,10.4,25,22,11
2024-10-26,76,63,13,77.8,19.4,10,18,4
2024-10-27,82,71,11,58.4,12.7,15,26,8
2024-10-28,138,111,27,86.3,17.4,12,33,11
2024-10-29,122,103,19,70.1,19.8,18,29,7
2024-10-30,128,111,17,40.3,11.8,30,27,9
2024-10-31,138,108,30,58.3,15.1,22,34,8
2024-11-01,102,80,22,62.2,14.3,16,35,6
2024-11-02,63,55,8,19.2,9.2,14,20,8
2024-11-03,81,66,15,110.2,13.2,18,17,4
2024-11-04,135,128,7,65.3,12.1,28,33,7
2024-11-05,126,104,22,64.0,19.0,16,32,9
2024-11-06,116,109,7,64.3,22.3,30,33,9
2024-11-07,93,76,17,30.3,12.4,21,28,9
2024-11-08,105,87,18,54.9,22.2,17,34,11
2024-11-09,66,60,6,116.5,18.9,11,15,5
2024-11-10,53,46,7,34.3,23.1,13,22,7
2024-11-11,96,76,20,100.9,8.8,7,18,11
2024-11-12,99,79,20,38.0,15.8,8,30,10
2024-11-13,154,132,22,15.7,17.4,13,47,8
2024-11-14,136,106,30,100.4,19.5,27,50,6
2024-11-15,146,117,29,35.2,16.9,30,32,9
2024-11-16,49,41,8,74.3,24.8,5,16,3
2024-11-17,97,86,11,18.3,14.9,15,29,8
2024-11-18,92,73,19,103.8,19.0,12,36,6
2024-11-19,154,121,33,37.2,22.8,33,41,6
2024-11-20,147,137,10,109.4,17.6,14,65,8
2024-11-21,96,84,12,94.0,20.1,15,18,7
2024-11-22,125,115,10,55.9,23.2,19,49,7
2024-11-23,107,96,11,67.6,24.6,10,31,3
2024-11-24,69,61,8,77.5,24.5,10,23,6
2024-11-25,120,104,16,54.4,11.2,22,32,12
2024-11-26,130,106,24,22.7,12.6,18,46,7
2024-11-27,140,117,23,24.6,24.0,22,50,6
2024-11-28,54,47,7,68.8,9.8,5,17,10
2024-11-29,137,126,11,16.3,15.0,32,52,10
2024-11-30,62,50,12,55.0,10.4,8,17,3
2024-12-01,55,46,9,65.8,9.3,6,12,8
2024-12-02,126,102,24,26.2,13.2,29,30,10
2024-12-03,121,101,20,50.1,21.9,27,49,7
2024-12-04,108,101,7,36.1,13.3,29,49,8
2024-12-05,146,126,20,75.5,12.1,22,56,9
2024-12-06,109,95,14,77.2,17.3,22,34,11
2024-12-07,82,66,16,98.8,22.1,7,29,6
2024-12-08,93,82,11,40.4,19.2,19,35,3
2024-12-09,129,111,18,57.1,16.6,31,45,10
2024-12-10,95,79,16,109.0,17.1,17,17,12
2024-12-11,109,91,18,82.9,8.8,27,36,9
2024-12-12,140,128,12,26.1,9.7,18,54,10
2024-12-13,134,109,25,54.3,15.9,25,44,7
2024-12-14,74,63,11,46.0,23.6,7,28,8
2024-12-15,54,45,9,97.3,16.9,7,10,8
2024-12-16,138,109,29,19.7,20.1,11,33,6
2024-12-17,143,134,9,92.8,16.8,28,40,9
2024-12-18,118,100,18,34.4,18.9,18,20,10
2024-12-19,146,128,18,55.8,20.0,18,54,12
2024-12-20,137,109,28,106.6,11.2,18,36,8
2024-12-21,96,83,13,82.1,18.1,18,31,5
2024-12-22,72,63,9,100.4,20.0,10,24,3
2024-12-23,131,104,27,47.1,11.1,24,36,9
2024-12-24,126,106,20,34.5,18.8,25,41,7
2024-12-25,68,55,13,103.4,18.5,15,26,9
2024-12-26,94,79,15,74.0,19.1,14,27,11
2024-12-27,148,119,29,74.4,21.5,17,24,7
2024-12-28,80,73,7,74.4,21.1,14,25,7
2024-12-29,51,44,7,119.0,17.2,11,18,6
2024-12-30,123,104,19,92.3,19.1,15,48,6
2024-12-31,117,108,9,24.1,22.7,13,47,7
