case_id,prior_placements,parental_substance_use,poverty_index,child_age,service_hours,recurrence_risk
CW-1043,5,0,4.0,7,57.9,73.3
CW-1044,5,1,9.3,6,67.0,99.62
CW-1045,2,0,2.7,4,67.2,41.13
CW-1046,0,0,4.6,3,7.3,36.32
CW-1047,1,1,1.3,11,88.1,49.18
CW-1048,1,1,8.3,9,61.2,54.91
CW-1049,5,0,6.7,17,29.9,57.35
CW-1050,1,1,1.2,3,74.2,24.29
CW-1051,1,1,2.8,6,71.8,51.66
CW-1052,2,1,2.5,1,9.2,64.5
CW-1053,3,1,0.4,10,77.1,49.83
CW-1054,5,1,5.5,13,56.1,76.7
CW-1055,0,0,9.5,4,54.6,53.66
CW-1056,1,1,1.3,9,36.5,26.66
CW-1057,0,1,2.1,7,66.7,28.7
CW-1058,3,0,9.3,7,86.5,82.24
CW-1059,1,1,0.2,10,78.2,25.76
CW-1060,5,0,2.7,3,38.3,73.27
CW-1061,0,1,2.2,14,35.0,38.78
CW-1062,1,0,6.6,12,32.8,21.79
CW-1063,0,1,3.5,16,40.0,45.81
CW-1064,0,0,8.8,8,17.9,37.73
CW-1065,2,0,1.1,13,34.6,33.69
CW-1066,4,0,3.9,6,25.5,47.82
CW-1067,5,1,0.0,17,68.7,80.58
CW-1068,1,1,4.3,10,62.3,43.14
CW-1069,5,0,7.2,9,50.7,72.74
CW-1070,5,1,5.5,6,42.0,77.0
CW-1071,3,0,6.2,9,40.6,61.43
CW-1072,1,1,7.9,10,46.5,50.99
CW-1073,3,0,5.1,5,65.9,55.28
CW-1074,4,1,0.9,7,67.3,79.36
CW-1075,1,0,1.5,1,24.5,10.22
CW-1076,0,1,4.1,6,71.8,46.51
CW-1077,3,1,4.0,4,65.6,84.22
CW-1078,0,1,2.2,16,46.5,30.83
CW-1079,4,0,9.2,3,45.6,82.37
CW-1080,4,1,9.5,14,61.3,72.56
CW-1081,5,1,8.3,17,44.6,98.6
CW-1082,3,1,7.5,8,76.6,93.89
CW-1083,4,1,6.3,8,44.0,76.64
CW-1084,2,1,8.9,2,13.8,62.96
CW-1085,1,1,6.9,6,6.4,42.88
CW-1086,3,0,2.1,13,38.9,49.55
CW-1087,4,0,8.6,12,47.7,79.45
CW-1088,3,1,5.4,17,80.0,63.73
CW-1089,1,1,2.2,13,48.6,28.57
CW-1090,3,0,8.4,4,98.1,81.57
CW-1091,4,0,9.1,0,8.4,57.05
CW-1092,1,0,2.6,10,21.2,36.63
CW-1093,2,1,7.6,12,27.8,72.56
CW-1094,0,1,0.2,17,5.2,16.46
CW-1095,2,0,6.5,1,75.4,63.88
CW-1096,0,0,2.4,15,66.9,19.31
CW-1097,4,0,4.7,8,76.7,71.52
CW-1098,5,0,7.8,5,96.5,97.44
CW-1099,0,0,9.3,12,39.7,40.0
CW-1100,5,0,1.0,9,85.0,58.12
CW-1101,4,0,8.0,1,34.7,65.31
CW-1102,4,1,0.1,13,82.2,65.21
CW-1103,0,1,9.6,14,70.7,40.92
CW-1104,5,1,6.2,17,77.5,91.27
CW-1105,3,1,8.3,8,32.2,75.78
CW-1106,2,1,2.4,14,57.0,72.25
CW-1107,5,1,3.4,15,85.1,81.08
CW-1108,2,1,2.8,8,55.6,59.24
CW-1109,4,0,0.9,13,48.9,48.88
CW-1110,5,1,4.5,0,9.3,66.13
CW-1111,1,1,6.9,9,66.4,49.2
CW-1112,2,1,10.0,17,33.1,77.12
CW-1113,5,1,2.7,8,23.1,71.85
CW-1114,5,0,1.9,15,27.6,47.39
CW-1115,4,1,9.8,6,29.6,82.92
CW-1116,5,0,2.7,1,55.3,74.64
CW-1117,5,0,6.4,15,10.3,75.89
CW-1118,3,1,3.4,1,25.2,63.85
CW-1119,3,0,8.2,12,49.2,49.04
CW-1120,1,0,8.1,9,8.5,36.56
CW-1121,1,0,5.6,13,60.6,41.17
CW-1122,4,1,4.5,14,29.7,61.55
CW-1123,4,1,3.1,1,61.0,72.39
CW-1124,1,0,2.6,2,15.7,7.13
CW-1125,1,0,1.6,13,45.1,18.91
CW-1126,1,1,7.1,14,7.1,45.4
CW-1127,1,1,7.9,6,42.5,46.07
CW-1128,2,0,0.7,5,79.3,34.54
CW-1129,4,1,4.4,14,68.9,64.66
CW-1130,4,1,4.4,1,88.9,57.86
CW-1131,5,1,6.0,0,9.1,100
CW-1132,4,0,10.0,8,57.6,74.25
CW-1133,1,1,5.2,14,91.6,58.3
CW-1134,5,1,9.7,15,34.8,100
CW-1135,2,1,6.7,5,33.0,61.04
CW-1136,3,0,4.5,10,25.2,42.29
CW-1137,0,1,8.6,0,65.8,49.42
CW-1138,1,1,6.2,15,62.5,49.62
CW-1139,0,0,2.7,4,92.8,16.06
CW-1140,0,0,9.7,7,71.0,53.57
CW-1141,2,0,5.5,2,22.5,51.42
CW-1142,0,0,5.0,9,50.9,26.47
CW-1143,2,1,8.3,15,24.4,53.51
CW-1144,4,0,8.6,8,77.3,73.42
CW-1145,3,1,9.3,16,26.7,89.66
CW-1146,4,1,8.7,14,53.9,83.75
CW-1147,2,1,5.5,17,37.7,73.18
CW-1148,5,0,5.7,7,85.6,68.89
CW-1149,3,0,3.2,15,70.5,51.87
CW-1150,5,0,5.0,1,12.6,61.61
CW-1151,4,1,8.7,14,10.0,80.59
CW-1152,1,1,8.7,4,7.5,58.91
CW-1153,2,1,6.2,12,65.0,73.77
CW-1154,4,1,9.5,15,87.2,73.02
CW-1155,0,0,2.3,9,99.7,27.15
CW-1156,0,0,4.4,9,90.3,22.06
CW-1157,0,1,8.0,9,35.8,43.3
CW-1158,3,0,1.7,2,60.9,52.35
CW-1159,3,0,5.0,4,23.2,47.14
CW-1160,5,0,9.0,14,90.1,75.56
CW-1161,5,0,0.7,11,98.8,53.71
CW-1162,5,1,4.6,9,19.9,100
CW-1163,3,1,1.1,12,57.2,26.06
CW-1164,2,0,9.8,12,27.4,42.93
CW-1165,4,0,9.1,15,83.3,89.3
CW-1166,1,1,2.2,6,62.1,34.91
CW-1167,5,0,6.3,1,30.9,64.23
CW-1168,5,0,0.9,9,32.7,61.25
CW-1169,3,0,2.0,17,87.6,37.41
CW-1170,2,0,2.6,15,96.7,49.78
CW-1171,2,1,8.0,14,96.3,86.15
CW-1172,5,1,9.7,17,36.6,100
CW-1173,3,0,2.6,3,45.5,42.89
CW-1174,4,1,8.2,11,10.8,65.96
CW-1175,1,1,0.3,17,32.8,19.56
CW-1176,5,1,9.1,9,64.9,87.08
CW-1177,0,0,0.5,1,30.4,14.52
CW-1178,4,0,3.9,11,67.0,60.11
CW-1179,5,1,5.9,4,88.5,80.9
CW-1180,4,1,9.4,8,3.3,67.87
CW-1181,2,0,4.4,7,85.5,61.59
CW-1182,4,1,0.6,8,19.0,67.59
CW-1183,0,1,0.9,6,64.2,31.42
CW-1184,2,0,9.9,6,6.9,57.2
CW-1185,4,0,5.9,7,32.9,77.38
CW-1186,0,1,8.6,4,98.8,77.87
CW-1187,4,1,8.0,3,66.1,89.82
CW-1188,1,1,0.2,8,5.2,32.4
CW-1189,5,1,5.3,2,47.6,88.76
CW-1190,0,1,5.0,1,72.7,36.96
CW-1191,5,1,4.6,0,6.1,71.36
CW-1192,5,0,4.9,14,7.3,64.76
CW-1193,0,1,6.1,2,12.6,36.14
CW-1194,5,1,3.8,16,29.5,64.01
CW-1195,4,1,1.0,3,85.3,59.05
CW-1196,5,0,4.3,7,41.4,54.63
CW-1197,3,1,4.2,3,31.3,62.29
CW-1198,1,1,0.7,2,9.3,44.12
CW-1199,0,1,8.1,17,6.0,55.77
CW-1200,5,0,4.1,13,86.8,66.02
CW-1201,5,0,9.7,9,35.2,77.02
CW-1202,5,1,2.2,3,35.0,72.35
CW-1203,4,1,1.1,8,57.4,70.84
CW-1204,4,0,6.1,8,2.9,43.51
CW-1205,2,1,9.2,11,0.6,74.0
CW-1206,3,0,1.4,0,9.2,34.69
CW-1207,4,0,3.8,14,34.1,43.86
CW-1208,4,0,8.8,4,15.7,84.62
CW-1209,4,0,6.7,8,44.3,55.39
CW-1210,3,1,2.2,16,11.4,57.02
CW-1211,3,0,2.8,15,52.7,42.64
CW-1212,4,0,0.1,9,94.5,58.84
CW-1213,1,1,2.9,3,0.8,42.16
CW-1214,3,0,5.0,11,7.2,43.0
CW-1215,5,0,4.4,14,92.1,78.89
CW-1216,4,1,7.1,13,29.0,66.72
CW-1217,3,0,9.7,5,80.1,59.69
CW-1218,2,0,4.4,3,24.3,32.36
CW-1219,4,1,5.2,12,87.1,77.12
CW-1220,1,0,5.1,3,53.1,35.03
CW-1221,1,1,3.5,4,23.6,49.88
CW-1222,4,0,7.6,2,17.7,75.84
CW-1223,5,1,4.6,14,68.1,91.2
CW-1224,4,1,8.6,10,15.1,71.62
CW-1225,0,1,4.4,9,79.6,35.84
CW-1226,0,1,4.6,1,5.7,35.81
CW-1227,2,0,6.4,2,61.5,44.21
CW-1228,4,0,4.5,6,32.2,60.23
CW-1229,3,0,9.6,14,10.4,69.23
CW-1230,5,0,5.0,5,3.9,62.46
CW-1231,5,1,9.9,16,52.3,99.17
CW-1232,2,1,4.1,10,67.9,65.21
CW-1233,0,1,0.7,3,55.8,27.41
CW-1234,5,0,3.3,4,91.7,77.05
CW-1235,2,1,1.3,2,31.0,36.34
CW-1236,1,0,6.5,13,50.8,53.47
CW-1237,0,1,3.1,6,34.2,37.38
CW-1238,1,0,0.8,3,50.8,22.48
CW-1239,4,0,6.6,4,59.7,74.34
CW-1240,5,0,7.2,1,41.1,85.42
CW-1241,5,0,9.7,9,75.2,88.66
CW-1242,1,1,9.7,15,90.4,58.5
CW-1243,1,1,6.8,14,46.2,51.07
CW-1244,4,1,9.7,6,80.1,100
CW-1245,1,1,0.5,15,87.4,33.36
CW-1246,4,0,2.9,5,27.3,54.37
CW-1247,4,0,8.3,2,94.6,82.27
CW-1248,2,0,4.1,12,50.2,53.1
CW-1249,1,1,9.9,11,22.5,59.54
CW-1250,5,1,7.9,4,3.8,93.23
CW-1251,3,0,7.6,15,44.9,62.85
CW-1252,2,0,8.3,17,94.0,56.93
CW-1253,4,1,1.1,9,23.8,65.5
CW-1254,5,1,0.6,15,59.7,72.38
CW-1255,0,0,7.2,9,42.9,30.82
CW-1256,3,0,6.6,2,52.3,58.13
CW-1257,2,0,9.5,17,50.7,68.75
CW-1258,3,1,0.4,12,98.1,55.08
CW-1259,2,0,3.6,2,34.5,42.75
CW-1260,4,1,1.3,11,54.6,48.87
CW-1261,5,0,8.3,14,98.1,76.42
CW-1262,1,0,7.2,14,3.7,38.82
CW-1263,1,0,7.9,1,31.6,45.65
CW-1264,4,1,2.5,6,28.6,75.73
CW-1265,0,1,2.7,11,43.7,25.26
CW-1266,3,1,9.7,15,69.2,85.85
CW-1267,2,1,8.0,13,7.9,46.42
CW-1268,4,1,3.2,2,32.8,59.72
CW-1269,2,1,4.5,13,16.7,41.45
CW-1270,5,1,6.1,13,27.5,85.31
CW-1271,0,0,6.7,12,36.3,37.49
CW-1272,0,0,8.5,14,3.5,19.54
CW-1273,0,0,7.8,11,36.2,38.96
CW-1274,1,1,9.5,11,44.4,61.64
CW-1275,0,0,5.3,12,31.4,23.48
CW-1276,0,0,5.0,12,91.4,58.15
CW-1277,0,1,7.7,14,21.5,33.51
CW-1278,3,0,1.2,2,45.2,36.17
CW-1279,5,1,10.0,10,66.8,95.5
CW-1280,2,1,8.5,5,79.4,61.71
CW-1281,4,0,1.2,6,79.2,56.49
CW-1282,2,1,4.7,17,13.0,61.53
CW-1283,0,0,3.1,15,52.6,24.3
CW-1284,0,0,9.7,2,45.0,29.11
CW-1285,5,1,1.3,17,64.0,79.59
CW-1286,3,0,8.3,16,15.3,81.12
CW-1287,1,0,3.2,7,34.6,52.34
CW-1288,0,1,2.0,17,27.4,19.54
CW-1289,5,1,6.1,2,50.3,100
CW-1290,1,0,6.6,10,84.3,67.02
CW-1291,4,0,8.3,0,8.1,88.99
CW-1292,2,0,7.7,13,61.8,48.33
CW-1293,0,1,8.9,17,29.0,59.16
CW-1294,5,1,3.0,2,68.9,78.8
CW-1295,1,1,4.2,14,20.4,35.85
CW-1296,5,1,7.3,11,97.5,87.77
CW-1297,1,1,5.1,3,31.9,44.27
CW-1298,1,0,1.0,9,94.5,32.6
CW-1299,4,1,2.5,5,81.3,86.75
CW-1300,1,0,5.0,16,46.7,28.21
CW-1301,2,1,0.2,12,50.5,49.46
CW-1302,2,0,0.5,15,59.8,29.53
CW-1303,5,1,2.9,0,84.7,65.4
CW-1304,5,1,7.6,11,4.5,93.45
CW-1305,0,0,3.6,9,7.4,5.04
CW-1306,2,0,1.3,3,39.4,36.89
CW-1307,2,1,7.5,6,60.2,66.19
CW-1308,0,0,7.1,15,51.9,35.65
CW-1309,1,0,3.3,10,16.3,45.9
CW-1310,2,1,5.1,16,53.2,54.65
CW-1311,5,1,4.7,0,36.8,71.9
CW-1312,4,1,8.0,0,59.7,64.16
CW-1313,2,0,7.2,15,17.1,37.23
CW-1314,3,0,8.2,7,3.2,50.34
CW-1315,5,0,1.9,14,31.4,65.73
CW-1316,3,1,8.7,1,70.6,96.13
CW-1317,4,0,5.6,15,52.5,59.15
CW-1318,4,1,5.5,8,61.0,83.28
CW-1319,1,0,2.8,9,22.5,37.43
CW-1320,2,0,6.9,15,31.7,45.95
CW-1321,2,1,2.9,17,38.0,65.33
CW-1322,1,1,0.4,2,34.6,36.36
CW-1323,3,1,7.5,6,20.2,49.95
CW-1324,5,1,1.4,7,24.2,64.54
CW-1325,5,0,6.4,1,10.0,69.23
CW-1326,5,0,0.1,17,97.8,66.48
CW-1327,1,1,6.5,15,47.7,59.82
CW-1328,2,1,6.5,2,65.2,92.51
CW-1329,1,0,9.1,5,41.8,64.17
CW-1330,0,1,7.9,5,93.7,37.7
CW-1331,2,0,0.1,3,92.8,33.47
CW-1332,5,1,8.9,4,85.1,100
CW-1333,3,1,1.9,3,33.1,56.8
CW-1334,5,0,0.1,10,79.1,43.86
CW-1335,4,0,1.8,12,82.7,50.43
CW-1336,5,0,1.8,4,47.7,62.76
CW-1337,1,0,2.6,7,44.7,30.82
CW-1338,4,0,2.6,11,69.3,65.12
CW-1339,0,0,4.7,5,40.5,9.42
CW-1340,5,1,6.9,9,36.8,86.54
CW-1341,1,0,9.6,15,15.3,45.64
CW-1342,3,1,7.6,6,76.2,64.78
CW-1343,5,0,5.3,16,70.4,81.31
CW-1344,0,0,5.7,4,16.5,37.82
CW-1345,4,1,1.2,6,71.7,45.41
CW-1346,3,0,4.5,16,41.5,50.15
CW-1347,4,0,5.6,9,72.3,51.91
CW-1348,5,0,5.8,1,42.4,87.34
CW-1349,5,0,5.4,1,93.5,100
CW-1350,0,1,4.1,4,76.6,54.75
CW-1351,5,1,3.7,12,44.9,85.04
CW-1352,0,0,6.5,11,11.9,25.35
CW-1353,4,1,5.3,7,83.5,80.83
CW-1354,3,1,5.3,7,24.8,38.19
CW-1355,2,0,2.8,3,3.2,30.83
CW-1356,0,0,2.1,3,59.4,14.07
CW-1357,3,0,2.4,1,40.2,50.41
CW-1358,0,0,5.0,9,23.4,34.81
CW-1359,5,1,5.8,10,23.7,100
CW-1360,4,0,4.1,8,6.1,35.46
CW-1361,4,0,6.3,13,55.6,73.75
CW-1362,5,1,7.9,10,69.6,95.33
CW-1363,3,0,3.0,5,75.4,33.85
CW-1364,2,0,8.1,1,56.2,63.64
CW-1365,3,0,3.9,8,20.3,35.07
CW-1366,2,0,5.4,6,5.2,26.71
CW-1367,3,0,8.7,6,80.5,57.43
CW-1368,1,1,2.1,10,30.3,31.53
CW-1369,0,0,9.4,3,74.7,49.77
CW-1370,5,0,4.0,7,55.2,46.85
CW-1371,2,1,4.7,11,30.8,41.52
CW-1372,3,0,8.0,15,76.2,79.1
CW-1373,2,0,3.7,13,4.6,46.86
CW-1374,0,1,5.5,13,29.5,27.55
CW-1375,1,1,2.3,7,49.9,34.82
CW-1376,2,1,9.7,15,46.1,56.66
CW-1377,5,1,1.7,17,48.8,79.31
CW-1378,5,0,5.2,2,94.5,72.82
CW-1379,5,0,7.6,13,13.7,70.11
CW-1380,1,0,2.2,14,37.3,23.58
CW-1381,4,1,6.6,0,0.7,77.41
CW-1382,4,1,5.4,9,1.7,70.38
CW-1383,5,1,8.1,5,10.7,94.54
CW-1384,1,1,8.2,8,79.5,66.78
CW-1385,0,1,9.6,14,56.5,61.59
CW-1386,5,0,6.5,1,9.4,74.5
CW-1387,3,1,5.5,1,63.7,72.16
CW-1388,3,1,5.7,3,89.5,71.58
CW-1389,0,0,2.1,15,27.1,30.01
CW-1390,2,0,1.8,10,1.6,24.59
CW-1391,1,0,7.5,12,92.9,44.86
CW-1392,4,1,6.8,17,33.2,86.49
CW-1393,5,0,7.9,2,50.1,85.99
CW-1394,3,0,8.4,10,60.5,64.72
CW-1395,4,1,9.7,10,3.0,78.83
CW-1396,3,0,3.6,12,43.2,79.1
CW-1397,5,1,0.9,9,79.8,72.23
CW-1398,1,1,7.1,4,74.0,57.67
CW-1399,2,1,1.1,0,94.3,39.81
CW-1400,0,0,0.9,13,44.9,21.45
CW-1401,4,1,1.0,2,35.4,75.8
CW-1402,2,1,0.1,13,38.8,48.13
CW-1403,0,0,5.7,5,68.5,40.28
CW-1404,2,1,1.5,5,43.5,56.27
CW-1405,3,1,4.8,2,36.1,83.02
CW-1406,3,0,4.6,4,30.5,48.36
CW-1407,3,1,8.4,12,80.4,73.91
CW-1408,5,0,3.0,6,47.9,73.71
CW-1409,1,1,9.7,9,73.5,49.36
CW-1410,1,1,3.8,12,36.5,24.62
CW-1411,4,0,5.9,17,18.0,58.26
CW-1412,5,1,9.4,6,43.8,94.26
CW-1413,2,0,8.2,13,67.3,61.28
CW-1414,2,0,7.2,12,7.4,53.86
CW-1415,4,1,5.8,17,50.7,86.43
CW-1416,4,0,7.9,11,70.2,64.86
CW-1417,4,0,1.1,7,65.8,44.53
CW-1418,0,1,9.7,10,96.6,72.16
CW-1419,3,0,0.1,8,22.2,37.27
CW-1420,5,0,4.5,12,46.3,54.35
CW-1421,5,0,3.4,0,48.3,63.69
CW-1422,0,0,8.3,4,34.8,62.98
CW-1423,2,1,7.8,16,48.3,52.61
CW-1424,5,1,3.2,9,4.5,74.15
CW-1425,5,0,0.2,10,64.8,54.43
CW-1426,5,0,5.2,17,16.0,58.32
CW-1427,4,1,9.6,7,79.8,87.88
CW-1428,5,1,4.0,6,45.0,75.82
CW-1429,3,1,0.0,6,20.6,50.33
CW-1430,0,0,8.0,17,18.7,14.18
CW-1431,2,0,4.6,8,67.1,21.57
CW-1432,2,1,6.1,3,34.8,65.0
CW-1433,3,0,8.1,9,91.9,55.39
CW-1434,2,0,2.4,3,18.3,30.51
CW-1435,5,0,5.1,13,59.6,60.41
CW-1436,3,0,5.5,15,28.9,46.14
CW-1437,1,1,8.4,1,86.6,79.35
CW-1438,1,1,9.6,16,65.3,58.9
CW-1439,3,1,4.2,14,48.9,63.66
CW-1440,1,1,0.3,7,53.8,39.02
CW-1441,1,1,5.7,15,55.0,53.83
CW-1442,4,1,5.4,1,76.0,85.52
CW-1443,3,0,9.9,3,73.6,70.27
CW-1444,0,1,2.6,2,43.9,31.99
CW-1445,0,0,2.1,11,86.1,16.27
CW-1446,4,0,7.8,6,80.5,68.7
CW-1447,4,1,5.3,17,16.8,76.33
CW-1448,4,1,9.5,16,98.5,88.26
CW-1449,5,0,1.4,13,91.9,81.96
CW-1450,1,0,2.5,10,82.8,32.83
CW-1451,5,1,4.9,8,62.8,81.17
CW-1452,0,1,5.2,8,69.5,48.35
CW-1453,2,1,9.5,10,58.2,85.49
CW-1454,0,1,6.3,11,85.0,34.68
CW-1455,4,1,2.2,13,82.5,58.52
CW-1456,2,1,5.5,4,56.6,63.45
CW-1457,3,1,8.9,1,4.6,64.3
CW-1458,0,0,9.3,5,44.1,31.25
CW-1459,0,1,2.0,4,88.2,33.3
CW-1460,2,0,6.5,8,8.2,66.62
CW-1461,5,0,0.5,9,72.6,59.61
CW-1462,0,0,0.0,15,7.8,0
CW-1463,4,0,5.2,14,0.9,49.51
CW-1464,3,0,4.8,7,38.3,36.36
CW-1465,5,0,1.0,11,88.1,72.53
CW-1466,1,0,0.7,0,61.0,44.28
CW-1467,1,1,3.5,6,62.8,54.76
CW-1468,5,1,8.6,2,89.7,100
CW-1469,1,0,5.9,12,35.2,22.24
CW-1470,1,1,6.4,7,55.3,63.83
CW-1471,4,1,7.8,0,84.8,86.27
CW-1472,4,0,7.5,9,64.6,64.35
CW-1473,1,1,3.9,7,50.0,38.01
CW-1474,0,1,9.3,4,38.7,49.95
CW-1475,4,1,3.7,5,76.3,91.69
CW-1476,0,0,0.1,6,4.0,7.86
CW-1477,0,1,5.1,16,76.7,32.97
CW-1478,5,0,2.8,9,7.9,64.38
CW-1479,1,0,5.4,12,58.6,40.26
CW-1480,5,0,3.1,13,73.0,50.66
CW-1481,1,0,2.4,13,11.6,22.3
CW-1482,5,0,1.2,4,70.1,61.43
CW-1483,1,1,9.5,16,51.7,64.08
CW-1484,2,0,7.5,8,73.3,49.87
CW-1485,0,0,3.4,13,27.2,35.95
CW-1486,4,0,5.0,16,36.0,63.77
CW-1487,3,0,3.7,8,77.3,65.62
CW-1488,0,0,7.4,0,4.4,28.41
CW-1489,0,0,0.5,11,38.3,28.42
CW-1490,0,1,2.2,7,41.6,52.98
CW-1491,5,1,2.7,2,57.2,90.76
CW-1492,0,0,2.2,16,98.1,33.61
CW-1493,3,0,8.8,9,77.4,67.06
CW-1494,3,0,3.7,9,56.4,55.19
CW-1495,2,0,4.6,15,99.8,49.91
CW-1496,4,0,1.5,13,2.4,29.22
CW-1497,4,1,6.4,0,95.1,100
CW-1498,5,1,1.0,16,98.3,71.96
CW-1499,3,1,9.6,4,71.2,100
CW-1500,4,1,7.0,11,45.8,91.52
