V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33
R_6VBBac4nI6npGJL,Default Response Set,Anonymous,,,68.60.175.31,0,11/11/13 15:36,11/11/13 15:44,1,Website,2,no,NA,"yes, email",No,3,2,3,3,2,2,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3
R_agz9SFGO5v7wvsh,Default Response Set,Anonymous,,,71.205.218.160,0,11/11/13 16:25,11/11/13 16:30,1,The internet,1,no,no,"yes, email (emilynicolebrink@gmail.com)",no,2,1,3,2,2,1,2,1,3,3,2,1,2,1,1,3,3,2,2,1,2
R_9GCIh24WbcEboi1,Default Response Set,Anonymous,,,98.250.49.254,0,11/11/13 17:20,11/11/13 17:26,1,I am a U of M alumni and looked online.,1,No - I'd like to know how to find dates and locations of upcoming exams.,No.,Yes. Phone: 734-222-0433,No.,2,2,3,3,2,2,3,2,2,3,2,1,2,3,3,3,2,2,3,2,2
R_9LhljHL3zlmxsIl,Default Response Set,Anonymous,,,71.10.141.58,0,11/11/13 17:26,11/11/13 17:28,1,Internet searching,1,No,No,Yes via email,No,1,1,3,1,3,1,1,3,3,3,1,1,2,1,1,1,3,3,1,1,2
R_6RtiiQGXDTcKmBD,Default Response Set,Anonymous,,,71.227.23.16,0,11/11/13 18:31,11/11/13 18:36,1,Co-worker,3,no,no,no,no,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3
R_2n6vCV87vlcUFVj,Default Response Set,Anonymous,,,75.114.229.216,0,11/11/13 20:19,11/11/13 20:22,1,UM website,3,no,no,by email,n/a,3,3,4,2,2,3,2,2,2,3,3,3,3,3,3,4,2,2,3,2,2
R_5h7XcelsMDWfJWt,Default Response Set,Anonymous,,,108.200.4.124,0,11/11/13 21:44,11/11/13 21:49,1,UM SSW Email,1,No,No,OK. By email.,I will be taking it for a macro/micro license.,1,2,2,2,4,1,1,3,3,2,2,1,2,2,4,2,3,3,2,1,3
R_6x2oXk95QSp5yyV,Default Response Set,Anonymous,,,24.247.80.106,0,11/12/13 12:22,11/12/13 12:26,1,email,1,n/a,n/a,yes; taraking@umich.edu,n/a,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,3
R_aYm859vIe8NgDqJ,Default Response Set,Anonymous,,,173.15.226.50,0,11/12/13 12:44,11/12/13 12:55,1,website,3,no,yes,yes,no,3,3,2,3,2,3,3,4,2,3,3,3,2,3,3,3,2,2,3,3,2
R_6ED4XMEEcPpU26V,Default Response Set,Anonymous,,,71.227.78.140,0,11/12/13 14:01,11/12/13 14:08,1,found it on your site,3,no,clinical last January 97 points out of 100!!  also took two other times before once 68% another 72% had to get a 75% to pass,yes email,no,4,4,1,3,1,4,4,3,1,1,4,4,1,4,4,4,1,1,3,3,1
R_cIpKGpJRVLnwEG9,Default Response Set,Anonymous,,,108.56.215.179,0,11/12/13 17:36,11/12/13 17:39,1,A Colleague,2,No,No,Yes,No,2,2,2,2,3,2,1,3,3,3,2,2,3,2,2,2,3,3,2,2,2
R_55xxpWXRsm3xfx3,Default Response Set,Anonymous,,,107.48.127.170,0,11/13/13 7:18,11/13/13 7:24,1,Other U of M graduates,3,No,Yes.  March 2013 (missed by 5)  and August 2013 (missed by 4),Yes.  kochl@ewashtenaw.org,"Understandably, I'm very skittish and anxious about taking the exam again and the possibility of failure/success",3,4,2,4,1,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2
R_3KnzJksfa831ijr,Default Response Set,Anonymous,,,96.35.97.74,0,11/15/13 8:12,11/15/13 8:18,1,Through Umich email,3,No,No,Email,No,2,2,2,3,2,2,2,3,2,3,3,1,2,2,2,2,2,2,3,2,2
