item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
4,4,4,4,4,2,3,2,2,2,3,3,4,4,3,2,2,1,2,1
4,5,4,4,5,3,3,3,3,3,3,3,3,2,2,5,5,4,5,5
3,2,3,2,3,3,2,1,1,1,2,4,4,3,3,3,3,3,3,2
4,2,3,2,3,2,2,2,3,3,4,4,4,4,3,2,2,3,3,3
3,4,3,3,4,5,5,5,4,4,2,3,2,3,2,3,3,3,2,3
3,3,3,3,3,3,3,3,1,2,4,2,4,3,2,4,3,3,4,3
2,4,3,2,2,4,5,4,3,5,3,4,4,3,2,3,4,4,3,3
3,3,3,1,2,2,2,2,3,2,3,3,4,3,3,3,3,3,3,2
3,3,3,4,3,3,4,3,2,3,3,3,3,3,5,4,4,4,3,3
4,3,3,4,3,3,3,3,3,2,4,4,3,3,4,3,3,4,3,3
3,3,2,2,3,2,2,1,2,3,2,2,2,3,2,2,3,3,3,2
4,2,2,3,2,4,4,4,3,4,4,4,4,4,4,4,3,4,4,5
4,4,4,5,5,3,3,4,2,4,3,3,3,2,2,3,2,2,2,2
3,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,4,3,3,3
3,4,2,2,2,3,2,3,2,2,3,2,3,3,2,4,5,4,5,4
2,3,3,3,3,3,3,3,3,2,2,3,4,3,2,4,2,3,4,3
2,2,2,2,2,2,3,3,4,3,3,4,3,4,3,3,4,4,4,4
4,4,4,5,4,3,3,2,2,3,4,4,4,4,4,3,3,3,3,3
3,3,4,4,2,3,5,4,4,3,4,4,5,3,4,4,2,3,3,3
2,2,2,2,1,3,3,4,4,3,3,2,2,3,3,3,2,2,3,2
3,3,3,3,3,2,3,2,3,3,2,2,2,3,2,2,2,2,3,2
3,3,3,3,3,2,3,2,3,3,4,3,4,4,3,3,3,4,4,4
3,4,2,3,2,3,2,2,3,2,3,4,3,4,3,3,2,1,2,1
2,3,3,3,2,3,2,2,2,2,3,3,3,3,4,3,3,3,3,3
2,4,3,3,3,3,5,3,3,3,3,4,3,3,4,3,2,3,3,3
2,2,3,4,2,3,3,4,3,3,4,4,3,5,4,4,4,4,4,4
3,2,2,3,3,3,3,4,3,2,4,2,2,3,4,3,3,2,4,3
2,3,3,3,4,2,3,2,2,2,4,3,5,4,4,4,3,3,5,4
4,4,4,4,5,4,5,4,5,5,3,3,3,3,3,3,4,4,3,2
2,3,3,3,2,4,3,4,5,4,1,2,2,2,2,4,4,3,2,3
1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2
4,4,3,4,4,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3
4,3,3,3,3,2,2,2,2,3,5,4,3,4,3,3,2,3,3,2
3,3,3,1,3,4,3,3,3,2,3,3,3,2,3,4,4,4,4,5
2,4,2,2,3,2,2,3,2,3,2,2,2,3,2,3,3,2,3,3
3,3,4,3,4,4,4,3,4,3,4,3,3,3,3,4,3,3,3,4
2,3,3,3,3,3,3,2,1,3,3,3,2,4,3,4,3,4,3,3
2,3,3,3,2,2,2,3,3,3,3,2,3,2,2,3,4,3,3,3
2,3,2,3,2,4,3,3,4,4,1,2,2,3,2,4,4,3,3,3
2,1,1,2,2,3,2,2,2,3,3,4,4,4,4,3,2,3,2,2
3,3,3,3,4,1,2,3,3,4,3,3,2,2,2,4,4,3,4,3
4,3,4,3,4,2,1,2,1,2,1,2,2,3,2,3,4,3,3,4
2,3,2,2,3,3,2,3,3,3,3,3,4,3,2,4,3,4,4,4
2,2,4,3,4,3,3,2,3,3,4,3,3,2,2,4,3,3,4,5
2,3,2,4,3,3,3,4,3,4,3,2,3,3,3,3,3,3,3,3
3,3,3,2,3,4,2,2,2,3,2,2,2,2,2,3,3,3,4,3
4,4,4,4,3,3,3,3,3,3,3,4,5,4,4,4,4,3,4,3
3,3,3,4,3,2,3,4,4,4,5,3,4,4,3,3,3,3,3,3
3,2,4,3,3,3,2,1,2,3,2,3,4,4,2,2,1,3,2,2
3,2,3,2,3,3,3,2,3,5,3,4,4,2,3,3,4,3,3,4
4,4,4,3,4,4,2,3,3,3,2,2,2,3,2,3,3,2,3,2
2,1,3,3,2,1,3,2,2,3,3,3,4,4,3,4,2,4,3,3
3,3,4,3,3,3,4,3,3,4,4,4,4,3,3,4,3,4,4,4
3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,1,2,2,2,1
4,3,3,3,3,4,4,4,3,5,2,2,3,3,4,3,3,3,3,2
4,4,5,3,4,1,2,2,2,2,4,3,3,3,3,3,2,3,4,4
4,3,3,3,3,4,4,3,5,4,4,4,3,5,3,2,4,3,3,3
2,4,3,3,3,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2
5,4,4,3,5,3,4,4,3,4,4,4,3,3,2,3,2,2,2,3
5,5,5,5,4,5,5,5,5,4,3,4,3,3,5,2,3,3,3,2
1,2,3,3,3,3,3,2,3,3,1,3,3,2,2,4,3,3,3,2
4,4,4,4,3,2,2,2,1,2,4,4,5,4,5,4,5,4,5,4
1,2,3,2,3,2,3,2,1,2,2,3,2,3,3,2,2,3,2,2
1,2,3,2,2,1,3,2,1,1,3,2,2,3,3,4,4,4,4,4
1,3,3,2,3,3,2,3,3,3,3,2,2,3,2,3,2,3,3,4
3,4,4,3,3,4,5,5,4,5,2,4,2,3,3,3,3,2,2,2
4,4,4,4,3,3,3,2,3,3,2,2,2,2,1,3,3,3,3,3
2,3,3,3,3,3,2,3,2,3,3,3,3,3,4,2,3,2,3,3
3,4,3,3,3,4,4,4,4,4,3,2,2,3,2,4,3,4,4,4
3,2,2,3,2,2,3,3,1,1,4,5,5,4,4,4,3,4,4,3
4,5,3,4,4,4,3,3,4,4,3,2,3,3,3,1,2,3,2,3
3,3,2,3,2,3,2,2,2,2,2,1,2,2,2,3,2,2,3,2
3,4,4,3,3,4,3,4,4,3,3,2,2,3,2,2,3,2,3,2
4,3,1,1,2,2,2,2,3,2,2,2,2,3,2,3,3,3,3,3
3,2,3,3,4,2,2,2,3,2,2,3,3,4,3,1,2,2,2,2
3,2,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,4,3,4
2,2,2,2,1,2,3,3,2,3,3,3,3,3,3,3,3,4,3,4
2,2,2,2,1,2,3,2,3,3,4,3,3,3,5,3,3,3,4,2
2,3,3,2,3,3,3,4,2,2,3,4,3,2,4,3,4,4,3,4
3,4,3,3,4,4,3,3,3,2,2,2,2,3,1,2,2,3,3,2
4,3,4,3,4,4,4,4,2,3,2,2,2,2,3,4,3,3,3,2
3,4,3,3,4,1,3,2,3,3,4,4,3,4,4,3,2,3,3,2
3,2,3,2,2,3,4,3,3,3,3,4,4,3,3,3,4,2,3,4
3,4,3,4,3,3,2,3,2,4,3,3,4,3,3,3,3,3,2,3
4,4,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3,3,3,3
2,2,3,2,2,2,2,3,3,3,5,3,3,3,4,4,4,3,3,2
4,3,3,2,3,2,2,1,1,2,3,2,4,3,3,3,3,2,3,2
3,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,3,3,3
3,4,3,4,3,3,3,3,3,3,3,2,1,2,2,2,2,3,3,3
2,3,3,2,3,2,1,2,1,1,3,4,3,3,3,3,4,3,3,2
3,3,3,2,3,2,4,2,2,3,4,4,2,4,3,2,3,3,3,4
4,4,3,3,4,3,4,4,3,4,3,3,4,3,2,2,3,2,3,2
4,3,3,2,2,4,5,4,4,5,3,2,3,2,2,3,2,2,2,3
2,2,2,2,3,1,1,2,2,1,3,4,4,4,3,3,3,2,2,2
1,2,1,2,2,2,2,1,1,2,3,2,1,2,2,3,4,2,3,3
3,2,2,1,1,1,1,2,1,2,3,3,2,3,4,3,3,2,3,3
3,4,3,2,3,3,4,4,4,3,3,4,2,2,3,2,2,3,3,2
3,3,4,3,3,3,4,3,3,4,3,2,1,2,3,2,2,2,2,2
4,3,4,4,3,4,2,3,2,2,3,3,3,2,3,2,4,2,3,3
4,4,4,5,4,2,3,3,4,4,2,3,2,3,3,3,4,4,3,3
5,5,5,5,5,5,5,4,5,3,3,3,3,3,2,3,2,2,3,3
5,5,5,5,5,3,3,3,3,3,3,2,3,4,2,2,3,3,2,1
4,4,4,4,4,3,3,4,4,3,3,2,3,2,2,2,4,4,3,2
3,4,3,3,3,2,4,3,3,2,2,3,1,2,3,3,2,3,3,3
2,2,3,3,3,3,4,4,3,3,2,4,2,2,2,3,4,5,4,3
2,2,3,2,2,1,2,1,2,2,2,2,2,3,3,4,4,4,3,4
4,3,2,3,3,4,5,5,5,5,3,3,3,4,4,3,2,3,3,2
3,3,2,1,2,4,3,3,2,2,3,3,2,3,2,4,5,4,5,3
4,3,3,2,3,3,4,3,3,4,4,4,4,4,4,3,3,3,4,4
3,2,3,2,2,2,2,3,3,2,4,4,3,3,4,4,3,3,3,4
3,2,3,2,4,2,2,2,2,2,3,3,3,4,2,3,2,2,2,4
1,1,1,2,1,2,3,3,2,4,2,2,1,3,2,4,3,2,3,3
5,5,5,5,3,5,5,4,4,5,3,4,3,2,4,2,2,2,3,3
4,4,4,4,4,4,4,4,4,4,2,3,2,4,2,3,3,3,3,3
4,3,4,5,4,3,5,3,3,3,2,2,2,3,3,2,3,4,3,4
4,3,3,3,3,2,3,4,2,2,2,3,3,2,2,2,2,3,3,2
3,3,3,3,3,5,3,5,4,4,3,3,4,3,3,4,4,3,3,3
2,2,3,3,3,1,4,3,3,2,3,4,3,4,3,2,3,3,2,3
5,4,4,3,3,2,2,2,2,4,3,3,2,2,2,4,4,4,4,4
2,2,1,1,1,3,3,3,4,3,1,2,2,2,2,3,3,2,3,3
2,4,2,3,2,3,3,3,4,4,1,1,1,1,1,1,1,1,2,2
3,3,2,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3
3,3,3,2,2,3,3,1,2,2,2,3,3,3,3,4,3,3,3,3
4,4,4,3,4,3,4,4,4,3,3,3,3,3,2,2,3,2,3,4
3,3,4,4,4,2,3,3,2,3,3,3,3,3,3,2,2,2,3,2
3,3,3,4,3,2,2,2,3,2,2,3,2,3,3,3,2,2,3,3
4,3,4,4,4,3,3,3,4,3,3,4,4,3,5,4,2,3,4,5
1,2,1,2,2,2,1,2,3,3,3,3,4,3,2,2,3,3,3,2
2,2,2,3,2,2,2,3,2,3,2,4,3,3,2,2,3,3,3,2
2,1,2,3,3,3,3,3,3,2,1,1,1,1,1,3,3,2,3,3
1,3,2,3,2,4,5,4,4,3,2,1,3,3,2,2,2,1,2,1
2,4,3,4,2,2,2,2,2,2,3,3,3,2,3,3,4,3,4,4
2,3,2,2,2,1,2,2,2,2,4,3,2,3,2,2,3,4,2,2
4,4,3,4,5,4,3,4,4,3,5,4,4,5,5,2,3,2,2,3
3,3,3,4,4,3,3,3,3,3,3,4,4,3,4,5,3,4,4,4
3,3,3,3,4,3,3,2,3,4,2,2,3,2,2,1,1,2,1,1
4,4,5,5,4,4,3,5,4,4,2,4,3,3,2,3,4,4,4,5
3,4,3,4,4,4,4,4,4,3,2,3,3,2,3,2,3,3,3,2
3,3,3,3,4,3,3,3,3,2,3,3,5,3,3,4,3,3,3,2
3,3,3,3,3,5,5,5,4,5,3,3,3,4,3,4,3,2,5,3
3,4,3,3,4,3,4,3,4,3,4,4,4,4,5,3,3,3,4,2
3,5,3,5,4,3,3,2,3,4,4,3,4,3,3,4,4,3,4,3
2,3,2,2,3,3,4,3,3,4,3,2,2,3,3,3,2,2,3,3
3,3,4,4,2,4,5,4,5,4,3,3,2,3,3,4,4,3,4,4
3,4,3,2,3,4,4,3,2,2,2,2,2,2,2,3,3,3,2,3
4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,2,3,3,3,3
3,3,3,4,2,3,3,4,4,4,3,3,2,2,2,1,2,2,2,2
4,4,5,3,5,3,3,3,4,4,1,1,1,2,2,3,2,3,2,3
3,3,3,4,3,4,4,4,5,3,2,1,2,4,2,2,3,3,3,2
3,2,3,3,2,1,2,2,2,2,2,3,1,3,3,2,2,3,1,2
2,1,2,2,2,1,2,2,2,3,1,1,2,2,1,2,3,2,1,1
3,3,2,2,1,2,3,2,3,3,2,2,3,2,4,3,2,2,3,4
3,2,3,3,4,3,3,3,4,3,2,3,3,4,3,4,4,4,4,3
3,2,3,4,2,4,3,4,4,4,2,1,1,1,1,2,2,3,3,2
1,2,2,2,1,2,2,2,2,2,2,3,2,4,3,3,3,3,3,2
3,3,3,3,4,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3
3,4,2,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3
5,3,4,4,3,2,2,4,3,2,2,3,3,2,4,1,2,1,1,1
3,4,4,4,4,4,3,3,3,3,2,1,1,3,2,3,3,3,4,4
3,3,5,4,4,3,3,3,3,3,2,2,2,1,1,3,3,3,3,3
3,2,2,2,3,2,2,2,2,2,3,4,4,5,3,2,2,1,2,2
3,2,4,3,3,2,4,2,3,3,4,4,5,5,4,3,2,4,3,4
1,2,2,1,2,3,2,2,3,2,3,3,3,4,3,4,4,4,3,4
3,3,3,3,4,2,1,2,2,2,2,2,4,3,3,4,3,3,4,3
4,5,3,4,5,5,4,5,5,4,2,3,3,4,3,4,4,4,4,3
4,4,4,4,5,5,4,4,3,4,4,3,4,4,5,4,4,4,3,5
2,2,2,1,2,1,3,2,2,1,3,4,3,4,3,3,3,2,3,3
2,3,3,2,3,3,3,2,2,2,3,2,3,3,3,3,3,2,4,4
2,3,2,2,2,3,4,3,3,3,3,2,3,3,4,3,3,3,4,3
3,3,3,2,4,3,4,3,4,3,3,4,4,4,4,2,2,2,2,3
3,5,4,4,5,4,4,4,5,4,1,1,1,2,1,2,2,2,2,2
2,3,1,3,3,3,4,4,4,4,3,3,3,4,3,2,2,4,3,3
4,4,4,3,2,4,2,3,3,2,2,2,3,2,3,3,2,2,2,3
2,3,2,2,3,2,3,2,3,2,2,3,2,3,3,3,2,2,3,3
3,3,5,3,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,4
4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,2
4,4,5,4,4,5,5,5,4,5,4,4,5,4,4,4,3,4,3,4
4,4,3,3,2,3,3,4,4,4,3,3,3,3,3,3,4,3,3,4
3,2,3,3,3,3,3,3,4,3,4,4,5,4,5,3,3,3,3,3
4,3,2,3,3,4,3,3,3,4,3,2,3,4,3,3,3,3,3,4
3,3,3,2,3,3,2,2,3,2,2,3,4,3,3,2,1,2,2,2
4,2,3,2,3,1,2,2,3,2,3,3,4,3,3,4,4,3,4,4
4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,3
1,3,2,2,1,2,2,2,3,3,3,3,3,4,3,4,3,3,2,1
2,2,2,3,1,3,2,2,4,3,1,3,2,3,2,2,2,1,2,3
3,3,4,3,4,3,4,3,3,3,4,4,4,4,4,3,3,4,3,3
3,4,4,4,3,3,3,4,4,3,2,2,2,2,3,2,3,2,2,2
3,3,2,3,2,5,5,4,5,5,3,3,2,3,2,3,2,3,3,2
2,4,3,2,3,3,3,3,4,3,3,3,2,2,2,2,1,2,2,2
2,3,3,2,2,3,2,2,2,2,3,3,2,2,3,3,3,2,2,3
3,4,3,2,2,2,4,3,3,4,3,3,2,3,2,4,4,4,4,3
3,4,3,4,3,3,3,3,4,5,2,2,2,2,2,4,2,3,3,3
3,3,3,2,2,4,3,3,4,2,4,3,2,4,4,4,3,3,3,2
5,3,4,3,3,3,4,4,3,2,4,4,3,3,4,4,3,4,3,4
3,3,3,2,4,1,2,2,3,3,2,2,1,2,2,2,2,2,2,3
3,2,2,3,2,4,3,3,3,4,3,2,2,4,1,3,3,4,4,4
2,3,2,2,2,1,1,2,2,1,2,3,3,3,2,2,2,1,1,1
3,2,2,2,3,3,2,3,3,2,2,3,4,3,3,2,3,3,2,4
3,2,2,3,2,2,2,2,3,3,4,5,3,4,4,3,4,3,4,3
3,3,2,2,2,4,3,4,5,5,3,2,2,1,1,3,2,3,2,2
5,4,4,4,4,2,1,1,1,1,4,3,3,4,3,3,2,2,3,2
4,3,4,3,3,3,4,3,3,3,4,4,5,4,5,4,2,3,3,3
3,3,4,3,3,4,3,4,3,4,3,2,2,3,3,3,3,3,2,3
2,3,4,3,2,3,3,4,2,3,3,3,3,3,4,3,3,2,1,3
3,3,2,4,3,4,3,4,3,4,3,2,3,3,4,3,3,3,4,3
3,3,3,4,3,3,2,2,2,3,3,2,3,3,3,3,3,3,4,3
2,4,3,3,3,3,4,4,4,4,3,3,3,2,3,3,2,2,2,2
3,2,4,2,3,2,3,3,3,3,4,3,4,3,4,4,2,5,4,4
2,2,3,2,3,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3
2,3,2,3,3,2,3,3,3,4,2,2,3,3,4,3,3,4,1,2
2,2,3,2,2,4,4,3,4,3,2,3,2,2,2,2,1,1,2,3
3,3,3,2,3,3,2,3,3,3,4,3,1,2,2,3,3,4,3,3
4,3,4,4,4,3,3,4,4,3,3,4,3,2,3,4,3,3,3,3
4,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,3,4,3,3
3,3,4,3,4,4,3,4,4,3,3,3,2,3,3,1,2,2,2,2
3,4,3,4,4,2,2,2,2,2,3,4,3,4,5,3,3,4,3,3
3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,2,3,2,4,3
1,2,2,1,2,3,2,2,1,2,3,3,3,2,3,2,1,2,2,2
2,4,3,4,4,3,3,3,2,4,3,2,2,2,2,4,4,3,3,4
3,2,2,2,2,1,1,1,2,2,3,3,4,4,2,3,3,3,3,4
3,4,2,4,2,2,3,3,2,3,2,3,1,2,2,3,3,2,1,2
3,3,3,3,3,3,4,3,3,4,2,4,4,3,4,3,3,4,3,4
4,4,3,3,4,4,3,3,4,5,4,3,3,3,3,4,4,5,5,3
4,4,4,4,3,3,2,2,3,3,2,3,4,2,3,1,2,1,2,2
2,3,4,3,4,3,2,3,1,2,4,4,4,4,3,4,3,3,4,4
2,2,3,1,2,2,2,3,2,2,3,3,3,2,2,2,4,2,2,2
2,4,3,2,3,2,3,1,2,2,3,3,3,2,3,2,1,3,3,2
2,2,1,1,2,3,3,4,3,3,2,2,1,3,2,3,4,2,2,3
1,2,1,1,2,1,1,3,3,3,2,2,3,2,3,2,3,3,3,2
4,3,4,4,4,3,3,4,4,3,4,2,3,3,2,2,3,3,3,3
4,3,4,3,4,4,3,3,4,3,3,3,4,4,3,4,4,4,4,3
4,4,4,3,5,5,3,4,4,4,5,4,5,5,4,3,4,4,4,4
3,4,3,2,3,2,2,1,2,2,3,2,2,3,2,3,3,3,3,2
3,2,1,2,2,1,3,3,2,2,3,3,4,4,4,2,3,3,2,2
3,3,2,3,3,1,3,3,3,2,3,4,3,3,3,3,4,4,4,4
3,3,4,3,3,4,2,4,4,3,5,4,4,3,4,4,4,3,4,4
2,2,3,3,3,4,4,5,5,4,3,3,3,3,3,3,2,4,3,3
3,4,3,3,4,4,5,4,4,4,2,1,2,2,3,5,3,3,3,3
4,4,3,3,3,3,3,4,4,3,4,3,4,3,4,4,4,4,3,5
2,3,2,2,2,3,4,3,4,4,2,4,4,3,2,2,2,2,3,2
3,4,3,4,4,3,4,3,3,4,3,2,4,3,2,2,1,3,3,2
2,4,3,2,3,2,3,2,2,2,5,4,3,4,5,2,2,3,2,2
1,3,3,2,2,4,5,3,4,3,3,3,3,2,4,3,3,3,2,3
3,3,4,4,5,3,2,3,2,3,2,3,3,2,2,3,4,4,3,4
3,3,3,4,4,3,3,3,2,3,2,2,2,2,2,4,4,3,3,4
3,3,3,3,4,3,3,3,2,3,3,4,4,4,4,3,2,2,2,3
2,3,3,3,3,2,2,1,2,2,2,3,2,3,2,2,2,2,3,1
1,3,3,2,3,4,4,3,3,3,3,4,2,5,3,3,3,4,3,3
4,4,4,5,5,2,3,4,3,4,4,2,3,3,4,3,3,3,3,3
5,4,4,5,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,4
4,4,5,4,4,3,2,2,2,3,3,4,4,4,3,3,3,4,3,4
2,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,2
4,4,4,3,3,2,3,1,3,1,4,3,3,2,4,3,3,2,3,3
2,2,3,3,3,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3
2,1,3,2,2,2,3,3,3,2,3,3,3,3,4,3,3,2,3,2
2,3,2,2,2,3,3,3,3,2,3,3,3,3,4,3,3,2,3,2
4,3,5,3,3,2,2,2,2,2,4,4,5,4,5,3,3,2,3,3
2,2,3,2,3,3,3,3,2,3,2,2,3,3,2,4,4,3,3,5
5,4,3,4,5,2,3,3,3,2,3,3,3,3,4,3,4,3,3,3
3,3,3,3,2,4,4,4,4,4,4,4,3,3,4,2,2,3,3,2
4,4,4,4,4,4,4,4,5,3,4,3,4,3,4,3,2,2,4,2
4,2,3,4,2,2,3,3,2,3,3,3,4,3,4,2,3,3,4,3
2,2,1,2,1,2,3,3,2,3,3,4,3,3,3,4,3,4,3,4
3,4,3,3,2,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3
2,3,4,4,3,5,5,4,5,5,4,2,3,3,3,3,4,4,3,3
5,4,3,5,4,2,3,2,3,3,3,2,1,2,2,2,2,1,2,2
