student_id,program_track,first_attempt_result,gpa,field_placement_hours,cohort_year
1144,Community,Pass,3.23,1022,2022
1015,Clinical,Pass,3.26,1097,2021
1060,Clinical,Pass,3.77,901,2022
1162,Policy,Fail,3.03,609,2021
1189,Policy,Pass,3.85,1081,2021
1006,Clinical,Pass,3.72,951,2023
1078,Clinical,Fail,3.16,742,2023
1125,Community,Fail,3.39,1083,2022
1109,Community,Pass,3.10,826,2022
1084,Community,Pass,3.08,1121,2023
1120,Community,Pass,3.68,666,2022
1132,Community,Pass,3.69,803,2023
1085,Community,Pass,3.33,1056,2021
1188,Policy,Pass,3.07,1095,2021
1191,Policy,Pass,3.51,1005,2023
1100,Community,Pass,3.71,1040,2023
1033,Clinical,Pass,3.95,771,2023
1055,Clinical,Fail,3.03,708,2021
1157,Policy,Pass,3.52,968,2023
1013,Clinical,Pass,2.92,957,2022
1149,Community,Pass,3.48,1128,2021
1044,Clinical,Fail,3.81,969,2021
1009,Clinical,Pass,3.27,867,2022
1008,Clinical,Pass,3.62,866,2022
1010,Clinical,Pass,3.39,843,2021
1053,Clinical,Pass,3.80,1068,2021
1155,Policy,Pass,3.18,1166,2021
1094,Community,Fail,2.85,840,2022
1139,Community,Pass,3.04,1002,2021
1032,Clinical,Pass,3.62,871,2023
1178,Policy,Fail,2.85,752,2022
1069,Clinical,Pass,3.41,869,2023
1176,Policy,Pass,3.59,962,2021
1065,Clinical,Pass,3.28,1200,2023
1118,Community,Pass,4.00,1057,2022
1129,Community,Fail,3.15,1150,2022
1169,Policy,Fail,2.89,1044,2022
1175,Policy,Pass,3.63,879,2021
1074,Clinical,Pass,3.83,655,2023
1080,Clinical,Pass,3.77,1168,2022
1147,Community,Pass,3.54,880,2021
1148,Community,Fail,2.75,600,2021
1030,Clinical,Pass,3.22,982,2022
1007,Clinical,Fail,3.17,950,2021
1183,Policy,Fail,2.79,1168,2021
1020,Clinical,Pass,3.45,915,2023
1181,Policy,Pass,4.00,1051,2023
1142,Community,Pass,3.66,1078,2022
1167,Policy,Pass,3.03,1104,2023
1122,Community,Pass,3.32,949,2021
1130,Community,Fail,3.44,917,2021
1062,Clinical,Pass,3.13,1064,2022
1146,Community,Pass,3.51,884,2022
1133,Community,Fail,2.70,929,2021
1049,Clinical,Pass,3.78,1036,2021
1152,Policy,Pass,3.32,712,2022
1126,Community,Fail,3.44,896,2021
1011,Clinical,Pass,3.47,1041,2023
1072,Clinical,Pass,3.42,1115,2022
1004,Clinical,Fail,3.03,933,2023
1014,Clinical,Pass,3.81,1159,2022
1092,Community,Pass,3.11,920,2021
1108,Community,Pass,3.52,954,2023
1196,Policy,Fail,3.22,755,2021
1180,Policy,Pass,2.76,1200,2021
1124,Community,Fail,3.06,706,2021
1002,Clinical,Fail,3.54,849,2021
1079,Clinical,Pass,3.62,773,2023
1035,Clinical,Pass,3.47,1023,2021
1071,Clinical,Pass,3.22,945,2022
1061,Clinical,Pass,3.27,878,2021
1058,Clinical,Pass,3.22,1036,2021
1193,Policy,Pass,3.39,841,2021
1154,Policy,Fail,2.50,692,2022
1093,Community,Pass,3.34,794,2023
1173,Policy,Pass,3.58,985,2021
1099,Community,Pass,3.61,860,2022
1016,Clinical,Pass,2.94,817,2023
1036,Clinical,Pass,3.27,1093,2021
1096,Community,Pass,3.50,815,2021
1097,Community,Pass,3.16,1200,2022
1047,Clinical,Pass,4.00,820,2023
1163,Policy,Pass,3.69,1088,2023
1098,Community,Pass,3.47,1007,2023
1005,Clinical,Pass,4.00,1064,2021
1059,Clinical,Pass,3.88,710,2023
1128,Community,Pass,3.87,1137,2021
1095,Community,Pass,3.15,863,2023
1171,Policy,Pass,3.21,994,2021
1151,Policy,Pass,4.00,1004,2021
1143,Community,Pass,3.93,901,2023
1026,Clinical,Pass,3.55,946,2022
1156,Policy,Fail,2.74,892,2022
1190,Policy,Fail,3.42,1094,2021
1034,Clinical,Pass,3.37,712,2021
1068,Clinical,Fail,3.24,989,2021
1145,Community,Fail,2.50,813,2023
1182,Policy,Fail,3.45,647,2022
1172,Policy,Fail,3.43,877,2023
1081,Community,Pass,3.31,974,2023
1045,Clinical,Pass,3.82,967,2022
1021,Clinical,Pass,3.71,1073,2023
1017,Clinical,Pass,3.20,1087,2023
1101,Community,Pass,3.44,1045,2021
1112,Community,Pass,3.83,902,2022
1082,Community,Pass,2.98,821,2023
1106,Community,Pass,3.83,959,2022
1166,Policy,Pass,3.55,879,2022
1116,Community,Fail,3.63,708,2022
