client_id,program,improvement_score,completed
B-0091,Program B,3.5,1
B-0092,Program B,26.7,0
B-0093,Program B,9.0,0
B-0094,Program B,18.3,1
B-0095,Program B,18.1,1
B-0096,Program B,0.0,1
B-0097,Program B,31.6,1
B-0098,Program B,45.0,1
B-0099,Program B,18.1,1
B-0100,Program B,41.3,0
B-0101,Program B,0.4,1
B-0102,Program B,0.0,0
B-0103,Program B,30.8,0
B-0104,Program B,7.6,1
B-0105,Program B,25.3,0
B-0106,Program B,4.8,0
B-0107,Program B,8.8,1
B-0108,Program B,19.5,1
B-0109,Program B,19.4,1
B-0110,Program B,3.5,1
B-0111,Program B,26.7,1
B-0112,Program B,22.6,1
B-0113,Program B,11.7,1
B-0114,Program B,16.4,0
B-0115,Program B,16.8,1
B-0116,Program B,13.8,1
B-0117,Program B,10.9,1
B-0118,Program B,22.1,0
B-0119,Program B,2.0,0
B-0120,Program B,8.7,0
B-0121,Program B,17.0,1
B-0122,Program B,18.9,0
B-0123,Program B,36.0,1
B-0124,Program B,0.0,0
B-0125,Program B,2.4,1
B-0126,Program B,13.3,1
B-0127,Program B,15.3,1
B-0128,Program B,19.1,0
B-0129,Program B,12.1,1
B-0130,Program B,22.1,1
B-0131,Program B,16.0,1
B-0132,Program B,16.1,1
B-0133,Program B,35.0,1
B-0134,Program B,20.9,1
B-0135,Program B,29.1,1
B-0136,Program B,21.6,1
B-0137,Program B,18.8,0
B-0138,Program B,6.3,0
B-0139,Program B,17.9,1
B-0140,Program B,23.0,1
B-0141,Program B,29.1,0
B-0142,Program B,18.0,0
B-0143,Program B,6.4,0
B-0144,Program B,1.6,1
B-0145,Program B,24.8,1
B-0146,Program B,18.9,0
B-0147,Program B,10.3,0
B-0148,Program B,14.7,0
B-0149,Program B,26.1,0
B-0150,Program B,32.3,1
B-0151,Program B,31.1,1
B-0152,Program B,0.0,1
B-0153,Program B,11.1,0
B-0154,Program B,34.7,1
B-0155,Program B,17.0,0
B-0156,Program B,13.3,1
B-0157,Program B,34.6,0
B-0158,Program B,30.3,1
B-0159,Program B,43.0,0
B-0160,Program B,41.8,1
B-0161,Program B,7.6,1
B-0162,Program B,23.0,1
B-0163,Program B,31.1,1
B-0164,Program B,0.0,0
B-0165,Program B,3.2,0
B-0166,Program B,1.0,1
B-0167,Program B,14.8,1
B-0168,Program B,0.0,0
B-0169,Program B,4.6,1
B-0170,Program B,14.7,0
B-0171,Program B,15.3,0
B-0172,Program B,41.3,1
B-0173,Program B,24.6,1
B-0174,Program B,11.9,1
B-0175,Program B,15.9,0
B-0176,Program B,20.0,1
B-0177,Program B,23.1,1
B-0178,Program B,38.9,0
B-0179,Program B,15.1,1
B-0180,Program B,8.8,0
B-0181,Program B,34.4,1
B-0182,Program B,27.8,0
B-0183,Program B,11.7,1
B-0184,Program B,1.9,0
B-0185,Program B,25.1,0
B-0186,Program B,22.7,1
B-0187,Program B,6.2,1
B-0188,Program B,11.3,1
B-0189,Program B,17.7,0
B-0190,Program B,7.2,1
B-0191,Program B,17.9,1
B-0192,Program B,24.1,1
B-0193,Program B,0.0,1
B-0194,Program B,13.5,1
B-0195,Program B,0.0,0
B-0196,Program B,19.9,1
B-0197,Program B,16.9,1
B-0198,Program B,23.4,1
B-0199,Program B,18.9,1
B-0200,Program B,19.8,1
C-0001,Program C,25.0,1
C-0002,Program C,13.4,1
C-0003,Program C,21.3,0
C-0004,Program C,8.2,1
C-0005,Program C,6.5,1
C-0006,Program C,16.6,1
C-0007,Program C,23.5,0
C-0008,Program C,11.7,1
C-0009,Program C,25.1,1
C-0010,Program C,20.1,1
C-0011,Program C,8.7,0
C-0012,Program C,12.4,1
C-0013,Program C,16.0,1
C-0014,Program C,4.1,1
C-0015,Program C,6.3,1
C-0016,Program C,13.8,0
C-0017,Program C,21.8,1
C-0018,Program C,14.6,1
C-0019,Program C,13.8,1
C-0020,Program C,0.0,1
C-0021,Program C,12.5,1
C-0022,Program C,11.0,1
C-0023,Program C,23.8,1
C-0024,Program C,15.1,1
C-0025,Program C,16.5,1
C-0026,Program C,27.4,1
C-0027,Program C,8.0,1
C-0028,Program C,0.0,1
C-0029,Program C,5.1,1
C-0030,Program C,0.0,1
C-0031,Program C,4.5,0
C-0032,Program C,1.0,1
C-0033,Program C,18.5,1
C-0034,Program C,20.9,1
C-0035,Program C,14.0,1
C-0036,Program C,19.0,1
C-0037,Program C,23.8,1
C-0038,Program C,11.7,1
C-0039,Program C,23.2,1
C-0040,Program C,17.1,1
C-0041,Program C,32.2,0
C-0042,Program C,26.1,1
C-0043,Program C,45.0,1
C-0044,Program C,5.4,1
C-0045,Program C,28.0,1
C-0046,Program C,18.4,1
C-0047,Program C,19.4,1
C-0048,Program C,12.5,1
C-0049,Program C,11.5,1
C-0050,Program C,15.2,1
C-0051,Program C,7.4,1
C-0052,Program C,1.1,1
C-0053,Program C,10.4,0
C-0054,Program C,33.7,1
C-0055,Program C,8.3,1
C-0056,Program C,16.9,0
C-0057,Program C,7.1,0
C-0058,Program C,20.4,1
C-0059,Program C,7.0,1
C-0060,Program C,12.8,1
C-0061,Program C,15.5,1
C-0062,Program C,3.8,1
C-0063,Program C,0.0,1
C-0064,Program C,9.4,1
C-0065,Program C,30.6,1
C-0066,Program C,29.9,1
C-0067,Program C,20.5,1
C-0068,Program C,23.5,1
C-0069,Program C,32.7,1
C-0070,Program C,14.1,1
C-0071,Program C,19.6,1
C-0072,Program C,6.8,1
C-0073,Program C,12.8,0
C-0074,Program C,30.0,1
C-0075,Program C,7.5,0
C-0076,Program C,12.5,1
C-0077,Program C,26.6,1
C-0078,Program C,4.0,1
C-0079,Program C,0.0,1
C-0080,Program C,24.5,0
C-0081,Program C,13.6,1
C-0082,Program C,21.6,0
C-0083,Program C,10.5,1
C-0084,Program C,15.3,1
C-0085,Program C,5.5,1
C-0086,Program C,11.8,1
C-0087,Program C,19.7,1
C-0088,Program C,26.5,1
C-0089,Program C,15.4,1
C-0090,Program C,12.6,1
C-0091,Program C,18.0,1
C-0092,Program C,7.7,0
C-0093,Program C,24.3,1
C-0094,Program C,13.9,1
C-0095,Program C,1.4,0
C-0096,Program C,6.3,1
C-0097,Program C,6.3,1
C-0098,Program C,13.6,1
C-0099,Program C,12.4,1
C-0100,Program C,11.2,0
C-0101,Program C,8.5,1
C-0102,Program C,25.4,0
C-0103,Program C,24.5,1
C-0104,Program C,2.3,1
C-0105,Program C,12.4,0
C-0106,Program C,1.8,1
C-0107,Program C,25.3,0
C-0108,Program C,19.7,0
C-0109,Program C,14.8,1
C-0110,Program C,6.5,1
C-0111,Program C,21.0,1
C-0112,Program C,8.8,0
C-0113,Program C,28.7,1
C-0114,Program C,19.1,1
C-0115,Program C,21.0,1
C-0116,Program C,22.8,1
C-0117,Program C,16.6,0
C-0118,Program C,17.8,1
C-0119,Program C,16.0,1
C-0120,Program C,32.6,1
C-0121,Program C,14.8,1
C-0122,Program C,21.1,0
C-0123,Program C,24.8,1
C-0124,Program C,8.0,1
C-0125,Program C,9.0,1
C-0126,Program C,23.8,1
C-0127,Program C,15.0,1
C-0128,Program C,30.5,1
C-0129,Program C,9.1,1
C-0130,Program C,15.6,1
C-0131,Program C,21.7,0
C-0132,Program C,14.7,1
C-0133,Program C,13.4,1
C-0134,Program C,25.2,1
C-0135,Program C,25.4,1
C-0136,Program C,18.3,0
C-0137,Program C,11.8,1
C-0138,Program C,29.0,1
C-0139,Program C,7.7,1
C-0140,Program C,6.6,1
C-0141,Program C,6.8,1
C-0142,Program C,2.1,0
C-0143,Program C,10.8,1
C-0144,Program C,9.5,1
C-0145,Program C,14.6,1
C-0146,Program C,11.5,1
C-0147,Program C,16.9,1
C-0148,Program C,18.8,0
C-0149,Program C,0.0,0
C-0150,Program C,11.6,1
