tract_id,poverty_rate,unemployment_rate,median_income,education_bachelor_pct,food_insecurity_rate,uninsured_rate,housing_burden_pct,life_expectancy
TRACT-5062,5.0,2.1,80115.0,45.8,5.8,6.6,18.2,84.4
TRACT-5063,13.0,7.5,56575.0,29.7,11.6,9.1,21.7,80.3
TRACT-5064,32.1,13.8,39438.0,29.9,27.9,20.4,43.6,75.9
TRACT-5065,18.7,4.8,55302.0,9.0,15.1,14.4,39.0,76.8
TRACT-5066,27.3,11.2,25215.0,5.0,16.2,7.7,41.5,72.9
TRACT-5067,23.7,10.3,58593.0,40.5,14.4,12.0,32.4,71.9
TRACT-5068,24.8,14.6,41567.0,17.5,25.1,3.5,37.9,75.6
TRACT-5069,12.3,11.0,76090.0,35.3,10.9,7.6,24.6,75.9
TRACT-5070,31.8,16.5,39936.0,11.0,34.0,31.0,41.8,70.9
TRACT-5071,9.3,6.5,57734.0,28.7,16.2,1.5,42.0,83.1
TRACT-5072,5.6,0.0,74790.0,25.9,6.0,0.0,20.1,85.0
TRACT-5073,6.8,3.1,55412.0,34.0,8.0,17.9,27.6,78.1
TRACT-5074,23.5,8.1,28337.0,18.8,18.1,15.2,39.0,73.1
TRACT-5075,22.2,15.7,30880.0,34.9,17.4,9.9,56.3,75.7
TRACT-5076,31.7,15.7,20000,8.2,21.8,10.4,28.9,72.4
TRACT-5077,23.9,11.5,40111.0,13.5,13.7,10.6,27.5,74.5
TRACT-5078,17.8,4.7,53457.0,19.4,14.8,14.5,31.9,78.0
TRACT-5079,1.5,0.9,88179.0,48.9,0.0,4.1,30.5,81.5
TRACT-5080,17.1,9.3,59360.0,36.8,14.8,12.6,26.5,77.1
TRACT-5081,30.5,11.7,30981.0,12.5,26.7,13.4,46.4,70.7
TRACT-5082,7.4,5.0,75074.0,39.8,14.2,6.4,28.9,77.8
TRACT-5083,30.6,14.7,39110.0,23.2,18.3,14.7,44.2,73.7
TRACT-5084,19.2,3.6,56878.0,21.6,9.6,10.2,17.1,78.6
TRACT-5085,26.5,10.8,27010.0,6.0,20.0,2.4,38.1,75.6
TRACT-5086,14.9,5.1,63490.0,35.2,18.6,11.7,24.9,76.9
TRACT-5087,19.8,14.2,45671.0,13.7,12.2,0.9,35.4,72.6
TRACT-5088,5.7,0.0,64452.0,37.0,0.9,0.0,24.9,79.0
TRACT-5089,22.3,12.2,46369.0,11.4,17.2,16.7,29.5,71.7
TRACT-5090,29.0,10.4,30727.0,17.3,27.2,19.1,36.7,75.4
TRACT-5091,39.5,20.5,24345.0,5.0,40.0,18.6,42.8,69.5
TRACT-5092,34.3,15.2,20000,9.4,28.7,18.0,34.7,69.5
TRACT-5093,13.6,6.6,55828.0,35.5,7.7,0.0,24.5,81.8
TRACT-5094,12.3,14.4,68662.0,23.1,7.5,10.7,19.4,85.0
TRACT-5095,8.1,7.0,90790.0,43.2,3.1,5.2,27.8,83.2
TRACT-5096,18.6,3.2,56283.0,21.5,3.5,5.8,19.7,78.4
TRACT-5097,37.4,21.4,20000,5.0,31.2,27.4,42.6,70.5
TRACT-5098,40.1,15.3,20000,9.3,31.6,16.3,44.8,67.3
TRACT-5099,15.2,13.7,67333.0,33.2,8.5,8.6,38.7,76.8
TRACT-5100,32.5,8.2,27353.0,32.9,12.9,22.1,28.6,72.6
TRACT-5101,16.3,10.3,20000,5.0,13.3,11.9,24.0,74.4
TRACT-5102,6.1,2.4,65243.0,34.6,11.4,15.5,19.9,78.9
TRACT-5103,18.5,7.1,53840.0,11.8,17.2,7.6,23.3,72.4
TRACT-5104,29.6,11.6,49847.0,28.8,12.2,8.9,44.7,72.4
TRACT-5105,7.1,3.5,72085.0,25.3,6.8,4.5,10.0,81.3
TRACT-5106,9.9,9.8,52557.0,11.1,17.5,1.8,21.6,80.1
TRACT-5107,14.7,0.9,65313.0,30.2,19.2,14.7,51.4,73.4
TRACT-5108,17.8,4.1,71872.0,43.7,17.8,7.8,26.0,72.6
TRACT-5109,35.1,15.8,20858.0,22.4,29.5,25.5,32.6,70.2
TRACT-5110,20.0,10.0,63703.0,22.1,16.3,25.0,37.3,79.1
TRACT-5111,17.8,10.7,78100.0,39.9,20.4,8.2,36.2,80.8
TRACT-5112,10.5,9.3,58008.0,21.3,11.2,20.0,29.7,80.9
TRACT-5113,10.7,5.7,52321.0,20.8,15.8,9.9,38.1,77.6
TRACT-5114,16.0,11.9,48386.0,10.0,21.4,15.4,14.1,77.1
TRACT-5115,14.0,12.8,50376.0,20.4,8.8,4.3,24.8,73.8
TRACT-5116,7.7,0.0,55451.0,11.7,6.6,3.3,14.0,80.0
TRACT-5117,17.5,6.3,50281.0,41.6,16.1,14.5,14.1,75.4
TRACT-5118,0.0,0.0,98641.0,40.4,4.3,0.0,21.0,79.3
TRACT-5119,15.4,8.6,66132.0,31.9,23.4,10.6,27.0,70.8
TRACT-5120,35.7,12.9,20000,20.6,32.7,21.3,34.6,72.5
TRACT-5121,11.8,1.6,81092.0,18.1,13.3,12.1,39.9,79.9
TRACT-5122,0.0,0.0,93109.0,48.0,7.5,0.0,16.0,85.0
TRACT-5123,33.4,20.0,20404.0,24.2,34.0,27.4,50.3,74.6
TRACT-5124,10.1,0.1,83602.0,37.0,9.1,4.9,22.2,80.6
TRACT-5125,7.8,4.7,76134.0,36.6,4.8,11.2,39.2,78.3
TRACT-5126,30.3,15.5,20000,5.0,21.0,21.7,42.3,72.7
TRACT-5127,24.4,7.0,35098.0,6.6,18.2,13.8,35.8,72.5
TRACT-5128,27.1,14.4,58240.0,37.2,20.7,19.6,43.2,73.8
TRACT-5129,30.9,18.6,56171.0,29.9,23.6,20.1,40.7,76.4
TRACT-5130,16.8,6.9,80489.0,41.3,13.4,16.0,31.7,79.3
TRACT-5131,17.4,3.4,57216.0,17.3,15.4,5.2,36.4,79.0
TRACT-5132,20.8,8.6,55659.0,8.8,10.7,11.2,33.9,75.9
TRACT-5133,8.0,5.0,66554.0,22.3,11.1,7.2,33.6,81.2
TRACT-5134,25.3,11.7,30566.0,7.8,12.3,29.7,28.3,73.4
TRACT-5135,14.4,5.7,54013.0,8.6,7.9,2.0,26.5,75.6
TRACT-5136,11.1,6.4,59169.0,39.0,9.3,10.1,19.0,80.5
TRACT-5137,13.9,8.0,65965.0,31.3,13.6,8.5,39.4,80.9
TRACT-5138,22.8,5.5,33515.0,11.3,17.0,16.2,27.5,77.9
TRACT-5139,18.0,0.8,51170.0,5.0,10.9,7.9,23.5,75.4
TRACT-5140,14.1,4.5,82414.0,52.5,5.5,15.5,17.6,77.1
TRACT-5141,33.3,5.3,38470.0,7.9,22.4,16.6,51.5,70.5
TRACT-5142,17.3,10.0,52133.0,18.6,14.6,12.5,37.8,74.3
TRACT-5143,13.5,7.6,60310.0,28.5,12.4,6.4,23.1,79.4
TRACT-5144,7.0,8.3,75694.0,24.7,10.1,9.0,29.9,83.2
TRACT-5145,14.3,4.2,54357.0,17.6,9.1,11.2,28.4,76.1
TRACT-5146,10.6,6.7,60972.0,20.1,10.2,7.6,18.5,80.9
TRACT-5147,26.5,11.1,41782.0,27.5,19.8,20.4,50.5,74.8
TRACT-5148,22.4,12.7,41733.0,11.0,22.9,6.6,47.7,77.7
TRACT-5149,19.9,8.8,74651.0,27.7,8.9,8.0,29.3,74.9
TRACT-5150,19.5,9.0,41429.0,37.9,9.1,4.3,37.8,75.7
TRACT-5151,22.2,7.3,34830.0,12.2,14.4,16.0,30.5,77.0
TRACT-5152,23.9,13.8,55205.0,36.5,22.3,12.5,35.0,71.2
TRACT-5153,20.9,6.6,55973.0,33.7,9.2,6.0,31.0,75.2
TRACT-5154,19.7,4.5,54104.0,10.5,4.4,14.2,20.5,74.7
TRACT-5155,3.8,0.0,76440.0,32.8,11.5,9.2,19.8,82.7
TRACT-5156,29.2,13.4,29502.0,27.0,31.3,22.3,54.3,76.1
TRACT-5157,26.5,7.1,26769.0,14.5,11.7,10.5,43.5,71.9
TRACT-5158,23.3,5.0,40793.0,31.5,19.2,15.7,48.7,78.6
TRACT-5159,9.2,9.6,60723.0,30.5,10.6,14.7,19.0,80.3
TRACT-5160,23.2,12.7,42012.0,32.5,14.8,20.0,39.7,71.7
TRACT-5161,22.1,10.1,42925.0,15.3,16.5,5.7,46.6,72.5
TRACT-5162,11.4,9.8,72916.0,43.5,18.9,9.2,21.3,81.8
TRACT-5163,26.0,9.6,24756.0,26.7,23.5,8.5,44.7,70.2
TRACT-5164,13.2,2.3,56496.0,19.9,9.0,13.2,29.7,79.4
TRACT-5165,28.9,10.5,37284.0,25.6,30.3,23.1,50.0,76.6
TRACT-5166,28.6,5.3,50168.0,27.9,20.6,12.9,34.4,75.7
TRACT-5167,26.4,5.6,44928.0,17.7,14.5,16.3,33.3,72.8
TRACT-5168,10.3,6.3,68059.0,22.9,6.1,7.1,28.9,76.2
TRACT-5169,22.9,6.8,83274.0,31.6,11.8,13.6,25.6,79.6
TRACT-5170,36.0,12.9,26043.0,10.1,25.6,27.3,49.6,69.3
TRACT-5171,33.5,17.6,32752.0,12.1,24.6,14.5,45.3,72.0
TRACT-5172,0.0,3.5,95710.0,56.9,1.0,3.7,27.5,84.7
TRACT-5173,20.9,20.5,43749.0,25.5,26.8,11.5,28.5,72.5
TRACT-5174,23.3,12.1,54582.0,14.7,23.2,22.0,33.5,75.8
TRACT-5175,24.8,11.7,51094.0,15.7,17.9,8.0,39.8,76.8
TRACT-5176,17.0,8.7,35917.0,27.8,13.0,12.2,41.5,74.2
TRACT-5177,30.0,12.6,34146.0,24.5,15.6,19.0,40.8,76.4
TRACT-5178,15.8,5.9,64121.0,31.4,7.2,8.6,39.5,77.5
TRACT-5179,9.3,7.5,45079.0,5.0,11.2,10.1,27.0,75.5
TRACT-5180,16.5,2.5,62258.0,14.8,12.8,12.3,15.1,76.0
TRACT-5181,25.9,16.3,20000,15.7,14.6,7.4,50.8,75.5
TRACT-5182,10.0,6.0,77321.0,39.8,21.6,14.2,10.0,79.2
TRACT-5183,10.6,4.7,68392.0,27.3,4.8,15.3,30.8,77.1
TRACT-5184,24.8,12.8,58862.0,19.7,22.6,12.3,43.8,75.3
TRACT-5185,0.0,0.2,71492.0,32.5,2.2,0.6,10.0,79.4
TRACT-5186,9.6,4.2,87104.0,49.5,6.5,14.6,16.4,82.2
TRACT-5187,16.2,8.2,66184.0,26.4,17.8,12.0,48.1,76.9
TRACT-5188,30.7,14.8,20000,24.5,18.0,4.3,48.8,75.7
TRACT-5189,18.5,7.3,75219.0,44.4,10.8,15.1,22.9,76.6
TRACT-5190,7.5,0.0,60738.0,41.8,3.1,3.0,16.8,81.7
TRACT-5191,18.0,9.8,52985.0,15.5,10.1,15.8,30.6,78.7
TRACT-5192,0.0,0.9,102802.0,60.0,0.0,0.0,19.6,83.7
TRACT-5193,26.7,8.8,57377.0,37.2,21.8,11.7,36.0,76.4
TRACT-5194,0.0,0.0,103795.0,36.8,8.8,1.0,19.1,80.3
TRACT-5195,22.8,11.3,60839.0,44.6,23.9,16.3,27.4,80.2
TRACT-5196,5.0,1.9,88181.0,47.1,14.9,7.8,10.9,80.7
TRACT-5197,19.7,7.4,70932.0,32.9,7.5,13.4,23.3,82.0
TRACT-5198,20.7,3.9,66161.0,56.6,5.0,15.3,38.5,77.7
TRACT-5199,21.4,11.0,39244.0,35.1,10.5,23.0,47.8,72.3
TRACT-5200,17.9,13.1,46893.0,23.0,13.6,18.5,28.4,76.6
TRACT-5201,23.4,9.1,34361.0,5.2,10.8,6.4,21.2,72.8
TRACT-5202,21.0,9.2,38786.0,10.5,12.2,4.9,23.8,77.4
TRACT-5203,4.0,3.1,71577.0,59.3,0.0,5.3,23.1,78.9
TRACT-5204,21.2,9.7,35213.0,23.3,19.7,21.2,30.7,79.3
TRACT-5205,16.0,0.3,67774.0,32.5,8.3,14.7,25.6,80.5
TRACT-5206,17.2,10.4,64461.0,37.3,8.9,15.7,32.3,83.1
TRACT-5207,22.8,12.4,35597.0,15.4,19.1,8.1,26.7,74.9
TRACT-5208,17.2,8.4,70803.0,31.3,17.5,11.4,29.3,78.7
TRACT-5209,0.0,1.0,82922.0,30.7,0.0,0.0,10.0,84.8
TRACT-5210,15.6,1.2,52433.0,33.8,10.4,8.4,27.7,77.0
TRACT-5211,1.0,1.9,77637.0,60.0,4.0,2.1,31.7,81.5
TRACT-5212,20.5,5.8,72058.0,29.5,17.3,19.1,29.6,77.2
TRACT-5213,23.9,12.5,29510.0,18.5,14.4,9.8,31.9,77.9
TRACT-5214,34.0,22.9,22946.0,6.2,20.3,27.4,31.6,71.4
TRACT-5215,12.3,12.3,49489.0,36.7,19.6,10.7,34.7,74.0
TRACT-5216,17.1,6.9,22916.0,17.2,17.9,3.1,22.2,73.7
TRACT-5217,12.7,5.1,52099.0,16.3,14.0,7.7,26.9,77.1
TRACT-5218,22.6,9.0,58466.0,30.8,21.8,21.5,23.9,78.8
TRACT-5219,35.8,10.8,24402.0,10.8,27.8,22.5,37.7,75.3
TRACT-5220,9.4,4.5,83700.0,60.0,6.4,11.8,29.7,76.2
TRACT-5221,8.4,0.4,66681.0,28.5,9.4,14.8,28.1,85.0
TRACT-5222,15.6,10.0,63758.0,47.2,11.5,15.3,44.6,76.2
TRACT-5223,17.3,9.5,49982.0,17.0,24.6,12.6,44.2,75.4
TRACT-5224,15.9,10.1,54955.0,19.1,10.4,12.2,25.2,77.6
TRACT-5225,0.0,0.0,93046.0,39.3,0.0,0.0,16.9,85.0
TRACT-5226,4.0,2.1,92793.0,48.1,5.4,3.3,22.7,81.5
TRACT-5227,0.0,0.0,68742.0,46.1,7.2,0.0,25.7,85.0
TRACT-5228,11.8,10.5,69129.0,32.2,5.6,5.5,25.2,72.9
TRACT-5229,23.3,8.7,52096.0,22.6,33.5,8.0,27.8,77.8
TRACT-5230,41.6,12.7,38754.0,12.1,34.5,23.0,60.0,76.0
TRACT-5231,11.5,16.2,48008.0,22.2,22.1,8.2,25.1,78.6
TRACT-5232,22.5,11.0,36759.0,21.8,21.6,23.1,38.4,71.8
TRACT-5233,18.3,5.9,72600.0,19.2,17.1,6.5,38.9,79.7
TRACT-5234,20.2,10.6,46090.0,30.9,16.4,17.1,35.1,69.5
TRACT-5235,12.9,11.6,81260.0,41.4,10.7,8.0,33.8,81.1
TRACT-5236,8.2,6.9,87620.0,33.3,7.6,10.2,29.9,79.3
TRACT-5237,12.7,4.5,69939.0,38.8,11.3,2.0,20.3,80.7
TRACT-5238,5.8,4.5,71470.0,29.1,8.1,16.3,26.0,79.3
TRACT-5239,3.3,4.7,95239.0,52.2,11.7,9.5,13.3,82.1
TRACT-5240,23.2,12.4,38394.0,20.1,20.6,21.9,43.7,76.8
TRACT-5241,22.0,5.7,34821.0,17.7,23.3,16.8,38.7,71.0
TRACT-5242,3.4,6.9,78890.0,25.6,11.2,8.6,44.0,84.2
TRACT-5243,21.5,8.7,52137.0,25.8,9.3,17.0,35.9,68.6
TRACT-5244,11.6,2.8,80098.0,38.6,18.1,1.7,18.9,82.5
TRACT-5245,11.4,1.9,60915.0,22.6,14.0,15.8,14.7,77.6
TRACT-5246,18.1,8.3,65599.0,34.1,11.5,5.2,18.1,76.7
TRACT-5247,18.1,11.3,48646.0,48.5,15.1,9.5,38.2,74.5
TRACT-5248,20.1,1.4,62752.0,31.8,16.3,13.2,22.3,74.5
TRACT-5249,33.7,15.2,20000,16.4,27.1,30.0,51.7,73.1
TRACT-5250,13.5,12.8,59373.0,21.6,6.5,4.7,26.4,80.2
TRACT-5251,27.1,15.3,39520.0,29.9,32.5,23.4,51.8,70.5
TRACT-5252,10.6,2.7,33799.0,18.4,19.4,7.7,29.5,75.0
TRACT-5253,13.1,7.3,47588.0,36.2,2.8,10.0,26.9,81.7
TRACT-5254,25.6,3.2,20000,5.0,17.9,13.6,35.8,74.7
TRACT-5255,4.3,0.0,84578.0,37.0,5.6,2.1,20.1,85.0
TRACT-5256,1.8,0.0,93512.0,60.0,3.4,0.0,10.0,83.2
TRACT-5257,5.5,11.4,105082.0,53.4,9.1,6.7,33.0,82.3
TRACT-5258,18.6,13.1,60438.0,52.2,6.7,7.7,28.3,79.9
TRACT-5259,13.1,8.4,47582.0,23.6,25.0,21.7,15.9,78.6
TRACT-5260,26.3,9.1,26576.0,21.7,21.0,18.7,37.1,80.2
TRACT-5261,8.9,3.0,78462.0,45.6,1.8,13.6,15.4,80.1
TRACT-5262,14.9,4.4,76169.0,14.0,8.4,4.7,32.9,82.4
TRACT-5263,25.8,15.7,20000,9.8,14.2,12.6,40.7,73.5
TRACT-5264,31.8,5.7,22241.0,5.0,14.7,21.3,39.7,76.2
TRACT-5265,29.9,12.4,21313.0,22.9,19.1,9.8,32.5,73.5
TRACT-5266,30.7,12.6,48754.0,26.6,19.6,31.6,53.6,74.5
TRACT-5267,9.7,0.0,76904.0,34.8,11.8,10.2,28.5,82.6
TRACT-5268,21.1,6.5,40234.0,26.9,11.5,16.1,39.8,75.4
TRACT-5269,10.2,0.0,56170.0,11.5,10.7,6.1,17.6,80.6
TRACT-5270,19.3,8.6,60000.0,40.7,7.0,14.6,20.1,75.1
TRACT-5271,28.1,14.0,45071.0,25.9,28.2,9.3,36.7,74.9
TRACT-5272,38.4,18.8,31561.0,10.7,38.6,25.6,37.3,78.1
TRACT-5273,3.7,0.0,78109.0,28.0,9.1,7.9,22.1,85.0
TRACT-5274,1.7,7.2,71236.0,49.8,16.1,20.2,23.1,78.2
TRACT-5275,21.3,9.0,26126.0,22.1,13.2,20.7,42.9,74.0
TRACT-5276,18.4,7.3,48651.0,56.0,10.5,11.3,43.0,76.0
TRACT-5277,11.7,1.1,83366.0,47.6,12.5,0.9,31.0,80.6
TRACT-5278,14.6,1.9,61901.0,22.0,13.1,10.7,25.5,80.1
TRACT-5279,17.3,9.7,61009.0,41.0,9.4,8.8,39.6,78.0
TRACT-5280,29.3,14.6,28423.0,25.2,20.9,22.0,54.9,76.4
TRACT-5281,40.9,10.5,20000,5.0,26.6,22.9,43.1,72.9
TRACT-5282,27.8,12.9,23856.0,19.6,25.2,19.1,40.0,77.3
TRACT-5283,12.5,4.8,73870.0,41.7,15.6,8.7,18.7,75.9
TRACT-5284,13.7,9.3,72051.0,17.8,15.0,10.4,19.6,84.5
TRACT-5285,20.6,11.9,83078.0,35.5,13.1,20.6,22.7,78.1
TRACT-5286,18.5,11.6,58319.0,20.7,20.4,18.1,24.0,75.2
TRACT-5287,12.7,2.1,79663.0,35.6,9.4,3.3,24.0,83.2
TRACT-5288,25.5,4.8,30816.0,23.1,17.0,11.3,30.5,70.7
TRACT-5289,19.0,7.0,68779.0,33.6,9.7,14.9,41.8,75.4
TRACT-5290,1.0,0.3,67815.0,49.5,0.0,1.7,33.9,83.5
TRACT-5291,12.9,3.4,62620.0,28.7,19.7,10.4,18.0,81.1
TRACT-5292,28.4,10.8,47184.0,25.3,14.3,14.4,29.6,72.9
TRACT-5293,8.6,5.9,73565.0,23.1,4.5,7.2,28.0,79.8
TRACT-5294,0.0,4.9,115546.0,60.0,3.8,6.9,14.6,85.0
TRACT-5295,6.7,4.5,55959.0,33.8,7.3,11.4,27.4,78.1
TRACT-5296,26.4,6.8,38123.0,14.9,23.8,15.6,38.4,75.7
TRACT-5297,0.0,0.0,98957.0,57.2,3.6,9.6,15.7,84.2
TRACT-5298,13.0,4.7,53419.0,21.5,11.4,6.2,28.4,72.9
TRACT-5299,22.3,10.1,53114.0,22.7,14.7,18.7,33.0,81.3
TRACT-5300,3.9,2.2,65236.0,24.2,3.1,2.9,28.1,77.0
TRACT-5301,24.1,5.0,40710.0,34.5,20.9,16.1,41.5,76.6
TRACT-5302,24.3,15.2,28570.0,15.7,23.2,20.0,41.6,77.9
TRACT-5303,13.0,1.4,82203.0,40.0,7.9,8.9,24.0,82.0
TRACT-5304,26.9,12.2,46057.0,24.7,25.5,3.8,29.0,75.0
TRACT-5305,13.9,3.2,71596.0,25.4,13.0,10.8,27.8,76.2
TRACT-5306,16.1,11.7,64031.0,42.0,13.4,1.9,28.7,77.9
TRACT-5307,31.0,16.6,36277.0,11.7,23.5,16.5,38.2,70.2
TRACT-5308,22.6,9.5,57444.0,14.7,11.4,32.7,26.6,76.5
TRACT-5309,22.4,6.0,71211.0,34.7,17.0,23.3,27.6,75.5
TRACT-5310,14.5,1.9,66398.0,37.5,13.3,13.8,35.8,79.1
TRACT-5311,15.6,11.5,48590.0,39.2,13.3,15.4,46.7,71.2
TRACT-5312,16.1,5.9,81321.0,35.9,27.0,5.2,32.1,77.8
TRACT-5313,23.1,7.7,40879.0,5.0,18.8,6.0,23.2,75.3
TRACT-5314,16.8,11.2,38087.0,24.6,17.1,10.7,26.9,76.3
TRACT-5315,26.8,9.8,51038.0,23.7,28.7,17.4,35.7,70.7
TRACT-5316,3.7,4.4,76659.0,40.3,3.1,4.6,18.6,81.8
TRACT-5317,15.8,13.9,47499.0,36.1,9.1,8.1,26.8,80.8
TRACT-5318,22.4,10.0,50221.0,15.2,24.9,23.0,33.6,75.7
TRACT-5319,24.5,9.6,41160.0,16.9,17.2,11.8,41.0,74.0
TRACT-5320,13.7,4.3,43605.0,38.0,15.9,15.5,27.3,81.3
TRACT-5321,19.5,13.7,50479.0,25.9,13.5,12.9,35.4,80.6
TRACT-5322,33.4,13.7,43811.0,5.0,21.1,19.3,45.2,74.0
TRACT-5323,17.4,6.2,46044.0,42.7,20.9,20.0,34.1,75.4
TRACT-5324,23.5,9.9,43584.0,22.7,15.1,8.9,33.7,71.7
TRACT-5325,24.0,13.1,33324.0,5.0,21.4,16.7,35.0,70.9
TRACT-5326,0.0,7.4,83799.0,46.0,3.7,6.7,11.7,81.3
TRACT-5327,4.4,0.0,70876.0,16.4,4.6,1.9,11.9,79.8
TRACT-5328,17.9,5.0,82673.0,47.7,19.3,10.6,38.1,80.6
TRACT-5329,7.8,2.0,112079.0,49.6,9.4,6.3,29.5,79.2
TRACT-5330,7.9,8.5,73905.0,11.9,9.3,7.2,28.7,80.5
TRACT-5331,21.4,9.5,52687.0,15.6,12.6,8.0,22.7,78.3
TRACT-5332,28.8,14.0,27376.0,10.5,19.7,22.5,43.0,78.0
TRACT-5333,8.3,3.8,55774.0,13.7,9.1,6.2,20.7,74.6
TRACT-5334,20.0,7.7,63910.0,37.6,8.6,13.3,28.7,81.2
TRACT-5335,17.7,6.1,50798.0,10.9,21.7,24.9,17.4,75.8
TRACT-5336,16.9,5.5,73677.0,48.9,12.1,22.2,32.1,77.6
TRACT-5337,20.8,6.3,70092.0,41.0,13.7,11.2,26.5,78.0
TRACT-5338,5.1,3.5,70967.0,40.5,13.0,12.0,23.7,78.5
